index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,3977.7000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,puddle,puddle_mooney_dot_on3,target,regular,pre,on,3vqjpq2wq5ljj5a,html-keyboard-response,14,400842,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18900,67e037f21c6a42a34775ee52,51,35,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
1,1010,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,2,0,dot,aloe,aloe_mooney_dot_on3,target,upside_down,pre,on,3vqjpq2wq5ljj5a,html-keyboard-response,18,402866,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18900,67e037f21c6a42a34775ee52,51,35,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
2,2289.4000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,peanut_butter,peanut_butter_mooney_dot_off4,target,horizontal_flip,pre,off,3vqjpq2wq5ljj5a,html-keyboard-response,22,406163,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18900,67e037f21c6a42a34775ee52,51,35,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,,
3,1046.8999999985099,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,aloe,aloe_mooney_dot_off4,target,upside_down,pre,off,3vqjpq2wq5ljj5a,html-keyboard-response,26,408218,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18900,67e037f21c6a42a34775ee52,51,35,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,,
4,1120.6000000014901,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,peanut_butter,peanut_butter_mooney_dot_on1,target,horizontal_flip,pre,on,3vqjpq2wq5ljj5a,html-keyboard-response,30,410355,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18900,67e037f21c6a42a34775ee52,51,35,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
5,2073.39999999851,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,aloe,aloe_mooney_dot_on1,target,upside_down,pre,on,3vqjpq2wq5ljj5a,html-keyboard-response,34,413434,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18900,67e037f21c6a42a34775ee52,51,35,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
6,2045.1000000014901,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,puddle,puddle_mooney_dot_off2,target,regular,pre,off,3vqjpq2wq5ljj5a,html-keyboard-response,38,416491,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18900,67e037f21c6a42a34775ee52,51,35,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,,
7,895.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,peanut_butter,peanut_butter_mooney_dot_on3,target,horizontal_flip,pre,on,3vqjpq2wq5ljj5a,html-keyboard-response,42,418394,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18900,67e037f21c6a42a34775ee52,51,35,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
8,1021.1000000014901,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,puddle,puddle_mooney_dot_on1,target,regular,pre,on,3vqjpq2wq5ljj5a,html-keyboard-response,46,420426,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18900,67e037f21c6a42a34775ee52,51,35,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
9,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",null,10,0,dot,aloe,aloe_mooney_dot_off2,target,upside_down,pre,off,3vqjpq2wq5ljj5a,html-keyboard-response,50,426448,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18900,67e037f21c6a42a34775ee52,51,35,United States,Female,Right-handed,Exp,dot_recog,,0,1,,,,,
