index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,683.3000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,1,0,dot,peanut_butter,peanut_butter_mooney_dot_on1,target,regular,pre,on,450dgarj8dw5wl7,html-keyboard-response,14,311697,0.0-11.0-5.0-1.0,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/1007/start?srid=18908,67607d61bc717101e04b420f,69,34,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,0,,,,,
1,1021.6999999880791,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,bullet,bullet_mooney_dot_off2,target,horizontal_flip,pre,off,450dgarj8dw5wl7,html-keyboard-response,18,313733,0.0-11.0-5.1-1.1,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/1007/start?srid=18908,67607d61bc717101e04b420f,69,34,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,0,,,,,
2,599.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,3,0,dot,eclair,eclair_mooney_dot_off4,target,upside_down,pre,off,450dgarj8dw5wl7,html-keyboard-response,22,315348,0.0-11.0-5.2-1.2,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/1007/start?srid=18908,67607d61bc717101e04b420f,69,34,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,0,,,,,
3,887.6000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,4,0,dot,peanut_butter,peanut_butter_mooney_dot_off4,target,regular,pre,off,450dgarj8dw5wl7,html-keyboard-response,26,317255,0.0-11.0-5.3-1.3,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/1007/start?srid=18908,67607d61bc717101e04b420f,69,34,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,0,,,,,
4,796.8000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,5,0,dot,eclair,eclair_mooney_dot_on1,target,upside_down,pre,on,450dgarj8dw5wl7,html-keyboard-response,30,319060,0.0-11.0-5.4-1.4,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/1007/start?srid=18908,67607d61bc717101e04b420f,69,34,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,0,,,,,
5,817.3000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,6,0,dot,bullet,bullet_mooney_dot_off4,target,horizontal_flip,pre,off,450dgarj8dw5wl7,html-keyboard-response,34,320882,0.0-11.0-5.5-1.5,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/1007/start?srid=18908,67607d61bc717101e04b420f,69,34,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
6,917.3000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,eclair,eclair_mooney_dot_off2,target,upside_down,pre,off,450dgarj8dw5wl7,html-keyboard-response,38,322812,0.0-11.0-5.6-1.6,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/1007/start?srid=18908,67607d61bc717101e04b420f,69,34,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,0,,,,,
7,633.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,bullet,bullet_mooney_dot_on3,target,horizontal_flip,pre,on,450dgarj8dw5wl7,html-keyboard-response,42,324459,0.0-11.0-5.7-1.7,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/1007/start?srid=18908,67607d61bc717101e04b420f,69,34,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
8,867.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,peanut_butter,peanut_butter_mooney_dot_off2,target,regular,pre,off,450dgarj8dw5wl7,html-keyboard-response,46,326346,0.0-11.0-5.8-1.8,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/1007/start?srid=18908,67607d61bc717101e04b420f,69,34,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,0,,,,,
9,934,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,eclair,eclair_mooney_dot_on3,target,upside_down,pre,on,450dgarj8dw5wl7,html-keyboard-response,50,328298,0.0-11.0-5.9-1.9,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/1007/start?srid=18908,67607d61bc717101e04b420f,69,34,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,0,,,,,
10,643.0999999642372,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bullet_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,11,0,dot,bullet,bullet_mooney_dot_on1,target,horizontal_flip,pre,on,450dgarj8dw5wl7,html-keyboard-response,54,329957,0.0-11.0-5.10-1.10,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/1007/start?srid=18908,67607d61bc717101e04b420f,69,34,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
11,601.3000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,12,0,dot,peanut_butter,peanut_butter_mooney_dot_on3,target,regular,pre,on,450dgarj8dw5wl7,html-keyboard-response,58,331579,0.0-11.0-5.11-1.11,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/1007/start?srid=18908,67607d61bc717101e04b420f,69,34,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
12,,,,13,0,recognition,eclair,eclair_mooney,target,upside_down,pre,null,450dgarj8dw5wl7,survey-text-autocomplete,66,339517,0.0-11.0-6.12-4.12,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/1007/start?srid=18908,67607d61bc717101e04b420f,69,34,United Kingdom,Female,Right-handed,Exp,Recognition,,,,,"{""recognition"":""cake""}",cake,0.3076183117133777,0.0
13,,,,14,0,recognition,bullet,bullet_mooney,target,horizontal_flip,pre,null,450dgarj8dw5wl7,survey-text-autocomplete,73,350827,0.0-11.0-6.13-4.13,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/1007/start?srid=18908,67607d61bc717101e04b420f,69,34,United Kingdom,Female,Right-handed,Exp,Recognition,,,,,"{""recognition"":""car door""}",car_door,0.6259289794273523,0.0
14,,,,15,0,recognition,peanut_butter,peanut_butter_mooney,target,regular,pre,null,450dgarj8dw5wl7,survey-text-autocomplete,80,358347,0.0-11.0-6.14-4.14,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/1007/start?srid=18908,67607d61bc717101e04b420f,69,34,United Kingdom,Female,Right-handed,Exp,Recognition,,,,,"{""recognition"":""mixer""}",mixer,0.7220751760618963,0.0
15,,,,16,0,recognition,bullet,bullet,target,horizontal_flip,color,null,450dgarj8dw5wl7,survey-text-autocomplete,87,362869,0.0-11.0-6.15-4.15,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/1007/start?srid=18908,67607d61bc717101e04b420f,69,34,United Kingdom,Female,Right-handed,Exp,Recognition,,,,,"{""recognition"":""bullet""}",bullet,0.0,1.0
