index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,4333,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,1,0,dot,pedal,pedal_mooney_dot_off2,target,horizontal_flip,pre,off,5sdfej9252p0b8e,html-keyboard-response,14,461025,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1366 x 651,https://exponline.ugr.es/publix/939/1007/start?srid=18884,6827e392d4688c5648fe52f6,32,38,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,,
1,2473.9000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/punching_bag_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,2,0,dot,punching_bag,punching_bag_mooney_dot_off2,target,upside_down,pre,off,5sdfej9252p0b8e,html-keyboard-response,18,464505,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1366 x 651,https://exponline.ugr.es/publix/939/1007/start?srid=18884,6827e392d4688c5648fe52f6,32,38,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,,
2,1018.9000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,parking_meter,parking_meter_mooney_dot_off4,target,regular,pre,off,5sdfej9252p0b8e,html-keyboard-response,22,466529,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1366 x 651,https://exponline.ugr.es/publix/939/1007/start?srid=18884,6827e392d4688c5648fe52f6,32,38,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,,
3,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/punching_bag_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",null,4,0,dot,punching_bag,punching_bag_mooney_dot_on3,target,upside_down,pre,on,5sdfej9252p0b8e,html-keyboard-response,26,472534,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1366 x 651,https://exponline.ugr.es/publix/939/1007/start?srid=18884,6827e392d4688c5648fe52f6,32,38,United States,Female,Right-handed,Exp,dot_recog,,0,0,,,,,
4,1211.8999999910593,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,pedal,pedal_mooney_dot_off4,target,horizontal_flip,pre,off,5sdfej9252p0b8e,html-keyboard-response,30,474753,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1366 x 651,https://exponline.ugr.es/publix/939/1007/start?srid=18884,6827e392d4688c5648fe52f6,32,38,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,,
5,1337.1000000089407,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,parking_meter,parking_meter_mooney_dot_on1,target,regular,pre,on,5sdfej9252p0b8e,html-keyboard-response,34,477097,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1366 x 651,https://exponline.ugr.es/publix/939/1007/start?srid=18884,6827e392d4688c5648fe52f6,32,38,United States,Female,Right-handed,Exp,dot_recog,e,0,0,,,,,
6,806.2000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/punching_bag_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,7,0,dot,punching_bag,punching_bag_mooney_dot_off4,target,upside_down,pre,off,5sdfej9252p0b8e,html-keyboard-response,38,478921,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1366 x 651,https://exponline.ugr.es/publix/939/1007/start?srid=18884,6827e392d4688c5648fe52f6,32,38,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,,
7,1073.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,pedal,pedal_mooney_dot_on3,target,horizontal_flip,pre,on,5sdfej9252p0b8e,html-keyboard-response,42,481001,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1366 x 651,https://exponline.ugr.es/publix/939/1007/start?srid=18884,6827e392d4688c5648fe52f6,32,38,United States,Female,Right-handed,Exp,dot_recog,e,0,0,,,,,
8,713.7000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,parking_meter,parking_meter_mooney_dot_off2,target,regular,pre,off,5sdfej9252p0b8e,html-keyboard-response,46,482720,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1366 x 651,https://exponline.ugr.es/publix/939/1007/start?srid=18884,6827e392d4688c5648fe52f6,32,38,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,,
9,2289.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pedal_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,pedal,pedal_mooney_dot_on1,target,horizontal_flip,pre,on,5sdfej9252p0b8e,html-keyboard-response,50,486016,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1366 x 651,https://exponline.ugr.es/publix/939/1007/start?srid=18884,6827e392d4688c5648fe52f6,32,38,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
