index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,3136.9000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,1,0,dot,pomegranate,pomegranate_mooney_dot_off4,target,regular,pre,off,6q0gck3kk9ygz37,html-keyboard-response,14,1613471,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18902,682ccce59fa2c65dba77aebe,29,20,United States,Female,Left-handed,Exp,dot_recog,e,1,0,,,,,
1,1539.3000000715256,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,2,0,dot,peanut_butter,peanut_butter_mooney_dot_off4,target,upside_down,pre,off,6q0gck3kk9ygz37,html-keyboard-response,18,1616026,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18902,682ccce59fa2c65dba77aebe,29,20,United States,Female,Left-handed,Exp,dot_recog,e,1,0,,,,,
2,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,3,0,dot,pomegranate,pomegranate_mooney_dot_on3,target,regular,pre,on,6q0gck3kk9ygz37,html-keyboard-response,22,1622060,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18902,682ccce59fa2c65dba77aebe,29,20,United States,Female,Left-handed,Exp,dot_recog,,0,0,,,,,
3,3230.600000023842,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,peanut_butter,peanut_butter_mooney_dot_on1,target,upside_down,pre,on,6q0gck3kk9ygz37,html-keyboard-response,26,1626300,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18902,682ccce59fa2c65dba77aebe,29,20,United States,Female,Left-handed,Exp,dot_recog,e,1,1,,,,,
4,2372.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,puffin,puffin_mooney_dot_off2,target,horizontal_flip,pre,off,6q0gck3kk9ygz37,html-keyboard-response,30,1629686,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18902,682ccce59fa2c65dba77aebe,29,20,United States,Female,Left-handed,Exp,dot_recog,i,0,1,,,,,
5,2330.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,6,0,dot,pomegranate,pomegranate_mooney_dot_on1,target,regular,pre,on,6q0gck3kk9ygz37,html-keyboard-response,34,1633040,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18902,682ccce59fa2c65dba77aebe,29,20,United States,Female,Left-handed,Exp,dot_recog,i,0,0,,,,,
6,2178.8000000715256,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,7,0,dot,peanut_butter,peanut_butter_mooney_dot_off2,target,upside_down,pre,off,6q0gck3kk9ygz37,html-keyboard-response,38,1636227,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18902,682ccce59fa2c65dba77aebe,29,20,United States,Female,Left-handed,Exp,dot_recog,i,0,1,,,,,
7,1436.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,puffin,puffin_mooney_dot_on3,target,horizontal_flip,pre,on,6q0gck3kk9ygz37,html-keyboard-response,42,1638682,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18902,682ccce59fa2c65dba77aebe,29,20,United States,Female,Left-handed,Exp,dot_recog,e,1,1,,,,,
8,1311.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,9,0,dot,peanut_butter,peanut_butter_mooney_dot_on3,target,upside_down,pre,on,6q0gck3kk9ygz37,html-keyboard-response,46,1641023,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18902,682ccce59fa2c65dba77aebe,29,20,United States,Female,Left-handed,Exp,dot_recog,e,1,1,,,,,
9,1753.6000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,10,0,dot,puffin,puffin_mooney_dot_off4,target,horizontal_flip,pre,off,6q0gck3kk9ygz37,html-keyboard-response,50,1643783,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18902,682ccce59fa2c65dba77aebe,29,20,United States,Female,Left-handed,Exp,dot_recog,i,0,1,,,,,
