index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",null,1,0,dot,pomegranate,pomegranate_mooney_dot_off2,target,upside_down,pre,off,6znq1hxn3yuwdxq,html-keyboard-response,14,894228,0.0-11.0-5.0-1.0,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1280 x 585,https://exponline.ugr.es/publix/939/1007/start?srid=18819,6828e1762b0e6ba34da37f37,3,34,United States,Female,Right-handed,Exp,dot_recog,,0,1,,,,,
1,2402.900000035763,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,grasshopper,grasshopper_mooney_dot_off2,target,regular,pre,off,6znq1hxn3yuwdxq,html-keyboard-response,18,897645,0.0-11.0-5.1-1.1,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1280 x 585,https://exponline.ugr.es/publix/939/1007/start?srid=18819,6828e1762b0e6ba34da37f37,3,34,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,,
2,3168.099999964237,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,gargoyle,gargoyle_mooney_dot_off4,target,horizontal_flip,pre,off,6znq1hxn3yuwdxq,html-keyboard-response,22,901830,0.0-11.0-5.2-1.2,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1280 x 585,https://exponline.ugr.es/publix/939/1007/start?srid=18819,6828e1762b0e6ba34da37f37,3,34,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,,
3,3211.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,pomegranate,pomegranate_mooney_dot_on3,target,upside_down,pre,on,6znq1hxn3yuwdxq,html-keyboard-response,26,906051,0.0-11.0-5.3-1.3,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1280 x 585,https://exponline.ugr.es/publix/939/1007/start?srid=18819,6828e1762b0e6ba34da37f37,3,34,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
4,794.1999999880791,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,grasshopper,grasshopper_mooney_dot_off4,target,regular,pre,off,6znq1hxn3yuwdxq,html-keyboard-response,30,907860,0.0-11.0-5.4-1.4,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1280 x 585,https://exponline.ugr.es/publix/939/1007/start?srid=18819,6828e1762b0e6ba34da37f37,3,34,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,,
5,855.1000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,horizontal_flip,pre,on,6znq1hxn3yuwdxq,html-keyboard-response,34,909725,0.0-11.0-5.5-1.5,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1280 x 585,https://exponline.ugr.es/publix/939/1007/start?srid=18819,6828e1762b0e6ba34da37f37,3,34,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
6,619.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,7,0,dot,pomegranate,pomegranate_mooney_dot_on1,target,upside_down,pre,on,6znq1hxn3yuwdxq,html-keyboard-response,38,911361,0.0-11.0-5.6-1.6,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1280 x 585,https://exponline.ugr.es/publix/939/1007/start?srid=18819,6828e1762b0e6ba34da37f37,3,34,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
7,747.1000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,gargoyle,gargoyle_mooney_dot_off2,target,horizontal_flip,pre,off,6znq1hxn3yuwdxq,html-keyboard-response,42,913127,0.0-11.0-5.7-1.7,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1280 x 585,https://exponline.ugr.es/publix/939/1007/start?srid=18819,6828e1762b0e6ba34da37f37,3,34,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,,
8,1012,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,pomegranate,pomegranate_mooney_dot_off4,target,upside_down,pre,off,6znq1hxn3yuwdxq,html-keyboard-response,46,915160,0.0-11.0-5.8-1.8,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1280 x 585,https://exponline.ugr.es/publix/939/1007/start?srid=18819,6828e1762b0e6ba34da37f37,3,34,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,,
9,1436.199999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,grasshopper,grasshopper_mooney_dot_on1,target,regular,pre,on,6znq1hxn3yuwdxq,html-keyboard-response,50,917615,0.0-11.0-5.9-1.9,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1280 x 585,https://exponline.ugr.es/publix/939/1007/start?srid=18819,6828e1762b0e6ba34da37f37,3,34,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
