index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",null,1,0,dot,candelabra,candelabra_mooney_dot_off4,target,upside_down,pre,off,7gscq8hegubs49w,html-keyboard-response,14,401122,0.0-11.0-5.0-1.0,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18909,67793acc4f150df7c4ef6898,55,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
1,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,2,0,dot,eclair,eclair_mooney_dot_off2,target,horizontal_flip,pre,off,7gscq8hegubs49w,html-keyboard-response,20,413512,0.0-11.0-5.1-1.1,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18909,67793acc4f150df7c4ef6898,55,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
2,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",null,3,0,dot,candelabra,candelabra_mooney_dot_on3,target,upside_down,pre,on,7gscq8hegubs49w,html-keyboard-response,24,419541,0.0-11.0-5.2-1.2,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18909,67793acc4f150df7c4ef6898,55,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,0,,,,,
3,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,4,0,dot,eclair,eclair_mooney_dot_on1,target,horizontal_flip,pre,on,7gscq8hegubs49w,html-keyboard-response,28,425571,0.0-11.0-5.3-1.3,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18909,67793acc4f150df7c4ef6898,55,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,0,,,,,
4,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/mannequin_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,5,0,dot,mannequin,mannequin_mooney_dot_on1,target,regular,pre,on,7gscq8hegubs49w,html-keyboard-response,32,431611,0.0-11.0-5.4-1.4,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18909,67793acc4f150df7c4ef6898,55,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,0,,,,,
5,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,6,0,dot,eclair,eclair_mooney_dot_off4,target,horizontal_flip,pre,off,7gscq8hegubs49w,html-keyboard-response,36,437641,0.0-11.0-5.5-1.5,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18909,67793acc4f150df7c4ef6898,55,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
6,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/mannequin_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,7,0,dot,mannequin,mannequin_mooney_dot_off4,target,regular,pre,off,7gscq8hegubs49w,html-keyboard-response,40,443671,0.0-11.0-5.6-1.6,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18909,67793acc4f150df7c4ef6898,55,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
7,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",null,8,0,dot,candelabra,candelabra_mooney_dot_off2,target,upside_down,pre,off,7gscq8hegubs49w,html-keyboard-response,44,449692,0.0-11.0-5.7-1.7,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18909,67793acc4f150df7c4ef6898,55,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
8,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/mannequin_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,9,0,dot,mannequin,mannequin_mooney_dot_off2,target,regular,pre,off,7gscq8hegubs49w,html-keyboard-response,48,455731,0.0-11.0-5.8-1.8,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18909,67793acc4f150df7c4ef6898,55,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
9,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",null,10,0,dot,candelabra,candelabra_mooney_dot_on1,target,upside_down,pre,on,7gscq8hegubs49w,html-keyboard-response,52,461761,0.0-11.0-5.9-1.9,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18909,67793acc4f150df7c4ef6898,55,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,0,,,,,
