index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",null,1,0,dot,parking_meter,parking_meter_mooney_dot_on3,target,upside_down,pre,on,888jxl6515la645,html-keyboard-response,14,893482,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 651,https://exponline.ugr.es/publix/939/1007/start?srid=18905,682c2a43fe028855230e2f38,50,27,,Male,Right-handed,Exp,dot_recog,,0,0,,,,,
1,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,2,0,dot,missile,missile_mooney_dot_on3,target,horizontal_flip,pre,on,888jxl6515la645,html-keyboard-response,18,899514,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 651,https://exponline.ugr.es/publix/939/1007/start?srid=18905,682c2a43fe028855230e2f38,50,27,,Male,Right-handed,Exp,dot_recog,,0,0,,,,,
2,2761.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,pomegranate,pomegranate_mooney_dot_off2,target,regular,pre,off,888jxl6515la645,html-keyboard-response,22,903283,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 651,https://exponline.ugr.es/publix/939/1007/start?srid=18905,682c2a43fe028855230e2f38,50,27,,Male,Right-handed,Exp,dot_recog,e,1,0,,,,,
3,3097.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,parking_meter,parking_meter_mooney_dot_off4,target,upside_down,pre,off,888jxl6515la645,html-keyboard-response,26,907402,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 651,https://exponline.ugr.es/publix/939/1007/start?srid=18905,682c2a43fe028855230e2f38,50,27,,Male,Right-handed,Exp,dot_recog,i,0,1,,,,,
4,2725,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,missile,missile_mooney_dot_on1,target,horizontal_flip,pre,on,888jxl6515la645,html-keyboard-response,30,911138,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 651,https://exponline.ugr.es/publix/939/1007/start?srid=18905,682c2a43fe028855230e2f38,50,27,,Male,Right-handed,Exp,dot_recog,e,1,1,,,,,
5,3052.7000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,pomegranate,pomegranate_mooney_dot_on3,target,regular,pre,on,888jxl6515la645,html-keyboard-response,34,915210,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 651,https://exponline.ugr.es/publix/939/1007/start?srid=18905,682c2a43fe028855230e2f38,50,27,,Male,Right-handed,Exp,dot_recog,e,1,1,,,,,
6,1815.6000000014901,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,7,0,dot,parking_meter,parking_meter_mooney_dot_off2,target,upside_down,pre,off,888jxl6515la645,html-keyboard-response,38,918042,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 651,https://exponline.ugr.es/publix/939/1007/start?srid=18905,682c2a43fe028855230e2f38,50,27,,Male,Right-handed,Exp,dot_recog,i,0,1,,,,,
7,3079.60000000149,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,missile,missile_mooney_dot_off2,target,horizontal_flip,pre,off,888jxl6515la645,html-keyboard-response,42,922138,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 651,https://exponline.ugr.es/publix/939/1007/start?srid=18905,682c2a43fe028855230e2f38,50,27,,Male,Right-handed,Exp,dot_recog,e,1,0,,,,,
8,3449.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,pomegranate,pomegranate_mooney_dot_on1,target,regular,pre,on,888jxl6515la645,html-keyboard-response,46,926602,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 651,https://exponline.ugr.es/publix/939/1007/start?srid=18905,682c2a43fe028855230e2f38,50,27,,Male,Right-handed,Exp,dot_recog,e,1,1,,,,,
9,4384.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,10,0,dot,missile,missile_mooney_dot_off4,target,horizontal_flip,pre,off,888jxl6515la645,html-keyboard-response,50,931994,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 651,https://exponline.ugr.es/publix/939/1007/start?srid=18905,682c2a43fe028855230e2f38,50,27,,Male,Right-handed,Exp,dot_recog,i,0,1,,,,,
