index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,2759.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,1,0,dot,banana_peel,banana_peel_mooney_dot_off4,target,horizontal_flip,pre,off,8kbkd368txlue0j,html-keyboard-response,14,1167815,0.0-11.0-5.0-1.0,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
1,2707.5999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,2,0,dot,peanut_butter,peanut_butter_mooney_dot_on1,target,upside_down,pre,on,8kbkd368txlue0j,html-keyboard-response,18,1171534,0.0-11.0-5.1-1.1,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,dot_recog,i,0,0,,,,,
2,1811.1000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,3,0,dot,snail,snail_mooney_dot_off2,target,regular,pre,off,8kbkd368txlue0j,html-keyboard-response,22,1174351,0.0-11.0-5.2-1.2,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
3,1796.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,4,0,dot,banana_peel,banana_peel_mooney_dot_on1,target,horizontal_flip,pre,on,8kbkd368txlue0j,html-keyboard-response,26,1177159,0.0-11.0-5.3-1.3,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
4,1346.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,5,0,dot,peanut_butter,peanut_butter_mooney_dot_off2,target,upside_down,pre,off,8kbkd368txlue0j,html-keyboard-response,30,1179510,0.0-11.0-5.4-1.4,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,dot_recog,e,1,0,,,,,
5,3426.5999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,snail,snail_mooney_dot_on3,target,regular,pre,on,8kbkd368txlue0j,html-keyboard-response,34,1183950,0.0-11.0-5.5-1.5,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
6,1015.3000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,peanut_butter,peanut_butter_mooney_dot_on3,target,upside_down,pre,on,8kbkd368txlue0j,html-keyboard-response,38,1185975,0.0-11.0-5.6-1.6,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
7,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,8,0,dot,snail,snail_mooney_dot_on1,target,regular,pre,on,8kbkd368txlue0j,html-keyboard-response,42,1191996,0.0-11.0-5.7-1.7,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,dot_recog,,0,0,,,,,
8,2335.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,9,0,dot,banana_peel,banana_peel_mooney_dot_on3,target,horizontal_flip,pre,on,8kbkd368txlue0j,html-keyboard-response,46,1195350,0.0-11.0-5.8-1.8,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,dot_recog,i,0,0,,,,,
9,1215.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,10,0,dot,snail,snail_mooney_dot_off4,target,regular,pre,off,8kbkd368txlue0j,html-keyboard-response,50,1197582,0.0-11.0-5.9-1.9,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,dot_recog,e,1,0,,,,,
10,1452.2000000178814,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,11,0,dot,banana_peel,banana_peel_mooney_dot_off2,target,horizontal_flip,pre,off,8kbkd368txlue0j,html-keyboard-response,54,1200046,0.0-11.0-5.10-1.10,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
11,1929.5999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,12,0,dot,peanut_butter,peanut_butter_mooney_dot_off4,target,upside_down,pre,off,8kbkd368txlue0j,html-keyboard-response,58,1202982,0.0-11.0-5.11-1.11,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,dot_recog,e,1,0,,,,,
12,,,,13,0,recognition,snail,snail_mooney,target,regular,pre,null,8kbkd368txlue0j,survey-text-autocomplete,66,1224860,0.0-11.0-6.12-4.12,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,Recognition,,,,,"{""recognition"":""block""}",block,0.6018593783142936,0.0
13,,,,14,0,recognition,banana_peel,banana_peel_mooney,target,horizontal_flip,pre,null,8kbkd368txlue0j,survey-text-autocomplete,73,1237980,0.0-11.0-6.13-4.13,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,Recognition,,,,,"{""recognition"":""wafer""}",wafer,0.6447033085761742,0.0
14,,,,15,0,recognition,peanut_butter,peanut_butter_mooney,target,upside_down,pre,null,8kbkd368txlue0j,survey-text-autocomplete,80,1253873,0.0-11.0-6.14-4.14,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,Recognition,,,,,"{""recognition"":""saddle""}",saddle,0.8881613920806368,0.0
15,,,,16,0,recognition,snail,snail,target,regular,color,null,8kbkd368txlue0j,survey-text-autocomplete,87,1259603,0.0-11.0-6.15-4.15,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,Recognition,,,,,"{""recognition"":""snail""}",snail,0.0,1.0
16,,,,17,0,recognition,peanut_butter,peanut_butter,target,upside_down,color,null,8kbkd368txlue0j,survey-text-autocomplete,94,1266419,0.0-11.0-6.16-4.16,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,Recognition,,,,,"{""recognition"":""butter""}",butter,0.4250151248935615,0.0
17,,,,18,0,recognition,banana_peel,banana_peel,target,horizontal_flip,color,null,8kbkd368txlue0j,survey-text-autocomplete,101,1277987,0.0-11.0-6.17-4.17,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,Recognition,,,,,"{""recognition"":""banana peel""}",banana_peel,0.0,1.0
18,2749.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,19,1,dot,egg_roll,egg_roll_mooney_dot_off4,target,regular,pre,off,8kbkd368txlue0j,html-keyboard-response,107,1294021,0.0-11.0-5.18-1.18,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,dot_recog,e,1,0,,,,,
19,1328.300000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off6.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,20,1,dot,banana_peel,banana_peel_mooney_dot_off6,target,horizontal_flip,post,off,8kbkd368txlue0j,html-keyboard-response,111,1296365,0.0-11.0-5.19-1.19,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
20,793,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,21,1,dot,gutter,gutter_mooney_dot_off4,target,horizontal_flip,pre,off,8kbkd368txlue0j,html-keyboard-response,115,1298173,0.0-11.0-5.20-1.20,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
21,704.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on5.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,22,1,dot,snail,snail_mooney_dot_on5,target,regular,post,on,8kbkd368txlue0j,html-keyboard-response,119,1299893,0.0-11.0-5.21-1.21,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,dot_recog,i,0,0,,,,,
22,812.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on7.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,23,1,dot,peanut_butter,peanut_butter_mooney_dot_on7,target,upside_down,post,on,8kbkd368txlue0j,html-keyboard-response,123,1301717,0.0-11.0-5.22-1.22,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,dot_recog,i,0,0,,,,,
23,873.7999999821186,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off8.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,24,1,dot,banana_peel,banana_peel_mooney_dot_off8,target,horizontal_flip,post,off,8kbkd368txlue0j,html-keyboard-response,127,1303605,0.0-11.0-5.23-1.23,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
24,556.2999999821186,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,25,1,dot,parking_meter,parking_meter_mooney_dot_off2,target,upside_down,pre,off,8kbkd368txlue0j,html-keyboard-response,131,1305173,0.0-11.0-5.24-1.24,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,dot_recog,e,1,0,,,,,
25,666.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off6.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,26,1,dot,peanut_butter,peanut_butter_mooney_dot_off6,target,upside_down,post,off,8kbkd368txlue0j,html-keyboard-response,135,1306845,0.0-11.0-5.25-1.25,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
26,598.9000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on7.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,27,1,dot,banana_peel,banana_peel_mooney_dot_on7,target,horizontal_flip,post,on,8kbkd368txlue0j,html-keyboard-response,139,1308461,0.0-11.0-5.26-1.26,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,dot_recog,i,0,0,,,,,
27,919.9000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,28,1,dot,egg_roll,egg_roll_mooney_dot_on3,target,regular,pre,on,8kbkd368txlue0j,html-keyboard-response,143,1310389,0.0-11.0-5.27-1.27,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
28,794.3000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off8.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,29,1,dot,snail,snail_mooney_dot_off8,target,regular,post,off,8kbkd368txlue0j,html-keyboard-response,147,1312189,0.0-11.0-5.28-1.28,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,dot_recog,e,1,0,,,,,
29,1076.199999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off8.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,30,1,dot,peanut_butter,peanut_butter_mooney_dot_off8,target,upside_down,post,off,8kbkd368txlue0j,html-keyboard-response,151,1314277,0.0-11.0-5.29-1.29,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,dot_recog,e,1,0,,,,,
30,630.7999999821186,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,31,1,dot,gutter,gutter_mooney_dot_off2,target,horizontal_flip,pre,off,8kbkd368txlue0j,html-keyboard-response,155,1315925,0.0-11.0-5.30-1.30,Chrome,135.0,Windows,10,undefined,undefined,2304 x 1440,1680 x 961,https://exponline.ugr.es/publix/939/1007/start?srid=18829,682793e871929ab6cc958779,62,22,United States,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
