index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1668.0999999999767,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,1,0,dot,carriage,carriage_mooney_dot_on3,target,upside_down,pre,on,8rvoh5ynem4a5bd,html-keyboard-response,14,144994,0.0-11.0-5.0-1.0,Chrome,136.0,macOS,10.15.7,undefined,undefined,1792 x 1120,1792 x 926,https://exponline.ugr.es/publix/939/1007/start?srid=18892,676aaaf85232053baf865ac6,78,35,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
1,1399.7999999999884,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,peanut_butter,peanut_butter_mooney_dot_off4,target,regular,pre,off,8rvoh5ynem4a5bd,html-keyboard-response,18,147398,0.0-11.0-5.1-1.1,Chrome,136.0,macOS,10.15.7,undefined,undefined,1792 x 1120,1792 x 926,https://exponline.ugr.es/publix/939/1007/start?srid=18892,676aaaf85232053baf865ac6,78,35,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
2,1085.4000000000233,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,steak,steak_mooney_dot_on1,target,horizontal_flip,pre,on,8rvoh5ynem4a5bd,html-keyboard-response,22,149488,0.0-11.0-5.2-1.2,Chrome,136.0,macOS,10.15.7,undefined,undefined,1792 x 1120,1792 x 926,https://exponline.ugr.es/publix/939/1007/start?srid=18892,676aaaf85232053baf865ac6,78,35,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
3,2375.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,4,0,dot,peanut_butter,peanut_butter_mooney_dot_off2,target,regular,pre,off,8rvoh5ynem4a5bd,html-keyboard-response,26,152867,0.0-11.0-5.3-1.3,Chrome,136.0,macOS,10.15.7,undefined,undefined,1792 x 1120,1792 x 926,https://exponline.ugr.es/publix/939/1007/start?srid=18892,676aaaf85232053baf865ac6,78,35,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
4,2068.5999999999767,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,5,0,dot,carriage,carriage_mooney_dot_off2,target,upside_down,pre,off,8rvoh5ynem4a5bd,html-keyboard-response,30,155940,0.0-11.0-5.4-1.4,Chrome,136.0,macOS,10.15.7,undefined,undefined,1792 x 1120,1792 x 926,https://exponline.ugr.es/publix/939/1007/start?srid=18892,676aaaf85232053baf865ac6,78,35,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
5,1973.0999999999767,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,steak,steak_mooney_dot_off4,target,horizontal_flip,pre,off,8rvoh5ynem4a5bd,html-keyboard-response,34,158917,0.0-11.0-5.5-1.5,Chrome,136.0,macOS,10.15.7,undefined,undefined,1792 x 1120,1792 x 926,https://exponline.ugr.es/publix/939/1007/start?srid=18892,676aaaf85232053baf865ac6,78,35,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
6,1076,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,peanut_butter,peanut_butter_mooney_dot_on3,target,regular,pre,on,8rvoh5ynem4a5bd,html-keyboard-response,38,160996,0.0-11.0-5.6-1.6,Chrome,136.0,macOS,10.15.7,undefined,undefined,1792 x 1120,1792 x 926,https://exponline.ugr.es/publix/939/1007/start?srid=18892,676aaaf85232053baf865ac6,78,35,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
7,1099,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,steak,steak_mooney_dot_on3,target,horizontal_flip,pre,on,8rvoh5ynem4a5bd,html-keyboard-response,42,163098,0.0-11.0-5.7-1.7,Chrome,136.0,macOS,10.15.7,undefined,undefined,1792 x 1120,1792 x 926,https://exponline.ugr.es/publix/939/1007/start?srid=18892,676aaaf85232053baf865ac6,78,35,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
8,2006.5999999999767,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,9,0,dot,carriage,carriage_mooney_dot_off4,target,upside_down,pre,off,8rvoh5ynem4a5bd,html-keyboard-response,46,166108,0.0-11.0-5.8-1.8,Chrome,136.0,macOS,10.15.7,undefined,undefined,1792 x 1120,1792 x 926,https://exponline.ugr.es/publix/939/1007/start?srid=18892,676aaaf85232053baf865ac6,78,35,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
9,782.4000000000233,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,peanut_butter,peanut_butter_mooney_dot_on1,target,regular,pre,on,8rvoh5ynem4a5bd,html-keyboard-response,50,167895,0.0-11.0-5.9-1.9,Chrome,136.0,macOS,10.15.7,undefined,undefined,1792 x 1120,1792 x 926,https://exponline.ugr.es/publix/939/1007/start?srid=18892,676aaaf85232053baf865ac6,78,35,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
