index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,4036.3000000044703,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,1,0,dot,candelabra,candelabra_mooney_dot_off4,target,upside_down,pre,off,9xfum3bxv5sa1bh,html-keyboard-response,14,380087,0.0-11.0-5.0-1.0,Chrome,136.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1271,https://exponline.ugr.es/publix/939/1007/start?srid=18811,597d52463358830001cad7cf,55,24,Canada,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
1,4467.19999999553,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,2,0,dot,eclair,eclair_mooney_dot_off2,target,horizontal_flip,pre,off,9xfum3bxv5sa1bh,html-keyboard-response,18,385563,0.0-11.0-5.1-1.1,Chrome,136.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1271,https://exponline.ugr.es/publix/939/1007/start?srid=18811,597d52463358830001cad7cf,55,24,Canada,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
2,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",null,3,0,dot,candelabra,candelabra_mooney_dot_on3,target,upside_down,pre,on,9xfum3bxv5sa1bh,html-keyboard-response,22,391581,0.0-11.0-5.2-1.2,Chrome,136.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1271,https://exponline.ugr.es/publix/939/1007/start?srid=18811,597d52463358830001cad7cf,55,24,Canada,Male,Right-handed,Exp,dot_recog,,0,0,,,,,
3,4624,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,4,0,dot,eclair,eclair_mooney_dot_on1,target,horizontal_flip,pre,on,9xfum3bxv5sa1bh,html-keyboard-response,26,397218,0.0-11.0-5.3-1.3,Chrome,136.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1271,https://exponline.ugr.es/publix/939/1007/start?srid=18811,597d52463358830001cad7cf,55,24,Canada,Male,Right-handed,Exp,dot_recog,e,0,0,,,,,
4,4464.20000000298,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/mannequin_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,mannequin,mannequin_mooney_dot_on1,target,regular,pre,on,9xfum3bxv5sa1bh,html-keyboard-response,30,402699,0.0-11.0-5.4-1.4,Chrome,136.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1271,https://exponline.ugr.es/publix/939/1007/start?srid=18811,597d52463358830001cad7cf,55,24,Canada,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
5,3931,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,eclair,eclair_mooney_dot_off4,target,horizontal_flip,pre,off,9xfum3bxv5sa1bh,html-keyboard-response,34,407645,0.0-11.0-5.5-1.5,Chrome,136.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1271,https://exponline.ugr.es/publix/939/1007/start?srid=18811,597d52463358830001cad7cf,55,24,Canada,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
6,3895.8000000044703,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/mannequin_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,mannequin,mannequin_mooney_dot_off4,target,regular,pre,off,9xfum3bxv5sa1bh,html-keyboard-response,38,412556,0.0-11.0-5.6-1.6,Chrome,136.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1271,https://exponline.ugr.es/publix/939/1007/start?srid=18811,597d52463358830001cad7cf,55,24,Canada,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
7,3615.7000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,8,0,dot,candelabra,candelabra_mooney_dot_off2,target,upside_down,pre,off,9xfum3bxv5sa1bh,html-keyboard-response,42,417184,0.0-11.0-5.7-1.7,Chrome,136.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1271,https://exponline.ugr.es/publix/939/1007/start?srid=18811,597d52463358830001cad7cf,55,24,Canada,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
8,3449.8000000044703,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/mannequin_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,mannequin,mannequin_mooney_dot_off2,target,regular,pre,off,9xfum3bxv5sa1bh,html-keyboard-response,46,421639,0.0-11.0-5.8-1.8,Chrome,136.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1271,https://exponline.ugr.es/publix/939/1007/start?srid=18811,597d52463358830001cad7cf,55,24,Canada,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
9,3567.89999999851,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,candelabra,candelabra_mooney_dot_on1,target,upside_down,pre,on,9xfum3bxv5sa1bh,html-keyboard-response,50,426210,0.0-11.0-5.9-1.9,Chrome,136.0,Windows,10,undefined,undefined,2560 x 1440,2560 x 1271,https://exponline.ugr.es/publix/939/1007/start?srid=18811,597d52463358830001cad7cf,55,24,Canada,Male,Right-handed,Exp,dot_recog,e,0,0,,,,,
