index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1566.6000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/punching_bag_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,1,0,dot,punching_bag,punching_bag_mooney_dot_off4,target,upside_down,pre,off,acjflcr6kk7m9pb,html-keyboard-response,14,577504,0.0-11.0-5.0-1.0,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18828,67d72e56bfef3906846145ae,67,27,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,,
1,1068.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,carriage,carriage_mooney_dot_on1,target,regular,pre,on,acjflcr6kk7m9pb,html-keyboard-response,18,579589,0.0-11.0-5.1-1.1,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18828,67d72e56bfef3906846145ae,67,27,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
2,883,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/punching_bag_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,3,0,dot,punching_bag,punching_bag_mooney_dot_on3,target,upside_down,pre,on,acjflcr6kk7m9pb,html-keyboard-response,22,581490,0.0-11.0-5.2-1.2,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18828,67d72e56bfef3906846145ae,67,27,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
3,1671.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,4,0,dot,scarf,scarf_mooney_dot_off2,target,horizontal_flip,pre,off,acjflcr6kk7m9pb,html-keyboard-response,26,584172,0.0-11.0-5.3-1.3,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18828,67d72e56bfef3906846145ae,67,27,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,,
4,4666.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,carriage,carriage_mooney_dot_off4,target,regular,pre,off,acjflcr6kk7m9pb,html-keyboard-response,30,589863,0.0-11.0-5.4-1.4,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18828,67d72e56bfef3906846145ae,67,27,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,,
5,2414.599999964237,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,scarf,scarf_mooney_dot_off4,target,horizontal_flip,pre,off,acjflcr6kk7m9pb,html-keyboard-response,34,593300,0.0-11.0-5.5-1.5,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18828,67d72e56bfef3906846145ae,67,27,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,,
6,2543.800000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/punching_bag_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,punching_bag,punching_bag_mooney_dot_on1,target,upside_down,pre,on,acjflcr6kk7m9pb,html-keyboard-response,38,596865,0.0-11.0-5.6-1.6,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18828,67d72e56bfef3906846145ae,67,27,United States,Female,Right-handed,Exp,dot_recog,e,0,0,,,,,
7,1143.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,carriage,carriage_mooney_dot_off2,target,regular,pre,off,acjflcr6kk7m9pb,html-keyboard-response,42,599030,0.0-11.0-5.7-1.7,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18828,67d72e56bfef3906846145ae,67,27,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,,
8,1552.199999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,9,0,dot,scarf,scarf_mooney_dot_on1,target,horizontal_flip,pre,on,acjflcr6kk7m9pb,html-keyboard-response,46,601609,0.0-11.0-5.8-1.8,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18828,67d72e56bfef3906846145ae,67,27,United States,Female,Right-handed,Exp,dot_recog,e,0,0,,,,,
9,2129.199999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/punching_bag_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,punching_bag,punching_bag_mooney_dot_off2,target,upside_down,pre,off,acjflcr6kk7m9pb,html-keyboard-response,50,604766,0.0-11.0-5.9-1.9,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18828,67d72e56bfef3906846145ae,67,27,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,,
10,1364.0999999642372,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,11,0,dot,scarf,scarf_mooney_dot_on3,target,horizontal_flip,pre,on,acjflcr6kk7m9pb,html-keyboard-response,54,607210,0.0-11.0-5.10-1.10,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18828,67d72e56bfef3906846145ae,67,27,United States,Female,Right-handed,Exp,dot_recog,e,0,0,,,,,
