index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,869,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,1,0,dot,peanut_butter,peanut_butter_mooney_dot_off2,target,horizontal_flip,pre,off,bjsmktrzd2eveoj,html-keyboard-response,14,456164,0.0-11.0-5.0-1.0,Firefox,138.0,Windows,10,undefined,undefined,1621 x 912,1621 x 744,https://exponline.ugr.es/publix/939/1007/start?srid=18915,682379ce8c5b447d8a88a29e,35,19,South Africa,Male,Right-handed,Exp,dot_recog,e,1,0,,,,,
1,1192,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,2,0,dot,backpack,backpack_mooney_dot_off4,target,upside_down,pre,off,bjsmktrzd2eveoj,html-keyboard-response,18,458364,0.0-11.0-5.1-1.1,Firefox,138.0,Windows,10,undefined,undefined,1621 x 912,1621 x 744,https://exponline.ugr.es/publix/939/1007/start?srid=18915,682379ce8c5b447d8a88a29e,35,19,South Africa,Male,Right-handed,Exp,dot_recog,i,0,1,,,,,
2,1487,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,gargoyle,gargoyle_mooney_dot_off2,target,regular,pre,off,bjsmktrzd2eveoj,html-keyboard-response,22,460871,0.0-11.0-5.2-1.2,Firefox,138.0,Windows,10,undefined,undefined,1621 x 912,1621 x 744,https://exponline.ugr.es/publix/939/1007/start?srid=18915,682379ce8c5b447d8a88a29e,35,19,South Africa,Male,Right-handed,Exp,dot_recog,e,1,0,,,,,
3,1294,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,backpack,backpack_mooney_dot_off2,target,upside_down,pre,off,bjsmktrzd2eveoj,html-keyboard-response,26,463173,0.0-11.0-5.3-1.3,Firefox,138.0,Windows,10,undefined,undefined,1621 x 912,1621 x 744,https://exponline.ugr.es/publix/939/1007/start?srid=18915,682379ce8c5b447d8a88a29e,35,19,South Africa,Male,Right-handed,Exp,dot_recog,e,1,0,,,,,
4,918,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,peanut_butter,peanut_butter_mooney_dot_off4,target,horizontal_flip,pre,off,bjsmktrzd2eveoj,html-keyboard-response,30,465101,0.0-11.0-5.4-1.4,Firefox,138.0,Windows,10,undefined,undefined,1621 x 912,1621 x 744,https://exponline.ugr.es/publix/939/1007/start?srid=18915,682379ce8c5b447d8a88a29e,35,19,South Africa,Male,Right-handed,Exp,dot_recog,i,0,1,,,,,
5,1013,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,gargoyle,gargoyle_mooney_dot_on3,target,regular,pre,on,bjsmktrzd2eveoj,html-keyboard-response,34,467121,0.0-11.0-5.5-1.5,Firefox,138.0,Windows,10,undefined,undefined,1621 x 912,1621 x 744,https://exponline.ugr.es/publix/939/1007/start?srid=18915,682379ce8c5b447d8a88a29e,35,19,South Africa,Male,Right-handed,Exp,dot_recog,e,1,1,,,,,
6,1221,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,7,0,dot,peanut_butter,peanut_butter_mooney_dot_on1,target,horizontal_flip,pre,on,bjsmktrzd2eveoj,html-keyboard-response,38,469354,0.0-11.0-5.6-1.6,Firefox,138.0,Windows,10,undefined,undefined,1621 x 912,1621 x 744,https://exponline.ugr.es/publix/939/1007/start?srid=18915,682379ce8c5b447d8a88a29e,35,19,South Africa,Male,Right-handed,Exp,dot_recog,e,1,1,,,,,
7,868,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,gargoyle,gargoyle_mooney_dot_off4,target,regular,pre,off,bjsmktrzd2eveoj,html-keyboard-response,42,471230,0.0-11.0-5.7-1.7,Firefox,138.0,Windows,10,undefined,undefined,1621 x 912,1621 x 744,https://exponline.ugr.es/publix/939/1007/start?srid=18915,682379ce8c5b447d8a88a29e,35,19,South Africa,Male,Right-handed,Exp,dot_recog,e,1,0,,,,,
8,1067,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,backpack,backpack_mooney_dot_on1,target,upside_down,pre,on,bjsmktrzd2eveoj,html-keyboard-response,46,473311,0.0-11.0-5.8-1.8,Firefox,138.0,Windows,10,undefined,undefined,1621 x 912,1621 x 744,https://exponline.ugr.es/publix/939/1007/start?srid=18915,682379ce8c5b447d8a88a29e,35,19,South Africa,Male,Right-handed,Exp,dot_recog,i,0,0,,,,,
9,885,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,10,0,dot,peanut_butter,peanut_butter_mooney_dot_on3,target,horizontal_flip,pre,on,bjsmktrzd2eveoj,html-keyboard-response,50,475308,0.0-11.0-5.9-1.9,Firefox,138.0,Windows,10,undefined,undefined,1621 x 912,1621 x 744,https://exponline.ugr.es/publix/939/1007/start?srid=18915,682379ce8c5b447d8a88a29e,35,19,South Africa,Male,Right-handed,Exp,dot_recog,i,0,0,,,,,
