index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,3138.2000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,1,0,dot,pomegranate,pomegranate_mooney_dot_off4,target,regular,pre,off,bmauh6percdx9bg,html-keyboard-response,14,364293,0.0-11.0-5.0-1.0,Chrome,136.0,macOS,10.15.7,undefined,undefined,1280 x 800,905 x 566,https://exponline.ugr.es/publix/939/1007/start?srid=18830,5e909d6c5321c13abee11725,29,37,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,0,,,,,
1,947.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,2,0,dot,peanut_butter,peanut_butter_mooney_dot_off4,target,upside_down,pre,off,bmauh6percdx9bg,html-keyboard-response,18,366246,0.0-11.0-5.1-1.1,Chrome,136.0,macOS,10.15.7,undefined,undefined,1280 x 800,905 x 566,https://exponline.ugr.es/publix/939/1007/start?srid=18830,5e909d6c5321c13abee11725,29,37,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,0,,,,,
2,760.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,pomegranate,pomegranate_mooney_dot_on3,target,regular,pre,on,bmauh6percdx9bg,html-keyboard-response,22,368012,0.0-11.0-5.2-1.2,Chrome,136.0,macOS,10.15.7,undefined,undefined,1280 x 800,905 x 566,https://exponline.ugr.es/publix/939/1007/start?srid=18830,5e909d6c5321c13abee11725,29,37,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
3,491.1000000089407,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,peanut_butter,peanut_butter_mooney_dot_on1,target,upside_down,pre,on,bmauh6percdx9bg,html-keyboard-response,26,369508,0.0-11.0-5.3-1.3,Chrome,136.0,macOS,10.15.7,undefined,undefined,1280 x 800,905 x 566,https://exponline.ugr.es/publix/939/1007/start?srid=18830,5e909d6c5321c13abee11725,29,37,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
4,485.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,puffin,puffin_mooney_dot_off2,target,horizontal_flip,pre,off,bmauh6percdx9bg,html-keyboard-response,30,370999,0.0-11.0-5.4-1.4,Chrome,136.0,macOS,10.15.7,undefined,undefined,1280 x 800,905 x 566,https://exponline.ugr.es/publix/939/1007/start?srid=18830,5e909d6c5321c13abee11725,29,37,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,0,,,,,
5,630.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,6,0,dot,pomegranate,pomegranate_mooney_dot_on1,target,regular,pre,on,bmauh6percdx9bg,html-keyboard-response,34,372634,0.0-11.0-5.5-1.5,Chrome,136.0,macOS,10.15.7,undefined,undefined,1280 x 800,905 x 566,https://exponline.ugr.es/publix/939/1007/start?srid=18830,5e909d6c5321c13abee11725,29,37,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,0,,,,,
6,984.8999999910593,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,peanut_butter,peanut_butter_mooney_dot_off2,target,upside_down,pre,off,bmauh6percdx9bg,html-keyboard-response,38,374624,0.0-11.0-5.6-1.6,Chrome,136.0,macOS,10.15.7,undefined,undefined,1280 x 800,905 x 566,https://exponline.ugr.es/publix/939/1007/start?srid=18830,5e909d6c5321c13abee11725,29,37,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,0,,,,,
7,671.2999999970198,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,puffin,puffin_mooney_dot_on3,target,horizontal_flip,pre,on,bmauh6percdx9bg,html-keyboard-response,42,376300,0.0-11.0-5.7-1.7,Chrome,136.0,macOS,10.15.7,undefined,undefined,1280 x 800,905 x 566,https://exponline.ugr.es/publix/939/1007/start?srid=18830,5e909d6c5321c13abee11725,29,37,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
8,538.7000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,9,0,dot,peanut_butter,peanut_butter_mooney_dot_on3,target,upside_down,pre,on,bmauh6percdx9bg,html-keyboard-response,46,377844,0.0-11.0-5.8-1.8,Chrome,136.0,macOS,10.15.7,undefined,undefined,1280 x 800,905 x 566,https://exponline.ugr.es/publix/939/1007/start?srid=18830,5e909d6c5321c13abee11725,29,37,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
9,409.30000001192093,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,10,0,dot,puffin,puffin_mooney_dot_off4,target,horizontal_flip,pre,off,bmauh6percdx9bg,html-keyboard-response,50,379259,0.0-11.0-5.9-1.9,Chrome,136.0,macOS,10.15.7,undefined,undefined,1280 x 800,905 x 566,https://exponline.ugr.es/publix/939/1007/start?srid=18830,5e909d6c5321c13abee11725,29,37,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,0,,,,,
