index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,1,0,dot,peanut_butter,peanut_butter_mooney_dot_on3,target,horizontal_flip,pre,on,c3r1bn5gx6po8qv,html-keyboard-response,14,1875131,0.0-11.0-5.0-1.0,Chrome,131.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18845,68256ac2cdeacf4bb3e76b17,22,30,United States,Male,Right-handed,Exp,dot_recog,,0,0,,,,,
1,1556,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/football_helmet_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,football_helmet,football_helmet_mooney_dot_on3,target,regular,pre,on,c3r1bn5gx6po8qv,html-keyboard-response,18,1877691,0.0-11.0-5.1-1.1,Chrome,131.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18845,68256ac2cdeacf4bb3e76b17,22,30,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
2,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,3,0,dot,peanut_butter,peanut_butter_mooney_dot_off4,target,horizontal_flip,pre,off,c3r1bn5gx6po8qv,html-keyboard-response,22,1883696,0.0-11.0-5.2-1.2,Chrome,131.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18845,68256ac2cdeacf4bb3e76b17,22,30,United States,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
3,1454.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,surfboard,surfboard_mooney_dot_on3,target,upside_down,pre,on,c3r1bn5gx6po8qv,html-keyboard-response,26,1886154,0.0-11.0-5.3-1.3,Chrome,131.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18845,68256ac2cdeacf4bb3e76b17,22,30,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
4,1564.5999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/football_helmet_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,football_helmet,football_helmet_mooney_dot_off4,target,regular,pre,off,c3r1bn5gx6po8qv,html-keyboard-response,30,1888722,0.0-11.0-5.4-1.4,Chrome,131.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18845,68256ac2cdeacf4bb3e76b17,22,30,United States,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
5,451.69999998807907,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,surfboard,surfboard_mooney_dot_off2,target,upside_down,pre,off,c3r1bn5gx6po8qv,html-keyboard-response,34,1890178,0.0-11.0-5.5-1.5,Chrome,131.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18845,68256ac2cdeacf4bb3e76b17,22,30,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
6,788.5999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,7,0,dot,peanut_butter,peanut_butter_mooney_dot_on1,target,horizontal_flip,pre,on,c3r1bn5gx6po8qv,html-keyboard-response,38,1891970,0.0-11.0-5.6-1.6,Chrome,131.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18845,68256ac2cdeacf4bb3e76b17,22,30,United States,Male,Right-handed,Exp,dot_recog,e,0,0,,,,,
7,866.8000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/football_helmet_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,football_helmet,football_helmet_mooney_dot_off2,target,regular,pre,off,c3r1bn5gx6po8qv,html-keyboard-response,42,1893845,0.0-11.0-5.7-1.7,Chrome,131.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18845,68256ac2cdeacf4bb3e76b17,22,30,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
8,609.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,surfboard,surfboard_mooney_dot_off4,target,upside_down,pre,off,c3r1bn5gx6po8qv,html-keyboard-response,46,1895458,0.0-11.0-5.8-1.8,Chrome,131.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18845,68256ac2cdeacf4bb3e76b17,22,30,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
9,748.9000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/football_helmet_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,football_helmet,football_helmet_mooney_dot_on1,target,regular,pre,on,c3r1bn5gx6po8qv,html-keyboard-response,50,1897210,0.0-11.0-5.9-1.9,Chrome,131.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18845,68256ac2cdeacf4bb3e76b17,22,30,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
