index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,437088,0.0-11.0-5.0-1.0,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,2441.7000000029802,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,candelabra,candelabra_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,i,1,0,,,,
18,,,,,,html-keyboard-response,18,442444,0.0-11.0-5.1-1.1,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,4349.800000011921,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,2,0,dot,snail,snail_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,e,0,0,,,,
22,,,,,,html-keyboard-response,22,448455,0.0-11.0-5.2-1.2,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,null,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",null,3,0,dot,puddle,puddle_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,,0,0,,,,
26,,,,,,html-keyboard-response,26,451628,0.0-11.0-5.3-1.3,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,2163.2000000029802,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,4,0,dot,candelabra,candelabra_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,i,1,1,,,,
30,,,,,,html-keyboard-response,30,454912,0.0-11.0-5.4-1.4,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,2280.1000000089407,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,5,0,dot,puddle,puddle_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,e,0,1,,,,
34,,,,,,html-keyboard-response,34,458338,0.0-11.0-5.5-1.5,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,2416.1000000089407,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,snail,snail_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,e,0,0,,,,
38,,,,,,html-keyboard-response,38,460707,0.0-11.0-5.6-1.6,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,1363.7000000029802,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,puddle,puddle_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,e,0,1,,,,
42,,,,,,html-keyboard-response,42,463460,0.0-11.0-5.7-1.7,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,1729.5999999940395,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,snail,snail_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,e,0,1,,,,
46,,,,,,html-keyboard-response,46,465666,0.0-11.0-5.8-1.8,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,1197.2000000029802,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,puddle,puddle_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,i,1,1,,,,
50,,,,,,html-keyboard-response,50,469315,0.0-11.0-5.9-1.9,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,2636.699999988079,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,10,0,dot,candelabra,candelabra_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,e,0,0,,,,
54,,,,,,html-keyboard-response,54,471477,0.0-11.0-5.10-1.10,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,1157.6000000089407,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,11,0,dot,snail,snail_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,e,0,1,,,,
58,,,,,,html-keyboard-response,58,475028,0.0-11.0-5.11-1.11,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,2541.5,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,12,0,dot,candelabra,candelabra_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,e,0,1,,,,
65,,,,,,survey-text-autocomplete,66,498374,0.0-11.0-6.12-4.12,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,,"{""recognition"":""human elbow""}",,,,,13,0,recognition,snail,snail_mooney,target,horizontal_flip,pre,null,Exp,Recognition,,,,,human_elbow,0.8374323823292693,0.0
71,,,,,,survey-text-autocomplete,73,514732,0.0-11.0-6.13-4.13,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,,"{""recognition"":""road roller""}",,,,,14,0,recognition,candelabra,candelabra_mooney,target,regular,pre,null,Exp,Recognition,,,,,road_roller,0.9125384689893665,0.0
77,,,,,,survey-text-autocomplete,80,536543,0.0-11.0-6.14-4.14,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,,"""timeout""",,,,,15,0,recognition,puddle,puddle_mooney,target,upside_down,pre,null,Exp,Recognition,,,,,,,0.0
83,,,,,,survey-text-autocomplete,87,544292,0.0-11.0-6.15-4.15,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,,"{""recognition"":""snail""}",,,,,16,0,recognition,snail,snail,target,horizontal_flip,color,null,Exp,Recognition,,,,,snail,0.0,1.0
89,,,,,,survey-text-autocomplete,94,555547,0.0-11.0-6.16-4.16,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,,"{""recognition"":""lamppost""}",,,,,17,0,recognition,candelabra,candelabra,target,regular,color,null,Exp,Recognition,,,,,lamppost,0.5611927038835182,0.0
95,,,,,,survey-text-autocomplete,101,569328,0.0-11.0-6.17-4.17,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,,"{""recognition"":""home""}",,,,,18,0,recognition,puddle,puddle,target,upside_down,color,null,Exp,Recognition,,,,,home,0.7786526134921037,0.0
101,,,,,,html-keyboard-response,107,582561,0.0-11.0-5.18-1.18,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,2144,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/figurine_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,19,1,dot,figurine,figurine_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,e,0,1,,,,
105,,,,,,html-keyboard-response,111,585137,0.0-11.0-5.19-1.19,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,1556.300000011921,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on5.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,20,1,dot,snail,snail_mooney_dot_on5,target,horizontal_flip,post,on,Exp,dot_recog,i,1,1,,,,
109,,,,,,html-keyboard-response,115,587402,0.0-11.0-5.20-1.20,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,1253.2000000029802,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off6.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,21,1,dot,candelabra,candelabra_mooney_dot_off6,target,regular,post,off,Exp,dot_recog,i,1,0,,,,
113,,,,,,html-keyboard-response,119,590283,0.0-11.0-5.21-1.21,Chrome,133.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,ddwvwowk82o43e0,https://exponline.ugr.es/publix/939/1007/start?srid=18832,68213b7920cd65cc4670db04,58,28,United States,Male,Right-handed,,1869.7999999970198,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on5.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,22,1,dot,puddle,puddle_mooney_dot_on5,target,upside_down,post,on,Exp,dot_recog,e,0,0,,,,
