index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,4958.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,axe,axe_mooney_dot_on1,target,horizontal_flip,pre,on,e29rcfkfdawhyw8,html-keyboard-response,14,511003,0.0-11.0-5.0-1.0,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18860,6823654535c6258ad23a3fd3,74,31,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
1,2084.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/football_helmet_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,football_helmet,football_helmet_mooney_dot_on3,target,regular,pre,on,e29rcfkfdawhyw8,html-keyboard-response,18,514099,0.0-11.0-5.1-1.1,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18860,6823654535c6258ad23a3fd3,74,31,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
2,2048.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,3,0,dot,backpack,backpack_mooney_dot_on3,target,upside_down,pre,on,e29rcfkfdawhyw8,html-keyboard-response,22,517155,0.0-11.0-5.2-1.2,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18860,6823654535c6258ad23a3fd3,74,31,United States,Female,Right-handed,Exp,dot_recog,e,0,0,,,,,
3,1321.2000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/football_helmet_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,4,0,dot,football_helmet,football_helmet_mooney_dot_on1,target,regular,pre,on,e29rcfkfdawhyw8,html-keyboard-response,26,519493,0.0-11.0-5.3-1.3,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18860,6823654535c6258ad23a3fd3,74,31,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
4,488.20000000298023,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,5,0,dot,backpack,backpack_mooney_dot_off2,target,upside_down,pre,off,e29rcfkfdawhyw8,html-keyboard-response,30,521003,0.0-11.0-5.4-1.4,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18860,6823654535c6258ad23a3fd3,74,31,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,,
5,2174.8999999910593,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,axe,axe_mooney_dot_off2,target,horizontal_flip,pre,off,e29rcfkfdawhyw8,html-keyboard-response,34,524189,0.0-11.0-5.5-1.5,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18860,6823654535c6258ad23a3fd3,74,31,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,,
6,1290.2000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,7,0,dot,backpack,backpack_mooney_dot_off4,target,upside_down,pre,off,e29rcfkfdawhyw8,html-keyboard-response,38,526494,0.0-11.0-5.6-1.6,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18860,6823654535c6258ad23a3fd3,74,31,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,,
7,1027,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,axe,axe_mooney_dot_on3,target,horizontal_flip,pre,on,e29rcfkfdawhyw8,html-keyboard-response,42,528534,0.0-11.0-5.7-1.7,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18860,6823654535c6258ad23a3fd3,74,31,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
8,3003.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/football_helmet_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,9,0,dot,football_helmet,football_helmet_mooney_dot_off4,target,regular,pre,off,e29rcfkfdawhyw8,html-keyboard-response,46,532546,0.0-11.0-5.8-1.8,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18860,6823654535c6258ad23a3fd3,74,31,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,,
9,1282.7000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,backpack,backpack_mooney_dot_on1,target,upside_down,pre,on,e29rcfkfdawhyw8,html-keyboard-response,50,534849,0.0-11.0-5.9-1.9,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18860,6823654535c6258ad23a3fd3,74,31,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
10,1509.2999999970198,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/football_helmet_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,11,0,dot,football_helmet,football_helmet_mooney_dot_off2,target,regular,pre,off,e29rcfkfdawhyw8,html-keyboard-response,54,537371,0.0-11.0-5.10-1.10,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18860,6823654535c6258ad23a3fd3,74,31,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,,
11,909.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,12,0,dot,axe,axe_mooney_dot_off4,target,horizontal_flip,pre,off,e29rcfkfdawhyw8,html-keyboard-response,58,539297,0.0-11.0-5.11-1.11,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18860,6823654535c6258ad23a3fd3,74,31,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,,
12,,,,13,0,recognition,football_helmet,football_helmet_mooney,target,regular,pre,null,e29rcfkfdawhyw8,survey-text-autocomplete,66,563145,0.0-11.0-6.12-4.12,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18860,6823654535c6258ad23a3fd3,74,31,United States,Female,Right-handed,Exp,Recognition,,,,,"""timeout""",,,0.0
13,,,,14,0,recognition,backpack,backpack_mooney,target,upside_down,pre,null,e29rcfkfdawhyw8,survey-text-autocomplete,73,572649,0.0-11.0-6.13-4.13,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18860,6823654535c6258ad23a3fd3,74,31,United States,Female,Right-handed,Exp,Recognition,,,,,"{""recognition"":""dragonfly""}",dragonfly,0.6807665462065163,0.0
14,,,,15,0,recognition,axe,axe_mooney,target,horizontal_flip,pre,null,e29rcfkfdawhyw8,survey-text-autocomplete,80,593960,0.0-11.0-6.14-4.14,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18860,6823654535c6258ad23a3fd3,74,31,United States,Female,Right-handed,Exp,Recognition,,,,,"{""recognition"":""waffle""}",waffle,0.7534311680686254,0.0
15,,,,16,0,recognition,football_helmet,football_helmet,target,regular,color,null,e29rcfkfdawhyw8,survey-text-autocomplete,87,603137,0.0-11.0-6.15-4.15,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18860,6823654535c6258ad23a3fd3,74,31,United States,Female,Right-handed,Exp,Recognition,,,,,"{""recognition"":""pacifier""}",pacifier,0.6647715206934162,0.0
16,,,,17,0,recognition,backpack,backpack,target,upside_down,color,null,e29rcfkfdawhyw8,survey-text-autocomplete,94,610410,0.0-11.0-6.16-4.16,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18860,6823654535c6258ad23a3fd3,74,31,United States,Female,Right-handed,Exp,Recognition,,,,,"{""recognition"":""dagger""}",dagger,0.6690168906995212,0.0
