index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,946.7000000001863,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,aloe,aloe_mooney_dot_off2,target,regular,pre,off,e66824p1nwxpj9m,html-keyboard-response,14,218859,0.0-11.0-5.0-1.0,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/1007/start?srid=18848,67936ef71361a451201f9717,44,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
1,1037.8000000002794,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,2,0,dot,shears,shears_mooney_dot_off2,target,upside_down,pre,off,e66824p1nwxpj9m,html-keyboard-response,20,226163,0.0-11.0-5.1-1.1,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/1007/start?srid=18848,67936ef71361a451201f9717,44,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
2,833.3999999999069,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,gutter,gutter_mooney_dot_off4,target,horizontal_flip,pre,off,e66824p1nwxpj9m,html-keyboard-response,26,231666,0.0-11.0-5.2-1.2,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/1007/start?srid=18848,67936ef71361a451201f9717,44,30,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
3,595.9000000003725,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,4,0,dot,aloe,aloe_mooney_dot_on1,target,regular,pre,on,e66824p1nwxpj9m,html-keyboard-response,30,233274,0.0-11.0-5.3-1.3,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/1007/start?srid=18848,67936ef71361a451201f9717,44,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
4,563.2000000001863,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,gutter,gutter_mooney_dot_on3,target,horizontal_flip,pre,on,e66824p1nwxpj9m,html-keyboard-response,34,234850,0.0-11.0-5.4-1.4,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/1007/start?srid=18848,67936ef71361a451201f9717,44,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
5,1178,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,shears,shears_mooney_dot_off4,target,upside_down,pre,off,e66824p1nwxpj9m,html-keyboard-response,38,237043,0.0-11.0-5.5-1.5,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/1007/start?srid=18848,67936ef71361a451201f9717,44,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
6,755,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,aloe,aloe_mooney_dot_on3,target,regular,pre,on,e66824p1nwxpj9m,html-keyboard-response,42,238804,0.0-11.0-5.6-1.6,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/1007/start?srid=18848,67936ef71361a451201f9717,44,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
7,854.7000000001863,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,gutter,gutter_mooney_dot_off2,target,horizontal_flip,pre,off,e66824p1nwxpj9m,html-keyboard-response,46,240674,0.0-11.0-5.7-1.7,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/1007/start?srid=18848,67936ef71361a451201f9717,44,30,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
8,717.2000000001863,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,aloe,aloe_mooney_dot_off4,target,regular,pre,off,e66824p1nwxpj9m,html-keyboard-response,50,242394,0.0-11.0-5.8-1.8,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/1007/start?srid=18848,67936ef71361a451201f9717,44,30,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
9,711.7000000001863,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,shears,shears_mooney_dot_on1,target,upside_down,pre,on,e66824p1nwxpj9m,html-keyboard-response,54,244123,0.0-11.0-5.9-1.9,Chrome,136.0,Windows,10,undefined,undefined,1920 x 1080,1920 x 945,https://exponline.ugr.es/publix/939/1007/start?srid=18848,67936ef71361a451201f9717,44,30,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,,
