index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/punching_bag_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",null,1,0,dot,punching_bag,punching_bag_mooney_dot_off4,target,upside_down,pre,off,ekyy54g9nkn6rmx,html-keyboard-response,14,354309,0.0-11.0-5.0-1.0,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18911,67bd6c87f503d16fdf672aad,67,29,United States,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
1,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,2,0,dot,carriage,carriage_mooney_dot_on1,target,regular,pre,on,ekyy54g9nkn6rmx,html-keyboard-response,18,360330,0.0-11.0-5.1-1.1,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18911,67bd6c87f503d16fdf672aad,67,29,United States,Male,Right-handed,Exp,dot_recog,,0,0,,,,,
2,2002.5999999642372,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/punching_bag_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,3,0,dot,punching_bag,punching_bag_mooney_dot_on3,target,upside_down,pre,on,ekyy54g9nkn6rmx,html-keyboard-response,22,363346,0.0-11.0-5.2-1.2,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18911,67bd6c87f503d16fdf672aad,67,29,United States,Male,Right-handed,Exp,dot_recog,e,1,1,,,,,
3,3545.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,4,0,dot,scarf,scarf_mooney_dot_off2,target,horizontal_flip,pre,off,ekyy54g9nkn6rmx,html-keyboard-response,26,367905,0.0-11.0-5.3-1.3,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18911,67bd6c87f503d16fdf672aad,67,29,United States,Male,Right-handed,Exp,dot_recog,i,0,1,,,,,
4,3391.100000023842,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,carriage,carriage_mooney_dot_off4,target,regular,pre,off,ekyy54g9nkn6rmx,html-keyboard-response,30,372309,0.0-11.0-5.4-1.4,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18911,67bd6c87f503d16fdf672aad,67,29,United States,Male,Right-handed,Exp,dot_recog,i,0,1,,,,,
5,4518.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,6,0,dot,scarf,scarf_mooney_dot_off4,target,horizontal_flip,pre,off,ekyy54g9nkn6rmx,html-keyboard-response,34,377838,0.0-11.0-5.5-1.5,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18911,67bd6c87f503d16fdf672aad,67,29,United States,Male,Right-handed,Exp,dot_recog,i,0,1,,,,,
6,1287.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/punching_bag_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,7,0,dot,punching_bag,punching_bag_mooney_dot_on1,target,upside_down,pre,on,ekyy54g9nkn6rmx,html-keyboard-response,38,380141,0.0-11.0-5.6-1.6,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18911,67bd6c87f503d16fdf672aad,67,29,United States,Male,Right-handed,Exp,dot_recog,i,0,0,,,,,
7,996.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,8,0,dot,carriage,carriage_mooney_dot_off2,target,regular,pre,off,ekyy54g9nkn6rmx,html-keyboard-response,42,382150,0.0-11.0-5.7-1.7,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18911,67bd6c87f503d16fdf672aad,67,29,United States,Male,Right-handed,Exp,dot_recog,i,0,1,,,,,
8,873.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,9,0,dot,scarf,scarf_mooney_dot_on1,target,horizontal_flip,pre,on,ekyy54g9nkn6rmx,html-keyboard-response,46,384030,0.0-11.0-5.8-1.8,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18911,67bd6c87f503d16fdf672aad,67,29,United States,Male,Right-handed,Exp,dot_recog,i,0,0,,,,,
9,1136,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/punching_bag_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,punching_bag,punching_bag_mooney_dot_off2,target,upside_down,pre,off,ekyy54g9nkn6rmx,html-keyboard-response,50,386177,0.0-11.0-5.9-1.9,Chrome,131.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18911,67bd6c87f503d16fdf672aad,67,29,United States,Male,Right-handed,Exp,dot_recog,e,1,0,,,,,
