index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,view_history,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,1,0,dot,garlic,garlic_mooney_dot_off2,target,horizontal_flip,pre,off,j6dzcyh8eul09o7,html-keyboard-response,14,351933,0.0-11.0-5.0-1.0,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18843,664660472f2de15888f9427d,5,30,Nigeria,Male,Right-handed,Exp,dot_recog,,0,1,,,,,,
1,3616,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,2,0,dot,gutter,gutter_mooney_dot_off4,target,upside_down,pre,off,j6dzcyh8eul09o7,html-keyboard-response,18,356567,0.0-11.0-5.1-1.1,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18843,664660472f2de15888f9427d,5,30,Nigeria,Male,Right-handed,Exp,dot_recog,e,1,0,,,,,,
2,867.2000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,buoy,buoy_mooney_dot_on1,target,regular,pre,on,j6dzcyh8eul09o7,html-keyboard-response,22,358445,0.0-11.0-5.2-1.2,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18843,664660472f2de15888f9427d,5,30,Nigeria,Male,Right-handed,Exp,dot_recog,e,1,1,,,,,,
3,3212.899999976158,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,4,0,dot,garlic,garlic_mooney_dot_off4,target,horizontal_flip,pre,off,j6dzcyh8eul09o7,html-keyboard-response,26,362677,0.0-11.0-5.3-1.3,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18843,664660472f2de15888f9427d,5,30,Nigeria,Male,Right-handed,Exp,dot_recog,i,0,1,,,,,,
4,1487.1000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,buoy,buoy_mooney_dot_off2,target,regular,pre,off,j6dzcyh8eul09o7,html-keyboard-response,30,365183,0.0-11.0-5.4-1.4,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18843,664660472f2de15888f9427d,5,30,Nigeria,Male,Right-handed,Exp,dot_recog,e,1,0,,,,,,
5,1237.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,garlic,garlic_mooney_dot_on3,target,horizontal_flip,pre,on,j6dzcyh8eul09o7,html-keyboard-response,34,367443,0.0-11.0-5.5-1.5,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18843,664660472f2de15888f9427d,5,30,Nigeria,Male,Right-handed,Exp,dot_recog,e,1,1,,,,,,
6,2024.6000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,gutter,gutter_mooney_dot_on1,target,upside_down,pre,on,j6dzcyh8eul09o7,html-keyboard-response,38,370482,0.0-11.0-5.6-1.6,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18843,664660472f2de15888f9427d,5,30,Nigeria,Male,Right-handed,Exp,dot_recog,e,1,1,,,,,,
7,1465.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/buoy_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,buoy,buoy_mooney_dot_off4,target,regular,pre,off,j6dzcyh8eul09o7,html-keyboard-response,42,372957,0.0-11.0-5.7-1.7,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18843,664660472f2de15888f9427d,5,30,Nigeria,Male,Right-handed,Exp,dot_recog,e,1,0,,,,,,
8,1280,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,9,0,dot,gutter,gutter_mooney_dot_on3,target,upside_down,pre,on,j6dzcyh8eul09o7,html-keyboard-response,46,375259,0.0-11.0-5.8-1.8,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18843,664660472f2de15888f9427d,5,30,Nigeria,Male,Right-handed,Exp,dot_recog,e,1,1,,,,,,
9,2050.2000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,10,0,dot,garlic,garlic_mooney_dot_on1,target,horizontal_flip,pre,on,j6dzcyh8eul09o7,html-keyboard-response,50,378327,0.0-11.0-5.9-1.9,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18843,664660472f2de15888f9427d,5,30,Nigeria,Male,Right-handed,Exp,dot_recog,e,1,1,,,,,,
