index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1343.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,1,0,dot,puddle,puddle_mooney_dot_off4,target,upside_down,pre,off,jalpj39d2xgyykr,html-keyboard-response,14,316662,0.0-11.0-5.0-1.0,Chrome,136.0,macOS,10.15.7,undefined,undefined,1470 x 956,1470 x 832,https://exponline.ugr.es/publix/939/1007/start?srid=18806,64807f91bd90462348c5d01b,70,25,Sri Lanka,Male,Right-handed,Exp,dot_recog,i,0,1,,,,,
1,1417.5999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,polar_bear,polar_bear_mooney_dot_on1,target,regular,pre,on,jalpj39d2xgyykr,html-keyboard-response,18,319087,0.0-11.0-5.1-1.1,Chrome,136.0,macOS,10.15.7,undefined,undefined,1470 x 956,1470 x 832,https://exponline.ugr.es/publix/939/1007/start?srid=18806,64807f91bd90462348c5d01b,70,25,Sri Lanka,Male,Right-handed,Exp,dot_recog,i,0,0,,,,,
2,1186.2999999970198,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,3,0,dot,puddle,puddle_mooney_dot_off2,target,upside_down,pre,off,jalpj39d2xgyykr,html-keyboard-response,22,321279,0.0-11.0-5.2-1.2,Chrome,136.0,macOS,10.15.7,undefined,undefined,1470 x 956,1470 x 832,https://exponline.ugr.es/publix/939/1007/start?srid=18806,64807f91bd90462348c5d01b,70,25,Sri Lanka,Male,Right-handed,Exp,dot_recog,i,0,1,,,,,
3,1231.2999999970198,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,4,0,dot,egg_roll,egg_roll_mooney_dot_off4,target,horizontal_flip,pre,off,jalpj39d2xgyykr,html-keyboard-response,26,323516,0.0-11.0-5.3-1.3,Chrome,136.0,macOS,10.15.7,undefined,undefined,1470 x 956,1470 x 832,https://exponline.ugr.es/publix/939/1007/start?srid=18806,64807f91bd90462348c5d01b,70,25,Sri Lanka,Male,Right-handed,Exp,dot_recog,i,0,1,,,,,
4,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,5,0,dot,polar_bear,polar_bear_mooney_dot_off4,target,regular,pre,off,jalpj39d2xgyykr,html-keyboard-response,30,329525,0.0-11.0-5.4-1.4,Chrome,136.0,macOS,10.15.7,undefined,undefined,1470 x 956,1470 x 832,https://exponline.ugr.es/publix/939/1007/start?srid=18806,64807f91bd90462348c5d01b,70,25,Sri Lanka,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
5,1650.8999999910593,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,6,0,dot,egg_roll,egg_roll_mooney_dot_on1,target,horizontal_flip,pre,on,jalpj39d2xgyykr,html-keyboard-response,34,332183,0.0-11.0-5.5-1.5,Chrome,136.0,macOS,10.15.7,undefined,undefined,1470 x 956,1470 x 832,https://exponline.ugr.es/publix/939/1007/start?srid=18806,64807f91bd90462348c5d01b,70,25,Sri Lanka,Male,Right-handed,Exp,dot_recog,i,0,0,,,,,
6,1041.7000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,7,0,dot,polar_bear,polar_bear_mooney_dot_on3,target,regular,pre,on,jalpj39d2xgyykr,html-keyboard-response,38,334230,0.0-11.0-5.6-1.6,Chrome,136.0,macOS,10.15.7,undefined,undefined,1470 x 956,1470 x 832,https://exponline.ugr.es/publix/939/1007/start?srid=18806,64807f91bd90462348c5d01b,70,25,Sri Lanka,Male,Right-handed,Exp,dot_recog,e,1,1,,,,,
7,1601,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puddle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,8,0,dot,puddle,puddle_mooney_dot_on1,target,upside_down,pre,on,jalpj39d2xgyykr,html-keyboard-response,42,336836,0.0-11.0-5.7-1.7,Chrome,136.0,macOS,10.15.7,undefined,undefined,1470 x 956,1470 x 832,https://exponline.ugr.es/publix/939/1007/start?srid=18806,64807f91bd90462348c5d01b,70,25,Sri Lanka,Male,Right-handed,Exp,dot_recog,e,1,1,,,,,
8,1054.6000000089407,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/polar_bear_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,9,0,dot,polar_bear,polar_bear_mooney_dot_off2,target,regular,pre,off,jalpj39d2xgyykr,html-keyboard-response,46,338897,0.0-11.0-5.8-1.8,Chrome,136.0,macOS,10.15.7,undefined,undefined,1470 x 956,1470 x 832,https://exponline.ugr.es/publix/939/1007/start?srid=18806,64807f91bd90462348c5d01b,70,25,Sri Lanka,Male,Right-handed,Exp,dot_recog,i,0,1,,,,,
9,2025.1000000089407,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,10,0,dot,egg_roll,egg_roll_mooney_dot_off2,target,horizontal_flip,pre,off,jalpj39d2xgyykr,html-keyboard-response,50,341929,0.0-11.0-5.9-1.9,Chrome,136.0,macOS,10.15.7,undefined,undefined,1470 x 956,1470 x 832,https://exponline.ugr.es/publix/939/1007/start?srid=18806,64807f91bd90462348c5d01b,70,25,Sri Lanka,Male,Right-handed,Exp,dot_recog,i,0,1,,,,,
