index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,2717,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,drill,drill_mooney_dot_on3,target,regular,pre,on,klhk8oms7mxr7fk,html-keyboard-response,14,405295,0.0-11.0-5.0-1.0,Chrome,136.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/1007/start?srid=18812,682b1f6b36fda401cd22548a,45,27,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
1,1774.300000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,aloe,aloe_mooney_dot_on3,target,horizontal_flip,pre,on,klhk8oms7mxr7fk,html-keyboard-response,18,408088,0.0-11.0-5.1-1.1,Chrome,136.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/1007/start?srid=18812,682b1f6b36fda401cd22548a,45,27,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
2,1663.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,3,0,dot,carriage,carriage_mooney_dot_on1,target,upside_down,pre,on,klhk8oms7mxr7fk,html-keyboard-response,22,410759,0.0-11.0-5.2-1.2,Chrome,136.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/1007/start?srid=18812,682b1f6b36fda401cd22548a,45,27,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
3,2011.2000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,4,0,dot,aloe,aloe_mooney_dot_off4,target,horizontal_flip,pre,off,klhk8oms7mxr7fk,html-keyboard-response,26,413778,0.0-11.0-5.3-1.3,Chrome,136.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/1007/start?srid=18812,682b1f6b36fda401cd22548a,45,27,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
4,1768.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,drill,drill_mooney_dot_off2,target,regular,pre,off,klhk8oms7mxr7fk,html-keyboard-response,30,416565,0.0-11.0-5.4-1.4,Chrome,136.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/1007/start?srid=18812,682b1f6b36fda401cd22548a,45,27,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
5,1595.300000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,carriage,carriage_mooney_dot_off2,target,upside_down,pre,off,klhk8oms7mxr7fk,html-keyboard-response,34,419175,0.0-11.0-5.5-1.5,Chrome,136.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/1007/start?srid=18812,682b1f6b36fda401cd22548a,45,27,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
6,1386.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,aloe,aloe_mooney_dot_on1,target,horizontal_flip,pre,on,klhk8oms7mxr7fk,html-keyboard-response,38,421579,0.0-11.0-5.6-1.6,Chrome,136.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/1007/start?srid=18812,682b1f6b36fda401cd22548a,45,27,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
7,1505.9000000357628,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,drill,drill_mooney_dot_on1,target,regular,pre,on,klhk8oms7mxr7fk,html-keyboard-response,42,424094,0.0-11.0-5.7-1.7,Chrome,136.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/1007/start?srid=18812,682b1f6b36fda401cd22548a,45,27,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
8,1844.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/carriage_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,carriage,carriage_mooney_dot_on3,target,upside_down,pre,on,klhk8oms7mxr7fk,html-keyboard-response,46,426953,0.0-11.0-5.8-1.8,Chrome,136.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/1007/start?srid=18812,682b1f6b36fda401cd22548a,45,27,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
9,1366.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/aloe_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,aloe,aloe_mooney_dot_off2,target,horizontal_flip,pre,off,klhk8oms7mxr7fk,html-keyboard-response,50,429338,0.0-11.0-5.9-1.9,Chrome,136.0,Windows,10,undefined,undefined,1280 x 720,1280 x 593,https://exponline.ugr.es/publix/939/1007/start?srid=18812,682b1f6b36fda401cd22548a,45,27,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
