index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,1,0,dot,sandal,sandal_mooney_dot_on3,target,horizontal_flip,pre,on,l65zyqmoj3u51ve,html-keyboard-response,14,700007,0.0-11.0-5.0-1.0,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18823,6825cbc0f7a9b90c6c861c78,14,28,United States,Female,Right-handed,Exp,dot_recog,,0,0,,,,,
1,2729.800000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,2,0,dot,pomegranate,pomegranate_mooney_dot_off2,target,regular,pre,off,l65zyqmoj3u51ve,html-keyboard-response,18,703756,0.0-11.0-5.1-1.1,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18823,6825cbc0f7a9b90c6c861c78,14,28,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,,
2,4031.600000023842,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sardine_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,3,0,dot,sardine,sardine_mooney_dot_off2,target,upside_down,pre,off,l65zyqmoj3u51ve,html-keyboard-response,22,708805,0.0-11.0-5.2-1.2,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18823,6825cbc0f7a9b90c6c861c78,14,28,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,,
3,4996.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,4,0,dot,pomegranate,pomegranate_mooney_dot_on3,target,regular,pre,on,l65zyqmoj3u51ve,html-keyboard-response,26,714812,0.0-11.0-5.3-1.3,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18823,6825cbc0f7a9b90c6c861c78,14,28,United States,Female,Right-handed,Exp,dot_recog,e,0,0,,,,,
4,2135.2999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,sandal,sandal_mooney_dot_off4,target,horizontal_flip,pre,off,l65zyqmoj3u51ve,html-keyboard-response,30,717975,0.0-11.0-5.4-1.4,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18823,6825cbc0f7a9b90c6c861c78,14,28,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,,
5,1938.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sardine_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,sardine,sardine_mooney_dot_off4,target,upside_down,pre,off,l65zyqmoj3u51ve,html-keyboard-response,34,720928,0.0-11.0-5.5-1.5,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18823,6825cbc0f7a9b90c6c861c78,14,28,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,,
6,2386.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,7,0,dot,pomegranate,pomegranate_mooney_dot_on1,target,regular,pre,on,l65zyqmoj3u51ve,html-keyboard-response,38,724335,0.0-11.0-5.6-1.6,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18823,6825cbc0f7a9b90c6c861c78,14,28,United States,Female,Right-handed,Exp,dot_recog,e,0,0,,,,,
7,2831.7000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sardine_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,8,0,dot,sardine,sardine_mooney_dot_on1,target,upside_down,pre,on,l65zyqmoj3u51ve,html-keyboard-response,42,728180,0.0-11.0-5.7-1.7,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18823,6825cbc0f7a9b90c6c861c78,14,28,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
8,1586.800000011921,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,9,0,dot,sandal,sandal_mooney_dot_off2,target,horizontal_flip,pre,off,l65zyqmoj3u51ve,html-keyboard-response,46,730787,0.0-11.0-5.8-1.8,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18823,6825cbc0f7a9b90c6c861c78,14,28,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,,
9,2065.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sardine_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,sardine,sardine_mooney_dot_on3,target,upside_down,pre,on,l65zyqmoj3u51ve,html-keyboard-response,50,733863,0.0-11.0-5.9-1.9,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18823,6825cbc0f7a9b90c6c861c78,14,28,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
10,3183.600000023842,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,11,0,dot,sandal,sandal_mooney_dot_on1,target,horizontal_flip,pre,on,l65zyqmoj3u51ve,html-keyboard-response,54,738065,0.0-11.0-5.10-1.10,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18823,6825cbc0f7a9b90c6c861c78,14,28,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
11,1832.1000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,12,0,dot,pomegranate,pomegranate_mooney_dot_off4,target,regular,pre,off,l65zyqmoj3u51ve,html-keyboard-response,58,740917,0.0-11.0-5.11-1.11,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18823,6825cbc0f7a9b90c6c861c78,14,28,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,,
12,,,,13,0,recognition,sardine,sardine_mooney,target,upside_down,pre,null,l65zyqmoj3u51ve,survey-text-autocomplete,66,756055,0.0-11.0-6.12-4.12,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18823,6825cbc0f7a9b90c6c861c78,14,28,United States,Female,Right-handed,Exp,Recognition,,,,,"{""recognition"":""dalmatian""}",dalmatian,0.67374470306579,0.0
13,,,,14,0,recognition,pomegranate,pomegranate_mooney,target,regular,pre,null,l65zyqmoj3u51ve,survey-text-autocomplete,73,777921,0.0-11.0-6.13-4.13,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18823,6825cbc0f7a9b90c6c861c78,14,28,United States,Female,Right-handed,Exp,Recognition,,,,,"""timeout""",,,0.0
14,,,,15,0,recognition,sandal,sandal_mooney,target,horizontal_flip,pre,null,l65zyqmoj3u51ve,survey-text-autocomplete,80,787750,0.0-11.0-6.14-4.14,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18823,6825cbc0f7a9b90c6c861c78,14,28,United States,Female,Right-handed,Exp,Recognition,,,,,"{""recognition"":""coral""}",coral,0.658269397805793,0.0
15,,,,16,0,recognition,pomegranate,pomegranate,target,regular,color,null,l65zyqmoj3u51ve,survey-text-autocomplete,87,796358,0.0-11.0-6.15-4.15,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18823,6825cbc0f7a9b90c6c861c78,14,28,United States,Female,Right-handed,Exp,Recognition,,,,,"{""recognition"":""apple""}",apple,0.2973288504336473,0.0
16,,,,17,0,recognition,sandal,sandal,target,horizontal_flip,color,null,l65zyqmoj3u51ve,survey-text-autocomplete,94,818237,0.0-11.0-6.16-4.16,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18823,6825cbc0f7a9b90c6c861c78,14,28,United States,Female,Right-handed,Exp,Recognition,,,,,"""timeout""",,,0.0
17,,,,18,0,recognition,sardine,sardine,target,upside_down,color,null,l65zyqmoj3u51ve,survey-text-autocomplete,101,840093,0.0-11.0-6.17-4.17,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18823,6825cbc0f7a9b90c6c861c78,14,28,United States,Female,Right-handed,Exp,Recognition,,,,,"""timeout""",,,0.0
18,2058.600000023842,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/hot-water_bottle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,19,1,dot,hot-water_bottle,hot-water_bottle_mooney_dot_on3,target,regular,pre,on,l65zyqmoj3u51ve,html-keyboard-response,107,854203,0.0-11.0-5.18-1.18,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18823,6825cbc0f7a9b90c6c861c78,14,28,United States,Female,Right-handed,Exp,dot_recog,e,0,0,,,,,
19,1412.6000000238419,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off8.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,20,1,dot,pomegranate,pomegranate_mooney_dot_off8,target,regular,post,off,l65zyqmoj3u51ve,html-keyboard-response,111,856641,0.0-11.0-5.19-1.19,Chrome,132.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,https://exponline.ugr.es/publix/939/1007/start?srid=18823,6825cbc0f7a9b90c6c861c78,14,28,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,,
