index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,417823,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,null,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,1,0,dot,shears,shears_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,,0,0,,,,
18,,,,,,html-keyboard-response,18,423857,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,null,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",null,2,0,dot,surfboard,surfboard_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,,0,0,,,,
22,,,,,,html-keyboard-response,22,429876,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,null,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,3,0,dot,pomegranate,pomegranate_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,,0,0,,,,
26,,,,,,html-keyboard-response,26,435885,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,null,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",null,4,0,dot,surfboard,surfboard_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,,0,0,,,,
30,,,,,,html-keyboard-response,30,440710,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,3806.099999964237,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,shears,shears_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,i,0,1,,,,
34,,,,,,html-keyboard-response,34,441794,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,61.30000001192093,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,surfboard,surfboard_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,i,0,1,,,,
38,,,,,,html-keyboard-response,38,446483,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,3672.599999964237,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,pomegranate,pomegranate_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,i,0,0,,,,
42,,,,,,html-keyboard-response,42,448934,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,1432.1000000238419,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,8,0,dot,shears,shears_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,i,0,1,,,,
46,,,,,,html-keyboard-response,46,452397,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,2444.800000011921,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,9,0,dot,pomegranate,pomegranate_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,i,0,1,,,,
50,,,,,,html-keyboard-response,50,456464,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,3043.899999976158,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/surfboard_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,surfboard,surfboard_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,i,0,1,,,,
54,,,,,,html-keyboard-response,54,462491,0.0-11.0-5.10-1.10,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,null,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,11,0,dot,pomegranate,pomegranate_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,,0,1,,,,
58,,,,,,html-keyboard-response,58,464195,0.0-11.0-5.11-1.11,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,694.5999999642372,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/shears_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,12,0,dot,shears,shears_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,i,0,0,,,,
65,,,,,,survey-text-autocomplete,66,488043,0.0-11.0-6.12-4.12,Chrome,134.0,Windows,10,undefined,undefined,1280 x 720,1536 x 730,l7lxounychnwysf,https://exponline.ugr.es/publix/939/1007/start?srid=18844,682351e5764c5a12a75e2129,48,24,Armenia,Female,Right-handed,,,"""timeout""",,,,,,,,,,,,,,,13,0,recognition,pomegranate,pomegranate_mooney,target,regular,pre,null,Exp,Recognition,,,,,,,0.0
