index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1308.7000000178814,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/mannequin_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,1,0,dot,mannequin,mannequin_mooney_dot_off4,target,regular,pre,off,llfqdfttzur6q93,html-keyboard-response,14,970515,0.0-11.0-5.0-1.0,Chrome,131.0,Windows,,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18874,6815186965960f45c36035e6,20,23,Afghanistan,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
1,1851.2000000178814,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,2,0,dot,backpack,backpack_mooney_dot_on3,target,upside_down,pre,on,llfqdfttzur6q93,html-keyboard-response,18,973370,0.0-11.0-5.1-1.1,Chrome,131.0,Windows,,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18874,6815186965960f45c36035e6,20,23,Afghanistan,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
2,2310.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,scarf,scarf_mooney_dot_off2,target,horizontal_flip,pre,off,llfqdfttzur6q93,html-keyboard-response,22,976689,0.0-11.0-5.2-1.2,Chrome,131.0,Windows,,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18874,6815186965960f45c36035e6,20,23,Afghanistan,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
3,1110.7999999821186,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,backpack,backpack_mooney_dot_off4,target,upside_down,pre,off,llfqdfttzur6q93,html-keyboard-response,26,978813,0.0-11.0-5.3-1.3,Chrome,131.0,Windows,,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18874,6815186965960f45c36035e6,20,23,Afghanistan,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
4,1259.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,scarf,scarf_mooney_dot_off4,target,horizontal_flip,pre,off,llfqdfttzur6q93,html-keyboard-response,30,981079,0.0-11.0-5.4-1.4,Chrome,131.0,Windows,,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18874,6815186965960f45c36035e6,20,23,Afghanistan,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
5,863.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,backpack,backpack_mooney_dot_off2,target,upside_down,pre,off,llfqdfttzur6q93,html-keyboard-response,34,982948,0.0-11.0-5.5-1.5,Chrome,131.0,Windows,,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18874,6815186965960f45c36035e6,20,23,Afghanistan,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
6,883.8000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/mannequin_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,mannequin,mannequin_mooney_dot_on3,target,regular,pre,on,llfqdfttzur6q93,html-keyboard-response,38,984838,0.0-11.0-5.6-1.6,Chrome,131.0,Windows,,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18874,6815186965960f45c36035e6,20,23,Afghanistan,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
7,866.1999999880791,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,8,0,dot,scarf,scarf_mooney_dot_on1,target,horizontal_flip,pre,on,llfqdfttzur6q93,html-keyboard-response,42,986713,0.0-11.0-5.7-1.7,Chrome,131.0,Windows,,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18874,6815186965960f45c36035e6,20,23,Afghanistan,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
8,956.7000000178814,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/mannequin_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,mannequin,mannequin_mooney_dot_on1,target,regular,pre,on,llfqdfttzur6q93,html-keyboard-response,46,988678,0.0-11.0-5.8-1.8,Chrome,131.0,Windows,,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18874,6815186965960f45c36035e6,20,23,Afghanistan,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
9,831.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,scarf,scarf_mooney_dot_on3,target,horizontal_flip,pre,on,llfqdfttzur6q93,html-keyboard-response,50,990515,0.0-11.0-5.9-1.9,Chrome,131.0,Windows,,undefined,undefined,1536 x 864,1536 x 776,https://exponline.ugr.es/publix/939/1007/start?srid=18874,6815186965960f45c36035e6,20,23,Afghanistan,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
