index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,1,0,dot,backpack,backpack_mooney_dot_on3,target,horizontal_flip,pre,on,m5l2kqt91kxyp40,html-keyboard-response,14,620452,0.0-11.0-5.0-1.0,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,0,,,,,
1,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",null,2,0,dot,dumbbell,dumbbell_mooney_dot_on3,target,upside_down,pre,on,m5l2kqt91kxyp40,html-keyboard-response,18,626489,0.0-11.0-5.1-1.1,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,0,,,,,
2,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/football_helmet_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,3,0,dot,football_helmet,football_helmet_mooney_dot_off4,target,regular,pre,off,m5l2kqt91kxyp40,html-keyboard-response,22,632522,0.0-11.0-5.2-1.2,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
3,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",null,4,0,dot,dumbbell,dumbbell_mooney_dot_off2,target,upside_down,pre,off,m5l2kqt91kxyp40,html-keyboard-response,26,638542,0.0-11.0-5.3-1.3,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
4,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,5,0,dot,backpack,backpack_mooney_dot_off4,target,horizontal_flip,pre,off,m5l2kqt91kxyp40,html-keyboard-response,30,644574,0.0-11.0-5.4-1.4,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
5,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/football_helmet_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,6,0,dot,football_helmet,football_helmet_mooney_dot_off2,target,regular,pre,off,m5l2kqt91kxyp40,html-keyboard-response,34,650602,0.0-11.0-5.5-1.5,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
6,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",null,7,0,dot,dumbbell,dumbbell_mooney_dot_on1,target,upside_down,pre,on,m5l2kqt91kxyp40,html-keyboard-response,38,656645,0.0-11.0-5.6-1.6,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,0,,,,,
7,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,8,0,dot,backpack,backpack_mooney_dot_off2,target,horizontal_flip,pre,off,m5l2kqt91kxyp40,html-keyboard-response,42,662690,0.0-11.0-5.7-1.7,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
8,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/football_helmet_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,9,0,dot,football_helmet,football_helmet_mooney_dot_on1,target,regular,pre,on,m5l2kqt91kxyp40,html-keyboard-response,46,668715,0.0-11.0-5.8-1.8,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,0,,,,,
9,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,10,0,dot,backpack,backpack_mooney_dot_on1,target,horizontal_flip,pre,on,m5l2kqt91kxyp40,html-keyboard-response,50,674756,0.0-11.0-5.9-1.9,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,0,,,,,
10,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",null,11,0,dot,dumbbell,dumbbell_mooney_dot_off4,target,upside_down,pre,off,m5l2kqt91kxyp40,html-keyboard-response,54,680790,0.0-11.0-5.10-1.10,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
11,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/football_helmet_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,12,0,dot,football_helmet,football_helmet_mooney_dot_on3,target,regular,pre,on,m5l2kqt91kxyp40,html-keyboard-response,58,686820,0.0-11.0-5.11-1.11,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,0,,,,,
12,,,,13,0,recognition,dumbbell,dumbbell_mooney,target,upside_down,pre,null,m5l2kqt91kxyp40,survey-text-autocomplete,66,710692,0.0-11.0-6.12-4.12,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,Recognition,,,,,"""timeout""",,,0.0
13,,,,14,0,recognition,backpack,backpack_mooney,target,horizontal_flip,pre,null,m5l2kqt91kxyp40,survey-text-autocomplete,73,732545,0.0-11.0-6.13-4.13,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,Recognition,,,,,"""timeout""",,,0.0
14,,,,15,0,recognition,football_helmet,football_helmet_mooney,target,regular,pre,null,m5l2kqt91kxyp40,survey-text-autocomplete,80,742605,0.0-11.0-6.14-4.14,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,Recognition,,,,,"{""recognition"":""kalian""}",kalian,0.8096237026104439,0.0
15,,,,16,0,recognition,dumbbell,dumbbell,target,upside_down,color,null,m5l2kqt91kxyp40,survey-text-autocomplete,87,760919,0.0-11.0-6.15-4.15,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,Recognition,,,,,"{""recognition"":""staging""}",staging,0.6694449633635768,0.0
16,,,,17,0,recognition,football_helmet,football_helmet,target,regular,color,null,m5l2kqt91kxyp40,survey-text-autocomplete,94,771041,0.0-11.0-6.16-4.16,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,Recognition,,,,,"{""recognition"":""helmet""}",helmet,0.3335998265040213,0.0
17,,,,18,0,recognition,backpack,backpack,target,horizontal_flip,color,null,m5l2kqt91kxyp40,survey-text-autocomplete,101,777921,0.0-11.0-6.17-4.17,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,Recognition,,,,,"{""recognition"":""bag""}",bag,0.29563851593176427,0.0
18,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/football_helmet_mooney_dot_off6.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,19,1,dot,football_helmet,football_helmet_mooney_dot_off6,target,regular,post,off,m5l2kqt91kxyp40,html-keyboard-response,107,800985,0.0-11.0-5.18-1.18,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
19,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sidecar_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,20,1,dot,sidecar,sidecar_mooney_dot_off4,target,regular,pre,off,m5l2kqt91kxyp40,html-keyboard-response,111,807034,0.0-11.0-5.19-1.19,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
20,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,21,1,dot,egg_roll,egg_roll_mooney_dot_on3,target,horizontal_flip,pre,on,m5l2kqt91kxyp40,html-keyboard-response,115,813059,0.0-11.0-5.20-1.20,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,0,,,,,
21,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_off6.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",null,22,1,dot,dumbbell,dumbbell_mooney_dot_off6,target,upside_down,post,off,m5l2kqt91kxyp40,html-keyboard-response,119,819079,0.0-11.0-5.21-1.21,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
22,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sidecar_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,23,1,dot,sidecar,sidecar_mooney_dot_off2,target,regular,pre,off,m5l2kqt91kxyp40,html-keyboard-response,123,825109,0.0-11.0-5.22-1.22,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
23,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",null,24,1,dot,steak,steak_mooney_dot_on1,target,upside_down,pre,on,m5l2kqt91kxyp40,html-keyboard-response,127,831139,0.0-11.0-5.23-1.23,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,0,,,,,
24,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/egg_roll_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,25,1,dot,egg_roll,egg_roll_mooney_dot_off2,target,horizontal_flip,pre,off,m5l2kqt91kxyp40,html-keyboard-response,131,837158,0.0-11.0-5.24-1.24,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
25,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/football_helmet_mooney_dot_off8.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,26,1,dot,football_helmet,football_helmet_mooney_dot_off8,target,regular,post,off,m5l2kqt91kxyp40,html-keyboard-response,135,843204,0.0-11.0-5.25-1.25,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
26,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_on5.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",null,27,1,dot,dumbbell,dumbbell_mooney_dot_on5,target,upside_down,post,on,m5l2kqt91kxyp40,html-keyboard-response,139,849237,0.0-11.0-5.26-1.26,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,0,,,,,
27,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on5.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,28,1,dot,backpack,backpack_mooney_dot_on5,target,horizontal_flip,post,on,m5l2kqt91kxyp40,html-keyboard-response,143,855284,0.0-11.0-5.27-1.27,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,0,,,,,
28,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",null,29,1,dot,steak,steak_mooney_dot_off4,target,upside_down,pre,off,m5l2kqt91kxyp40,html-keyboard-response,147,861319,0.0-11.0-5.28-1.28,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
29,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/football_helmet_mooney_dot_on7.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,30,1,dot,football_helmet,football_helmet_mooney_dot_on7,target,regular,post,on,m5l2kqt91kxyp40,html-keyboard-response,151,867343,0.0-11.0-5.29-1.29,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 607,https://exponline.ugr.es/publix/939/1007/start?srid=18880,67793acc4f150df7c4ef6898,47,24,United Kingdom,Male,Right-handed,Exp,dot_recog,,0,0,,,,,
