index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,199167,0.0-11.0-5.0-1.0,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1318 x 650,n4tdy1yczd8nejb,https://exponline.ugr.es/publix/939/1007/start?srid=18846,6630f6bfbdc7906ef7c0ee24,62,37,United Kingdom,Male,Right-handed,,3719,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,1,0,dot,banana_peel,banana_peel_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,e,1,0,,,,
18,,,,,,html-keyboard-response,18,201359,0.0-11.0-5.1-1.1,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1318 x 650,n4tdy1yczd8nejb,https://exponline.ugr.es/publix/939/1007/start?srid=18846,6630f6bfbdc7906ef7c0ee24,62,37,United Kingdom,Male,Right-handed,,1175.3999999985099,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,2,0,dot,peanut_butter,peanut_butter_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,e,1,1,,,,
22,,,,,,html-keyboard-response,22,204508,0.0-11.0-5.2-1.2,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1318 x 650,n4tdy1yczd8nejb,https://exponline.ugr.es/publix/939/1007/start?srid=18846,6630f6bfbdc7906ef7c0ee24,62,37,United Kingdom,Male,Right-handed,,2137.5,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,3,0,dot,snail,snail_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,i,0,1,,,,
26,,,,,,html-keyboard-response,26,208463,0.0-11.0-5.3-1.3,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1318 x 650,n4tdy1yczd8nejb,https://exponline.ugr.es/publix/939/1007/start?srid=18846,6630f6bfbdc7906ef7c0ee24,62,37,United Kingdom,Male,Right-handed,,2936.9000000059605,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,4,0,dot,banana_peel,banana_peel_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,e,1,1,,,,
30,,,,,,html-keyboard-response,30,210631,0.0-11.0-5.4-1.4,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1318 x 650,n4tdy1yczd8nejb,https://exponline.ugr.es/publix/939/1007/start?srid=18846,6630f6bfbdc7906ef7c0ee24,62,37,United Kingdom,Male,Right-handed,,1151.8000000044703,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,5,0,dot,peanut_butter,peanut_butter_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,e,1,0,,,,
34,,,,,,html-keyboard-response,34,213607,0.0-11.0-5.5-1.5,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1318 x 650,n4tdy1yczd8nejb,https://exponline.ugr.es/publix/939/1007/start?srid=18846,6630f6bfbdc7906ef7c0ee24,62,37,United Kingdom,Male,Right-handed,,1961.3000000044703,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,6,0,dot,snail,snail_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,i,0,0,,,,
38,,,,,,html-keyboard-response,38,215411,0.0-11.0-5.6-1.6,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1318 x 650,n4tdy1yczd8nejb,https://exponline.ugr.es/publix/939/1007/start?srid=18846,6630f6bfbdc7906ef7c0ee24,62,37,United Kingdom,Male,Right-handed,,786.8999999985099,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,peanut_butter,peanut_butter_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,e,1,1,,,,
42,,,,,,html-keyboard-response,42,217271,0.0-11.0-5.7-1.7,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1318 x 650,n4tdy1yczd8nejb,https://exponline.ugr.es/publix/939/1007/start?srid=18846,6630f6bfbdc7906ef7c0ee24,62,37,United Kingdom,Male,Right-handed,,846.1000000014901,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,8,0,dot,snail,snail_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,i,0,0,,,,
46,,,,,,html-keyboard-response,46,219343,0.0-11.0-5.8-1.8,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1318 x 650,n4tdy1yczd8nejb,https://exponline.ugr.es/publix/939/1007/start?srid=18846,6630f6bfbdc7906ef7c0ee24,62,37,United Kingdom,Male,Right-handed,,1066.5,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/banana_peel_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,banana_peel,banana_peel_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,e,1,1,,,,
50,,,,,,html-keyboard-response,50,221343,0.0-11.0-5.9-1.9,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1318 x 650,n4tdy1yczd8nejb,https://exponline.ugr.es/publix/939/1007/start?srid=18846,6630f6bfbdc7906ef7c0ee24,62,37,United Kingdom,Male,Right-handed,,981.1000000014901,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,10,0,dot,snail,snail_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,i,0,1,,,,
