index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,915.5999999046326,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,1,0,dot,gutter,gutter_mooney_dot_off4,target,horizontal_flip,pre,off,n96oaktqkgebmuz,html-keyboard-response,14,413088,0.0-11.0-5.0-1.0,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18866,6827632a7f7056bf8252d253,60,24,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,,
1,569.8000001907349,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,scarf,scarf_mooney_dot_on3,target,regular,pre,on,n96oaktqkgebmuz,html-keyboard-response,18,414680,0.0-11.0-5.1-1.1,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18866,6827632a7f7056bf8252d253,60,24,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,,
2,522,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/figurine_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,3,0,dot,figurine,figurine_mooney_dot_off2,target,upside_down,pre,off,n96oaktqkgebmuz,html-keyboard-response,22,416219,0.0-11.0-5.2-1.2,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18866,6827632a7f7056bf8252d253,60,24,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,,
3,671.9000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,4,0,dot,scarf,scarf_mooney_dot_off4,target,regular,pre,off,n96oaktqkgebmuz,html-keyboard-response,26,417908,0.0-11.0-5.3-1.3,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18866,6827632a7f7056bf8252d253,60,24,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,,
4,781.4000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,gutter,gutter_mooney_dot_off2,target,horizontal_flip,pre,off,n96oaktqkgebmuz,html-keyboard-response,30,419702,0.0-11.0-5.4-1.4,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18866,6827632a7f7056bf8252d253,60,24,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,,
5,732.4000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/figurine_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,6,0,dot,figurine,figurine_mooney_dot_on1,target,upside_down,pre,on,n96oaktqkgebmuz,html-keyboard-response,34,421448,0.0-11.0-5.5-1.5,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18866,6827632a7f7056bf8252d253,60,24,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,,
6,839.8000001907349,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gutter_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,7,0,dot,gutter,gutter_mooney_dot_on3,target,horizontal_flip,pre,on,n96oaktqkgebmuz,html-keyboard-response,38,423306,0.0-11.0-5.6-1.6,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18866,6827632a7f7056bf8252d253,60,24,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,,
7,534.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/figurine_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,8,0,dot,figurine,figurine_mooney_dot_on3,target,upside_down,pre,on,n96oaktqkgebmuz,html-keyboard-response,42,424851,0.0-11.0-5.7-1.7,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18866,6827632a7f7056bf8252d253,60,24,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,,
8,537.1999998092651,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,scarf,scarf_mooney_dot_on1,target,regular,pre,on,n96oaktqkgebmuz,html-keyboard-response,46,426397,0.0-11.0-5.8-1.8,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18866,6827632a7f7056bf8252d253,60,24,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,1,,,,,
9,518.5999999046326,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/figurine_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,figurine,figurine_mooney_dot_off4,target,upside_down,pre,off,n96oaktqkgebmuz,html-keyboard-response,50,427924,0.0-11.0-5.9-1.9,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 738,https://exponline.ugr.es/publix/939/1007/start?srid=18866,6827632a7f7056bf8252d253,60,24,United Kingdom,Male,Right-handed,Exp,dot_recog,e,1,0,,,,,
