index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1012.5999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,1,0,dot,gargoyle,gargoyle_mooney_dot_off2,target,regular,pre,off,o0tw8kfb3au290g,html-keyboard-response,14,717520,0.0-11.0-5.0-1.0,Chrome,133.0,Windows,10,undefined,undefined,1600 x 900,1600 x 773,https://exponline.ugr.es/publix/939/1007/start?srid=18842,68245db1d56753fae1ea7660,17,24,United States,Female,Right-handed,Exp,dot_recog,e,1,0,,,,,
1,1599.4000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,2,0,dot,grasshopper,grasshopper_mooney_dot_on1,target,upside_down,pre,on,o0tw8kfb3au290g,html-keyboard-response,18,720150,0.0-11.0-5.1-1.1,Chrome,133.0,Windows,10,undefined,undefined,1600 x 900,1600 x 773,https://exponline.ugr.es/publix/939/1007/start?srid=18842,68245db1d56753fae1ea7660,17,24,United States,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
2,1116.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,gargoyle,gargoyle_mooney_dot_on3,target,regular,pre,on,o0tw8kfb3au290g,html-keyboard-response,22,722282,0.0-11.0-5.2-1.2,Chrome,133.0,Windows,10,undefined,undefined,1600 x 900,1600 x 773,https://exponline.ugr.es/publix/939/1007/start?srid=18842,68245db1d56753fae1ea7660,17,24,United States,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
3,1617.7000000178814,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,grasshopper,grasshopper_mooney_dot_on3,target,upside_down,pre,on,o0tw8kfb3au290g,html-keyboard-response,26,724920,0.0-11.0-5.3-1.3,Chrome,133.0,Windows,10,undefined,undefined,1600 x 900,1600 x 773,https://exponline.ugr.es/publix/939/1007/start?srid=18842,68245db1d56753fae1ea7660,17,24,United States,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
4,927,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,missile,missile_mooney_dot_on3,target,horizontal_flip,pre,on,o0tw8kfb3au290g,html-keyboard-response,30,726867,0.0-11.0-5.4-1.4,Chrome,133.0,Windows,10,undefined,undefined,1600 x 900,1600 x 773,https://exponline.ugr.es/publix/939/1007/start?srid=18842,68245db1d56753fae1ea7660,17,24,United States,Female,Right-handed,Exp,dot_recog,i,0,0,,,,,
5,1096.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,6,0,dot,grasshopper,grasshopper_mooney_dot_off2,target,upside_down,pre,off,o0tw8kfb3au290g,html-keyboard-response,34,728987,0.0-11.0-5.5-1.5,Chrome,133.0,Windows,10,undefined,undefined,1600 x 900,1600 x 773,https://exponline.ugr.es/publix/939/1007/start?srid=18842,68245db1d56753fae1ea7660,17,24,United States,Female,Right-handed,Exp,dot_recog,e,1,0,,,,,
6,923.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,gargoyle,gargoyle_mooney_dot_off4,target,regular,pre,off,o0tw8kfb3au290g,html-keyboard-response,38,730923,0.0-11.0-5.6-1.6,Chrome,133.0,Windows,10,undefined,undefined,1600 x 900,1600 x 773,https://exponline.ugr.es/publix/939/1007/start?srid=18842,68245db1d56753fae1ea7660,17,24,United States,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
7,888.9000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,missile,missile_mooney_dot_off2,target,horizontal_flip,pre,off,o0tw8kfb3au290g,html-keyboard-response,42,732829,0.0-11.0-5.7-1.7,Chrome,133.0,Windows,10,undefined,undefined,1600 x 900,1600 x 773,https://exponline.ugr.es/publix/939/1007/start?srid=18842,68245db1d56753fae1ea7660,17,24,United States,Female,Right-handed,Exp,dot_recog,e,1,0,,,,,
8,671.3000000119209,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/grasshopper_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,grasshopper,grasshopper_mooney_dot_off4,target,upside_down,pre,off,o0tw8kfb3au290g,html-keyboard-response,46,734511,0.0-11.0-5.8-1.8,Chrome,133.0,Windows,10,undefined,undefined,1600 x 900,1600 x 773,https://exponline.ugr.es/publix/939/1007/start?srid=18842,68245db1d56753fae1ea7660,17,24,United States,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
9,595.5999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,10,0,dot,missile,missile_mooney_dot_off4,target,horizontal_flip,pre,off,o0tw8kfb3au290g,html-keyboard-response,50,736119,0.0-11.0-5.9-1.9,Chrome,133.0,Windows,10,undefined,undefined,1600 x 900,1600 x 773,https://exponline.ugr.es/publix/939/1007/start?srid=18842,68245db1d56753fae1ea7660,17,24,United States,Female,Right-handed,Exp,dot_recog,e,1,0,,,,,
