index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,1,0,dot,drill,drill_mooney_dot_off2,target,regular,pre,off,ophtgewxu768wv0,html-keyboard-response,14,260918,0.0-11.0-5.0-1.0,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 743,https://exponline.ugr.es/publix/939/1007/start?srid=18821,5e12213b6f6c638c6165dcfc,52,36,United States,Female,Right-handed,Exp,dot_recog,,0,1,,,,,
1,3550.600000023842,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/punching_bag_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,2,0,dot,punching_bag,punching_bag_mooney_dot_off2,target,upside_down,pre,off,ophtgewxu768wv0,html-keyboard-response,18,265484,0.0-11.0-5.1-1.1,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 743,https://exponline.ugr.es/publix/939/1007/start?srid=18821,5e12213b6f6c638c6165dcfc,52,36,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,,
2,3294.100000023842,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,missile,missile_mooney_dot_on3,target,horizontal_flip,pre,on,ophtgewxu768wv0,html-keyboard-response,22,269791,0.0-11.0-5.2-1.2,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 743,https://exponline.ugr.es/publix/939/1007/start?srid=18821,5e12213b6f6c638c6165dcfc,52,36,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
3,3388.4000000953674,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,4,0,dot,drill,drill_mooney_dot_on1,target,regular,pre,on,ophtgewxu768wv0,html-keyboard-response,26,274190,0.0-11.0-5.3-1.3,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 743,https://exponline.ugr.es/publix/939/1007/start?srid=18821,5e12213b6f6c638c6165dcfc,52,36,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
4,2796.6999999284744,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,missile,missile_mooney_dot_on1,target,horizontal_flip,pre,on,ophtgewxu768wv0,html-keyboard-response,30,277998,0.0-11.0-5.4-1.4,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 743,https://exponline.ugr.es/publix/939/1007/start?srid=18821,5e12213b6f6c638c6165dcfc,52,36,United States,Female,Right-handed,Exp,dot_recog,e,0,0,,,,,
5,3454.3000000715256,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,drill,drill_mooney_dot_off4,target,regular,pre,off,ophtgewxu768wv0,html-keyboard-response,34,282465,0.0-11.0-5.5-1.5,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 743,https://exponline.ugr.es/publix/939/1007/start?srid=18821,5e12213b6f6c638c6165dcfc,52,36,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,,
6,1733.2000000476837,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,missile,missile_mooney_dot_off4,target,horizontal_flip,pre,off,ophtgewxu768wv0,html-keyboard-response,38,285205,0.0-11.0-5.6-1.6,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 743,https://exponline.ugr.es/publix/939/1007/start?srid=18821,5e12213b6f6c638c6165dcfc,52,36,United States,Female,Right-handed,Exp,dot_recog,i,1,0,,,,,
7,2996.399999976158,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/punching_bag_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,8,0,dot,punching_bag,punching_bag_mooney_dot_off4,target,upside_down,pre,off,ophtgewxu768wv0,html-keyboard-response,42,289213,0.0-11.0-5.7-1.7,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 743,https://exponline.ugr.es/publix/939/1007/start?srid=18821,5e12213b6f6c638c6165dcfc,52,36,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,,
8,3492,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,9,0,dot,missile,missile_mooney_dot_off2,target,horizontal_flip,pre,off,ophtgewxu768wv0,html-keyboard-response,46,293714,0.0-11.0-5.8-1.8,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 743,https://exponline.ugr.es/publix/939/1007/start?srid=18821,5e12213b6f6c638c6165dcfc,52,36,United States,Female,Right-handed,Exp,dot_recog,e,0,1,,,,,
9,1716.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/punching_bag_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,punching_bag,punching_bag_mooney_dot_on3,target,upside_down,pre,on,ophtgewxu768wv0,html-keyboard-response,50,296442,0.0-11.0-5.9-1.9,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 743,https://exponline.ugr.es/publix/939/1007/start?srid=18821,5e12213b6f6c638c6165dcfc,52,36,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
10,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,11,0,dot,drill,drill_mooney_dot_on3,target,regular,pre,on,ophtgewxu768wv0,html-keyboard-response,54,302451,0.0-11.0-5.10-1.10,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 743,https://exponline.ugr.es/publix/939/1007/start?srid=18821,5e12213b6f6c638c6165dcfc,52,36,United States,Female,Right-handed,Exp,dot_recog,,0,0,,,,,
11,2272.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/punching_bag_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,12,0,dot,punching_bag,punching_bag_mooney_dot_on1,target,upside_down,pre,on,ophtgewxu768wv0,html-keyboard-response,58,305731,0.0-11.0-5.11-1.11,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 743,https://exponline.ugr.es/publix/939/1007/start?srid=18821,5e12213b6f6c638c6165dcfc,52,36,United States,Female,Right-handed,Exp,dot_recog,i,1,1,,,,,
12,,,,13,0,recognition,missile,missile_mooney,target,horizontal_flip,pre,null,ophtgewxu768wv0,survey-text-autocomplete,66,329587,0.0-11.0-6.12-4.12,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 743,https://exponline.ugr.es/publix/939/1007/start?srid=18821,5e12213b6f6c638c6165dcfc,52,36,United States,Female,Right-handed,Exp,Recognition,,,,,"""timeout""",,,0.0
13,,,,14,0,recognition,drill,drill_mooney,target,regular,pre,null,ophtgewxu768wv0,survey-text-autocomplete,73,344795,0.0-11.0-6.13-4.13,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 743,https://exponline.ugr.es/publix/939/1007/start?srid=18821,5e12213b6f6c638c6165dcfc,52,36,United States,Female,Right-handed,Exp,Recognition,,,,,"{""recognition"":""cow""}",cow,0.8335278715580932,0.0
14,,,,15,0,recognition,punching_bag,punching_bag_mooney,target,upside_down,pre,null,ophtgewxu768wv0,survey-text-autocomplete,80,366654,0.0-11.0-6.14-4.14,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 743,https://exponline.ugr.es/publix/939/1007/start?srid=18821,5e12213b6f6c638c6165dcfc,52,36,United States,Female,Right-handed,Exp,Recognition,,,,,"""timeout""",,,0.0
15,,,,16,0,recognition,missile,missile,target,horizontal_flip,color,null,ophtgewxu768wv0,survey-text-autocomplete,87,378023,0.0-11.0-6.15-4.15,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 743,https://exponline.ugr.es/publix/939/1007/start?srid=18821,5e12213b6f6c638c6165dcfc,52,36,United States,Female,Right-handed,Exp,Recognition,,,,,"{""recognition"":""goat""}",goat,0.8428332428833936,0.0
16,,,,17,0,recognition,drill,drill,target,regular,color,null,ophtgewxu768wv0,survey-text-autocomplete,94,399867,0.0-11.0-6.16-4.16,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 743,https://exponline.ugr.es/publix/939/1007/start?srid=18821,5e12213b6f6c638c6165dcfc,52,36,United States,Female,Right-handed,Exp,Recognition,,,,,"""timeout""",,,0.0
17,,,,18,0,recognition,punching_bag,punching_bag,target,upside_down,color,null,ophtgewxu768wv0,survey-text-autocomplete,101,408848,0.0-11.0-6.17-4.17,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 743,https://exponline.ugr.es/publix/939/1007/start?srid=18821,5e12213b6f6c638c6165dcfc,52,36,United States,Female,Right-handed,Exp,Recognition,,,,,"{""recognition"":""notebook""}",notebook,0.8186892732732497,0.0
18,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_off8.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,19,1,dot,drill,drill_mooney_dot_off8,target,regular,post,off,ophtgewxu768wv0,html-keyboard-response,107,429729,0.0-11.0-5.18-1.18,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 743,https://exponline.ugr.es/publix/939/1007/start?srid=18821,5e12213b6f6c638c6165dcfc,52,36,United States,Female,Right-handed,Exp,dot_recog,,0,1,,,,,
19,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_on7.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,20,1,dot,missile,missile_mooney_dot_on7,target,horizontal_flip,post,on,ophtgewxu768wv0,html-keyboard-response,111,435746,0.0-11.0-5.19-1.19,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 743,https://exponline.ugr.es/publix/939/1007/start?srid=18821,5e12213b6f6c638c6165dcfc,52,36,United States,Female,Right-handed,Exp,dot_recog,,0,0,,,,,
