index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,1,0,dot,candelabra,candelabra_mooney_dot_off2,target,horizontal_flip,pre,off,r205pwc808h5rll,html-keyboard-response,14,271836,0.0-11.0-5.0-1.0,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/1007/start?srid=18820,67f0756f11bafb18b8c997d5,31,40,United States,Female,Right-handed,Exp,dot_recog,,0,1,,,,,
1,4091.7999999523163,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,missile,missile_mooney_dot_on3,target,regular,pre,on,r205pwc808h5rll,html-keyboard-response,18,276943,0.0-11.0-5.1-1.1,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/1007/start?srid=18820,67f0756f11bafb18b8c997d5,31,40,United States,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
2,2646,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,3,0,dot,drill,drill_mooney_dot_on1,target,upside_down,pre,on,r205pwc808h5rll,html-keyboard-response,22,280612,0.0-11.0-5.2-1.2,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/1007/start?srid=18820,67f0756f11bafb18b8c997d5,31,40,United States,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
3,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,4,0,dot,missile,missile_mooney_dot_off2,target,regular,pre,off,r205pwc808h5rll,html-keyboard-response,26,286636,0.0-11.0-5.3-1.3,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/1007/start?srid=18820,67f0756f11bafb18b8c997d5,31,40,United States,Female,Right-handed,Exp,dot_recog,,0,1,,,,,
4,3807,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,5,0,dot,drill,drill_mooney_dot_off2,target,upside_down,pre,off,r205pwc808h5rll,html-keyboard-response,30,291460,0.0-11.0-5.4-1.4,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/1007/start?srid=18820,67f0756f11bafb18b8c997d5,31,40,United States,Female,Right-handed,Exp,dot_recog,e,1,0,,,,,
5,1983.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,6,0,dot,candelabra,candelabra_mooney_dot_on3,target,horizontal_flip,pre,on,r205pwc808h5rll,html-keyboard-response,34,294466,0.0-11.0-5.5-1.5,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/1007/start?srid=18820,67f0756f11bafb18b8c997d5,31,40,United States,Female,Right-handed,Exp,dot_recog,i,0,0,,,,,
6,1260.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,drill,drill_mooney_dot_on3,target,upside_down,pre,on,r205pwc808h5rll,html-keyboard-response,38,296749,0.0-11.0-5.6-1.6,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/1007/start?srid=18820,67f0756f11bafb18b8c997d5,31,40,United States,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
7,2838.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,8,0,dot,missile,missile_mooney_dot_on1,target,regular,pre,on,r205pwc808h5rll,html-keyboard-response,42,300613,0.0-11.0-5.7-1.7,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/1007/start?srid=18820,67f0756f11bafb18b8c997d5,31,40,United States,Female,Right-handed,Exp,dot_recog,i,0,0,,,,,
8,2397.600000023842,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,9,0,dot,candelabra,candelabra_mooney_dot_off4,target,horizontal_flip,pre,off,r205pwc808h5rll,html-keyboard-response,46,304025,0.0-11.0-5.8-1.8,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/1007/start?srid=18820,67f0756f11bafb18b8c997d5,31,40,United States,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
9,1296,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,drill,drill_mooney_dot_off4,target,upside_down,pre,off,r205pwc808h5rll,html-keyboard-response,50,306339,0.0-11.0-5.9-1.9,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,https://exponline.ugr.es/publix/939/1007/start?srid=18820,67f0756f11bafb18b8c997d5,31,40,United States,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
