index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,1,0,dot,peanut_butter,peanut_butter_mooney_dot_off2,target,horizontal_flip,pre,off,r3760842sdgu8lo,html-keyboard-response,14,501416,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,,undefined,undefined,1920 x 1080,1920 x 953,https://exponline.ugr.es/publix/939/1007/start?srid=18840,67c094df9b2f71ff16b0f9b6,35,26,United States,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
1,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",null,2,0,dot,backpack,backpack_mooney_dot_off4,target,upside_down,pre,off,r3760842sdgu8lo,html-keyboard-response,18,507422,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,,undefined,undefined,1920 x 1080,1920 x 953,https://exponline.ugr.es/publix/939/1007/start?srid=18840,67c094df9b2f71ff16b0f9b6,35,26,United States,Male,Right-handed,Exp,dot_recog,,0,1,,,,,
2,2247.7999999970198,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,gargoyle,gargoyle_mooney_dot_off2,target,regular,pre,off,r3760842sdgu8lo,html-keyboard-response,22,510676,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,,undefined,undefined,1920 x 1080,1920 x 953,https://exponline.ugr.es/publix/939/1007/start?srid=18840,67c094df9b2f71ff16b0f9b6,35,26,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
3,1888.7000000029802,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,backpack,backpack_mooney_dot_off2,target,upside_down,pre,off,r3760842sdgu8lo,html-keyboard-response,26,513572,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,,undefined,undefined,1920 x 1080,1920 x 953,https://exponline.ugr.es/publix/939/1007/start?srid=18840,67c094df9b2f71ff16b0f9b6,35,26,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
4,897.8999999985099,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,peanut_butter,peanut_butter_mooney_dot_off4,target,horizontal_flip,pre,off,r3760842sdgu8lo,html-keyboard-response,30,515476,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,,undefined,undefined,1920 x 1080,1920 x 953,https://exponline.ugr.es/publix/939/1007/start?srid=18840,67c094df9b2f71ff16b0f9b6,35,26,United States,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
5,841,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,gargoyle,gargoyle_mooney_dot_on3,target,regular,pre,on,r3760842sdgu8lo,html-keyboard-response,34,517324,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,,undefined,undefined,1920 x 1080,1920 x 953,https://exponline.ugr.es/publix/939/1007/start?srid=18840,67c094df9b2f71ff16b0f9b6,35,26,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
6,3529,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,peanut_butter,peanut_butter_mooney_dot_on1,target,horizontal_flip,pre,on,r3760842sdgu8lo,html-keyboard-response,38,521860,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,,undefined,undefined,1920 x 1080,1920 x 953,https://exponline.ugr.es/publix/939/1007/start?srid=18840,67c094df9b2f71ff16b0f9b6,35,26,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
7,968.4000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,gargoyle,gargoyle_mooney_dot_off4,target,regular,pre,off,r3760842sdgu8lo,html-keyboard-response,42,523836,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,,undefined,undefined,1920 x 1080,1920 x 953,https://exponline.ugr.es/publix/939/1007/start?srid=18840,67c094df9b2f71ff16b0f9b6,35,26,United States,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
8,1736.3000000044703,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,backpack,backpack_mooney_dot_on1,target,upside_down,pre,on,r3760842sdgu8lo,html-keyboard-response,46,526580,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,,undefined,undefined,1920 x 1080,1920 x 953,https://exponline.ugr.es/publix/939/1007/start?srid=18840,67c094df9b2f71ff16b0f9b6,35,26,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
9,1098.7999999970198,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/peanut_butter_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,10,0,dot,peanut_butter,peanut_butter_mooney_dot_on3,target,horizontal_flip,pre,on,r3760842sdgu8lo,html-keyboard-response,50,528684,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,,undefined,undefined,1920 x 1080,1920 x 953,https://exponline.ugr.es/publix/939/1007/start?srid=18840,67c094df9b2f71ff16b0f9b6,35,26,United States,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
