index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,2763,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,1,0,dot,sandal,sandal_mooney_dot_on3,target,horizontal_flip,pre,on,r8g85xlyguk52cf,html-keyboard-response,14,519564,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18859,670e851632b444a56d13cfb8,14,28,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
1,2136.899999976158,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,pomegranate,pomegranate_mooney_dot_off2,target,regular,pre,off,r8g85xlyguk52cf,html-keyboard-response,18,522720,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18859,670e851632b444a56d13cfb8,14,28,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
2,2088,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sardine_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,3,0,dot,sardine,sardine_mooney_dot_off2,target,upside_down,pre,off,r8g85xlyguk52cf,html-keyboard-response,22,525832,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18859,670e851632b444a56d13cfb8,14,28,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
3,2289.7000000178814,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,4,0,dot,pomegranate,pomegranate_mooney_dot_on3,target,regular,pre,on,r8g85xlyguk52cf,html-keyboard-response,26,529135,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18859,670e851632b444a56d13cfb8,14,28,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,0,,,,,
4,1634.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,sandal,sandal_mooney_dot_off4,target,horizontal_flip,pre,off,r8g85xlyguk52cf,html-keyboard-response,30,531798,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18859,670e851632b444a56d13cfb8,14,28,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
5,1759.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sardine_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,sardine,sardine_mooney_dot_off4,target,upside_down,pre,off,r8g85xlyguk52cf,html-keyboard-response,34,534582,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18859,670e851632b444a56d13cfb8,14,28,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
6,2140.2000000178814,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,pomegranate,pomegranate_mooney_dot_on1,target,regular,pre,on,r8g85xlyguk52cf,html-keyboard-response,38,537743,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18859,670e851632b444a56d13cfb8,14,28,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,0,,,,,
7,2550.0999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sardine_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,8,0,dot,sardine,sardine_mooney_dot_on1,target,upside_down,pre,on,r8g85xlyguk52cf,html-keyboard-response,42,541320,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18859,670e851632b444a56d13cfb8,14,28,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,0,,,,,
8,2248.5999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,9,0,dot,sandal,sandal_mooney_dot_off2,target,horizontal_flip,pre,off,r8g85xlyguk52cf,html-keyboard-response,46,544594,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18859,670e851632b444a56d13cfb8,14,28,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
9,902.9000000059605,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sardine_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,sardine,sardine_mooney_dot_on3,target,upside_down,pre,on,r8g85xlyguk52cf,html-keyboard-response,50,546528,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18859,670e851632b444a56d13cfb8,14,28,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,0,,,,,
10,1091.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sandal_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,11,0,dot,sandal,sandal_mooney_dot_on1,target,horizontal_flip,pre,on,r8g85xlyguk52cf,html-keyboard-response,54,548649,0.0-11.0-5.10-1.10,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18859,670e851632b444a56d13cfb8,14,28,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
11,1739.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,12,0,dot,pomegranate,pomegranate_mooney_dot_off4,target,regular,pre,off,r8g85xlyguk52cf,html-keyboard-response,58,551411,0.0-11.0-5.11-1.11,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18859,670e851632b444a56d13cfb8,14,28,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,0,,,,,
12,,,,13,0,recognition,sardine,sardine_mooney,target,upside_down,pre,null,r8g85xlyguk52cf,survey-text-autocomplete,66,566116,0.0-11.0-6.12-4.12,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18859,670e851632b444a56d13cfb8,14,28,United Kingdom,Female,Right-handed,Exp,Recognition,,,,,"{""recognition"":""net""}",net,0.7861524203954942,0.0
13,,,,14,0,recognition,pomegranate,pomegranate_mooney,target,regular,pre,null,r8g85xlyguk52cf,survey-text-autocomplete,73,577490,0.0-11.0-6.13-4.13,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18859,670e851632b444a56d13cfb8,14,28,United Kingdom,Female,Right-handed,Exp,Recognition,,,,,"{""recognition"":""net""}",net,0.79234284833278,0.0
14,,,,15,0,recognition,sandal,sandal_mooney,target,horizontal_flip,pre,null,r8g85xlyguk52cf,survey-text-autocomplete,80,589483,0.0-11.0-6.14-4.14,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18859,670e851632b444a56d13cfb8,14,28,United Kingdom,Female,Right-handed,Exp,Recognition,,,,,"{""recognition"":""car""}",car,0.7288184774171919,0.0
15,,,,16,0,recognition,pomegranate,pomegranate,target,regular,color,null,r8g85xlyguk52cf,survey-text-autocomplete,87,611345,0.0-11.0-6.15-4.15,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/1007/start?srid=18859,670e851632b444a56d13cfb8,14,28,United Kingdom,Female,Right-handed,Exp,Recognition,,,,,"""timeout""",,,0.0
