index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,4143.399999991059,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,1,0,dot,backpack,backpack_mooney_dot_off2,target,regular,pre,off,tl4mzjklmy5rkgt,html-keyboard-response,14,228967,0.0-11.0-5.0-1.0,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 695,https://exponline.ugr.es/publix/939/1007/start?srid=18850,6744d143eddffd17d345b192,9,25,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
1,1227.5999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,2,0,dot,steak,steak_mooney_dot_on3,target,upside_down,pre,on,tl4mzjklmy5rkgt,html-keyboard-response,18,231206,0.0-11.0-5.1-1.1,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 695,https://exponline.ugr.es/publix/939/1007/start?srid=18850,6744d143eddffd17d345b192,9,25,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
2,1908.2999999970198,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,missile,missile_mooney_dot_on3,target,horizontal_flip,pre,on,tl4mzjklmy5rkgt,html-keyboard-response,22,234130,0.0-11.0-5.2-1.2,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 695,https://exponline.ugr.es/publix/939/1007/start?srid=18850,6744d143eddffd17d345b192,9,25,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,,
3,1431,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,steak,steak_mooney_dot_off2,target,upside_down,pre,off,tl4mzjklmy5rkgt,html-keyboard-response,26,236568,0.0-11.0-5.3-1.3,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 695,https://exponline.ugr.es/publix/939/1007/start?srid=18850,6744d143eddffd17d345b192,9,25,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
4,1409.5999999940395,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,missile,missile_mooney_dot_off4,target,horizontal_flip,pre,off,tl4mzjklmy5rkgt,html-keyboard-response,30,238981,0.0-11.0-5.4-1.4,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 695,https://exponline.ugr.es/publix/939/1007/start?srid=18850,6744d143eddffd17d345b192,9,25,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
5,1027.8999999910593,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,steak,steak_mooney_dot_on1,target,upside_down,pre,on,tl4mzjklmy5rkgt,html-keyboard-response,34,241016,0.0-11.0-5.5-1.5,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 695,https://exponline.ugr.es/publix/939/1007/start?srid=18850,6744d143eddffd17d345b192,9,25,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
6,2548.699999988079,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,7,0,dot,backpack,backpack_mooney_dot_on1,target,regular,pre,on,tl4mzjklmy5rkgt,html-keyboard-response,38,244577,0.0-11.0-5.6-1.6,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 695,https://exponline.ugr.es/publix/939/1007/start?srid=18850,6744d143eddffd17d345b192,9,25,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
7,2178.2999999970198,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,missile,missile_mooney_dot_on1,target,horizontal_flip,pre,on,tl4mzjklmy5rkgt,html-keyboard-response,42,247761,0.0-11.0-5.7-1.7,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 695,https://exponline.ugr.es/publix/939/1007/start?srid=18850,6744d143eddffd17d345b192,9,25,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,,
8,2084.7999999970198,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/backpack_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,9,0,dot,backpack,backpack_mooney_dot_off4,target,regular,pre,off,tl4mzjklmy5rkgt,html-keyboard-response,46,250861,0.0-11.0-5.8-1.8,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 695,https://exponline.ugr.es/publix/939/1007/start?srid=18850,6744d143eddffd17d345b192,9,25,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
9,2756.7999999970198,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,10,0,dot,missile,missile_mooney_dot_off2,target,horizontal_flip,pre,off,tl4mzjklmy5rkgt,html-keyboard-response,50,254625,0.0-11.0-5.9-1.9,Chrome,136.0,Windows,10,undefined,undefined,1536 x 864,1536 x 695,https://exponline.ugr.es/publix/939/1007/start?srid=18850,6744d143eddffd17d345b192,9,25,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
