index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,417885,0.0-11.0-5.0-1.0,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,ubo6pr9c954oz99,https://exponline.ugr.es/publix/939/1007/start?srid=18889,67e8891f804abbe65ff993ad,10,22,United States,Female,Right-handed,,null,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,1,0,dot,lip_gloss,lip_gloss_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,,0,0,,,,
18,,,,,,html-keyboard-response,18,423899,0.0-11.0-5.1-1.1,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,ubo6pr9c954oz99,https://exponline.ugr.es/publix/939/1007/start?srid=18889,67e8891f804abbe65ff993ad,10,22,United States,Female,Right-handed,,null,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",null,2,0,dot,scarf,scarf_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,,0,1,,,,
22,,,,,,html-keyboard-response,22,427785,0.0-11.0-5.2-1.2,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,ubo6pr9c954oz99,https://exponline.ugr.es/publix/939/1007/start?srid=18889,67e8891f804abbe65ff993ad,10,22,United States,Female,Right-handed,,2868.60000000149,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,3,0,dot,lip_gloss,lip_gloss_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,i,1,0,,,,
26,,,,,,html-keyboard-response,26,431221,0.0-11.0-5.3-1.3,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,ubo6pr9c954oz99,https://exponline.ugr.es/publix/939/1007/start?srid=18889,67e8891f804abbe65ff993ad,10,22,United States,Female,Right-handed,,2425.2999999970198,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,magnifier,magnifier_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,i,1,1,,,,
30,,,,,,html-keyboard-response,30,433232,0.0-11.0-5.4-1.4,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,ubo6pr9c954oz99,https://exponline.ugr.es/publix/939/1007/start?srid=18889,67e8891f804abbe65ff993ad,10,22,United States,Female,Right-handed,,1000.2000000029802,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,5,0,dot,lip_gloss,lip_gloss_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,e,0,1,,,,
34,,,,,,html-keyboard-response,34,435175,0.0-11.0-5.5-1.5,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,ubo6pr9c954oz99,https://exponline.ugr.es/publix/939/1007/start?srid=18889,67e8891f804abbe65ff993ad,10,22,United States,Female,Right-handed,,929.7999999970198,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,6,0,dot,scarf,scarf_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,e,0,0,,,,
38,,,,,,html-keyboard-response,38,436863,0.0-11.0-5.6-1.6,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,ubo6pr9c954oz99,https://exponline.ugr.es/publix/939/1007/start?srid=18889,67e8891f804abbe65ff993ad,10,22,United States,Female,Right-handed,,667.8999999985099,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,magnifier,magnifier_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,e,0,1,,,,
42,,,,,,html-keyboard-response,42,438483,0.0-11.0-5.7-1.7,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,ubo6pr9c954oz99,https://exponline.ugr.es/publix/939/1007/start?srid=18889,67e8891f804abbe65ff993ad,10,22,United States,Female,Right-handed,,609.7999999970198,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,scarf,scarf_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,e,0,1,,,,
46,,,,,,html-keyboard-response,46,440433,0.0-11.0-5.8-1.8,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,ubo6pr9c954oz99,https://exponline.ugr.es/publix/939/1007/start?srid=18889,67e8891f804abbe65ff993ad,10,22,United States,Female,Right-handed,,938.9000000059605,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,magnifier,magnifier_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,i,1,1,,,,
50,,,,,,html-keyboard-response,50,442507,0.0-11.0-5.9-1.9,Chrome,133.0,Windows,10,undefined,undefined,1536 x 864,1536 x 730,ubo6pr9c954oz99,https://exponline.ugr.es/publix/939/1007/start?srid=18889,67e8891f804abbe65ff993ad,10,22,United States,Female,Right-handed,,1066.1000000014901,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,10,0,dot,scarf,scarf_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,e,0,0,,,,
