index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1232.3000000715256,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,1,0,dot,axe,axe_mooney_dot_off4,target,regular,pre,off,ul80gzr836unnwe,html-keyboard-response,14,2189076,0.0-11.0-5.0-1.0,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 812,https://exponline.ugr.es/publix/939/1007/start?srid=18831,67e069199f5b036960b0cc5f,33,31,United States,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
1,1369,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,2,0,dot,steak,steak_mooney_dot_off2,target,upside_down,pre,off,ul80gzr836unnwe,html-keyboard-response,18,2191452,0.0-11.0-5.1-1.1,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 812,https://exponline.ugr.es/publix/939/1007/start?srid=18831,67e069199f5b036960b0cc5f,33,31,United States,Female,Right-handed,Exp,dot_recog,e,1,0,,,,,
2,2633.899999976158,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,3,0,dot,axe,axe_mooney_dot_off2,target,regular,pre,off,ul80gzr836unnwe,html-keyboard-response,22,2195091,0.0-11.0-5.2-1.2,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 812,https://exponline.ugr.es/publix/939/1007/start?srid=18831,67e069199f5b036960b0cc5f,33,31,United States,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
3,1678.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,4,0,dot,scarf,scarf_mooney_dot_off2,target,horizontal_flip,pre,off,ul80gzr836unnwe,html-keyboard-response,26,2197775,0.0-11.0-5.3-1.3,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 812,https://exponline.ugr.es/publix/939/1007/start?srid=18831,67e069199f5b036960b0cc5f,33,31,United States,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
4,726.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,axe,axe_mooney_dot_on1,target,regular,pre,on,ul80gzr836unnwe,html-keyboard-response,30,2199507,0.0-11.0-5.4-1.4,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 812,https://exponline.ugr.es/publix/939/1007/start?srid=18831,67e069199f5b036960b0cc5f,33,31,United States,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
5,1808.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,steak,steak_mooney_dot_off4,target,upside_down,pre,off,ul80gzr836unnwe,html-keyboard-response,34,2202322,0.0-11.0-5.5-1.5,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 812,https://exponline.ugr.es/publix/939/1007/start?srid=18831,67e069199f5b036960b0cc5f,33,31,United States,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
6,796,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,scarf,scarf_mooney_dot_on1,target,horizontal_flip,pre,on,ul80gzr836unnwe,html-keyboard-response,38,2204125,0.0-11.0-5.6-1.6,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 812,https://exponline.ugr.es/publix/939/1007/start?srid=18831,67e069199f5b036960b0cc5f,33,31,United States,Female,Right-handed,Exp,dot_recog,i,0,0,,,,,
7,735.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,axe,axe_mooney_dot_on3,target,regular,pre,on,ul80gzr836unnwe,html-keyboard-response,42,2205865,0.0-11.0-5.7-1.7,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 812,https://exponline.ugr.es/publix/939/1007/start?srid=18831,67e069199f5b036960b0cc5f,33,31,United States,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
8,646.5999999046326,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,9,0,dot,steak,steak_mooney_dot_on3,target,upside_down,pre,on,ul80gzr836unnwe,html-keyboard-response,46,2207518,0.0-11.0-5.8-1.8,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 812,https://exponline.ugr.es/publix/939/1007/start?srid=18831,67e069199f5b036960b0cc5f,33,31,United States,Female,Right-handed,Exp,dot_recog,i,0,0,,,,,
9,1034.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,10,0,dot,scarf,scarf_mooney_dot_on3,target,horizontal_flip,pre,on,ul80gzr836unnwe,html-keyboard-response,50,2209559,0.0-11.0-5.9-1.9,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 812,https://exponline.ugr.es/publix/939/1007/start?srid=18831,67e069199f5b036960b0cc5f,33,31,United States,Female,Right-handed,Exp,dot_recog,i,0,0,,,,,
10,1062.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,11,0,dot,steak,steak_mooney_dot_on1,target,upside_down,pre,on,ul80gzr836unnwe,html-keyboard-response,54,2211630,0.0-11.0-5.10-1.10,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 812,https://exponline.ugr.es/publix/939/1007/start?srid=18831,67e069199f5b036960b0cc5f,33,31,United States,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
11,653.3999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,12,0,dot,scarf,scarf_mooney_dot_off4,target,horizontal_flip,pre,off,ul80gzr836unnwe,html-keyboard-response,58,2213289,0.0-11.0-5.11-1.11,Chrome,134.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 812,https://exponline.ugr.es/publix/939/1007/start?srid=18831,67e069199f5b036960b0cc5f,33,31,United States,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
