index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,302968,0.0-11.0-5.0-1.0,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,null,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,1,0,dot,eclair,eclair_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,,0,0,,,,
18,,,,,,html-keyboard-response,18,307780,0.0-11.0-5.1-1.1,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,3803,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,2,0,dot,lip_gloss,lip_gloss_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,i,0,1,,,,
22,,,,,,html-keyboard-response,22,309414,0.0-11.0-5.2-1.2,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,626.9000000357628,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,3,0,dot,magnifier,magnifier_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,e,1,0,,,,
26,,,,,,html-keyboard-response,26,311041,0.0-11.0-5.3-1.3,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,619,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,4,0,dot,lip_gloss,lip_gloss_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,e,1,1,,,,
30,,,,,,html-keyboard-response,30,313099,0.0-11.0-5.4-1.4,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,1050.7000000476837,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,5,0,dot,eclair,eclair_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,i,0,1,,,,
34,,,,,,html-keyboard-response,34,314691,0.0-11.0-5.5-1.5,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,584.8000000119209,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,magnifier,magnifier_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,i,0,1,,,,
38,,,,,,html-keyboard-response,38,316998,0.0-11.0-5.6-1.6,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,1299.800000011921,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,lip_gloss,lip_gloss_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,i,0,0,,,,
42,,,,,,html-keyboard-response,42,318867,0.0-11.0-5.7-1.7,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,862.5,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/magnifier_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,8,0,dot,magnifier,magnifier_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,e,1,1,,,,
46,,,,,,html-keyboard-response,46,320471,0.0-11.0-5.8-1.8,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,596.6000000238419,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,eclair,eclair_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,e,1,0,,,,
50,,,,,,html-keyboard-response,50,321922,0.0-11.0-5.9-1.9,Chrome,136.0,macOS,10.15.7,undefined,undefined,1728 x 1117,1728 x 992,uv69tv77t710c5m,https://exponline.ugr.es/publix/939/1007/start?srid=18826,67c44dd612fd47cf995211d8,38,32,United States,Male,Right-handed,,442.69999998807907,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/lip_gloss_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,10,0,dot,lip_gloss,lip_gloss_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,i,0,1,,,,
