index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,1,0,dot,puffin,puffin_mooney_dot_off4,target,regular,pre,off,uwptb6stny2zsua,html-keyboard-response,14,262131,0.0-11.0-5.0-1.0,Chrome,136.0,Windows,10,undefined,undefined,1280 x 1024,1280 x 897,https://exponline.ugr.es/publix/939/1007/start?srid=18833,6776fdc5d7a018d7d4b62f26,63,31,United Kingdom,Female,Right-handed,Exp,dot_recog,,0,1,,,,,
1,3408.2999999998137,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/hot-water_bottle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,hot-water_bottle,hot-water_bottle_mooney_dot_on1,target,horizontal_flip,pre,on,uwptb6stny2zsua,html-keyboard-response,18,266548,0.0-11.0-5.1-1.1,Chrome,136.0,Windows,10,undefined,undefined,1280 x 1024,1280 x 897,https://exponline.ugr.es/publix/939/1007/start?srid=18833,6776fdc5d7a018d7d4b62f26,63,31,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
2,3407.5999999996275,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sardine_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,3,0,dot,sardine,sardine_mooney_dot_off4,target,upside_down,pre,off,uwptb6stny2zsua,html-keyboard-response,22,270961,0.0-11.0-5.2-1.2,Chrome,136.0,Windows,10,undefined,undefined,1280 x 1024,1280 x 897,https://exponline.ugr.es/publix/939/1007/start?srid=18833,6776fdc5d7a018d7d4b62f26,63,31,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
3,2250.899999999441,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/hot-water_bottle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,4,0,dot,hot-water_bottle,hot-water_bottle_mooney_dot_on3,target,horizontal_flip,pre,on,uwptb6stny2zsua,html-keyboard-response,26,274219,0.0-11.0-5.3-1.3,Chrome,136.0,Windows,10,undefined,undefined,1280 x 1024,1280 x 897,https://exponline.ugr.es/publix/939/1007/start?srid=18833,6776fdc5d7a018d7d4b62f26,63,31,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
4,2877.899999999441,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,puffin,puffin_mooney_dot_on3,target,regular,pre,on,uwptb6stny2zsua,html-keyboard-response,30,278104,0.0-11.0-5.4-1.4,Chrome,136.0,Windows,10,undefined,undefined,1280 x 1024,1280 x 897,https://exponline.ugr.es/publix/939/1007/start?srid=18833,6776fdc5d7a018d7d4b62f26,63,31,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
5,2456.0999999996275,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sardine_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,6,0,dot,sardine,sardine_mooney_dot_off2,target,upside_down,pre,off,uwptb6stny2zsua,html-keyboard-response,34,281566,0.0-11.0-5.5-1.5,Chrome,136.0,Windows,10,undefined,undefined,1280 x 1024,1280 x 897,https://exponline.ugr.es/publix/939/1007/start?srid=18833,6776fdc5d7a018d7d4b62f26,63,31,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
6,2339.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,7,0,dot,puffin,puffin_mooney_dot_on1,target,regular,pre,on,uwptb6stny2zsua,html-keyboard-response,38,284912,0.0-11.0-5.6-1.6,Chrome,136.0,Windows,10,undefined,undefined,1280 x 1024,1280 x 897,https://exponline.ugr.es/publix/939/1007/start?srid=18833,6776fdc5d7a018d7d4b62f26,63,31,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
7,2190.7999999998137,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/sardine_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,8,0,dot,sardine,sardine_mooney_dot_on3,target,upside_down,pre,on,uwptb6stny2zsua,html-keyboard-response,42,288107,0.0-11.0-5.7-1.7,Chrome,136.0,Windows,10,undefined,undefined,1280 x 1024,1280 x 897,https://exponline.ugr.es/publix/939/1007/start?srid=18833,6776fdc5d7a018d7d4b62f26,63,31,United Kingdom,Female,Right-handed,Exp,dot_recog,e,1,1,,,,,
8,2269.4000000003725,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/hot-water_bottle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,9,0,dot,hot-water_bottle,hot-water_bottle_mooney_dot_off4,target,horizontal_flip,pre,off,uwptb6stny2zsua,html-keyboard-response,46,291384,0.0-11.0-5.8-1.8,Chrome,136.0,Windows,10,undefined,undefined,1280 x 1024,1280 x 897,https://exponline.ugr.es/publix/939/1007/start?srid=18833,6776fdc5d7a018d7d4b62f26,63,31,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
9,1856.3999999994412,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/puffin_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,10,0,dot,puffin,puffin_mooney_dot_off2,target,regular,pre,off,uwptb6stny2zsua,html-keyboard-response,50,294247,0.0-11.0-5.9-1.9,Chrome,136.0,Windows,10,undefined,undefined,1280 x 1024,1280 x 897,https://exponline.ugr.es/publix/939/1007/start?srid=18833,6776fdc5d7a018d7d4b62f26,63,31,United Kingdom,Female,Right-handed,Exp,dot_recog,i,0,1,,,,,
