index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,288254,0.0-11.0-5.0-1.0,Chrome,135.0,Chrome OS,,undefined,undefined,1920 x 1080,1920 x 911,z2phelj1y4o6d71,https://exponline.ugr.es/publix/939/1007/start?srid=18899,6658c4239af9537eefdfbcc9,26,32,United Kingdom,Female,Right-handed,,1345.7999999970198,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,1,0,dot,bat2,bat2_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,i,0,1,,,,
18,,,,,,html-keyboard-response,18,290381,0.0-11.0-5.1-1.1,Chrome,135.0,Chrome OS,,undefined,undefined,1920 x 1080,1920 x 911,z2phelj1y4o6d71,https://exponline.ugr.es/publix/939/1007/start?srid=18899,6658c4239af9537eefdfbcc9,26,32,United Kingdom,Female,Right-handed,,1122.4000000059605,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,snail,snail_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,e,1,1,,,,
22,,,,,,html-keyboard-response,22,292317,0.0-11.0-5.2-1.2,Chrome,135.0,Chrome OS,,undefined,undefined,1920 x 1080,1920 x 911,z2phelj1y4o6d71,https://exponline.ugr.es/publix/939/1007/start?srid=18899,6658c4239af9537eefdfbcc9,26,32,United Kingdom,Female,Right-handed,,931.7999999970198,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,3,0,dot,bat2,bat2_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,i,0,1,,,,
26,,,,,,html-keyboard-response,26,294125,0.0-11.0-5.3-1.3,Chrome,135.0,Chrome OS,,undefined,undefined,1920 x 1080,1920 x 911,z2phelj1y4o6d71,https://exponline.ugr.es/publix/939/1007/start?srid=18899,6658c4239af9537eefdfbcc9,26,32,United Kingdom,Female,Right-handed,,803.1000000089407,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,4,0,dot,snail,snail_mooney_dot_off4,target,regular,pre,off,Exp,dot_recog,e,1,0,,,,
30,,,,,,html-keyboard-response,30,295863,0.0-11.0-5.4-1.4,Chrome,135.0,Chrome OS,,undefined,undefined,1920 x 1080,1920 x 911,z2phelj1y4o6d71,https://exponline.ugr.es/publix/939/1007/start?srid=18899,6658c4239af9537eefdfbcc9,26,32,United Kingdom,Female,Right-handed,,734.4000000059605,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,5,0,dot,gargoyle,gargoyle_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,e,1,1,,,,
34,,,,,,html-keyboard-response,34,297949,0.0-11.0-5.5-1.5,Chrome,135.0,Chrome OS,,undefined,undefined,1920 x 1080,1920 x 911,z2phelj1y4o6d71,https://exponline.ugr.es/publix/939/1007/start?srid=18899,6658c4239af9537eefdfbcc9,26,32,United Kingdom,Female,Right-handed,,1081.1000000089407,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,6,0,dot,bat2,bat2_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,i,0,0,,,,
38,,,,,,html-keyboard-response,38,302925,0.0-11.0-5.6-1.6,Chrome,135.0,Chrome OS,,undefined,undefined,1920 x 1080,1920 x 911,z2phelj1y4o6d71,https://exponline.ugr.es/publix/939/1007/start?srid=18899,6658c4239af9537eefdfbcc9,26,32,United Kingdom,Female,Right-handed,,3971.5999999940395,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/snail_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,7,0,dot,snail,snail_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,i,0,0,,,,
42,,,,,,html-keyboard-response,42,305956,0.0-11.0-5.7-1.7,Chrome,135.0,Chrome OS,,undefined,undefined,1920 x 1080,1920 x 911,z2phelj1y4o6d71,https://exponline.ugr.es/publix/939/1007/start?srid=18899,6658c4239af9537eefdfbcc9,26,32,United Kingdom,Female,Right-handed,,2027.0999999940395,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,8,0,dot,gargoyle,gargoyle_mooney_dot_on1,target,upside_down,pre,on,Exp,dot_recog,e,1,1,,,,
46,,,,,,html-keyboard-response,46,308077,0.0-11.0-5.8-1.8,Chrome,135.0,Chrome OS,,undefined,undefined,1920 x 1080,1920 x 911,z2phelj1y4o6d71,https://exponline.ugr.es/publix/939/1007/start?srid=18899,6658c4239af9537eefdfbcc9,26,32,United Kingdom,Female,Right-handed,,1117.9000000059605,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/bat2_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,9,0,dot,bat2,bat2_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,i,0,0,,,,
50,,,,,,html-keyboard-response,50,309917,0.0-11.0-5.9-1.9,Chrome,135.0,Chrome OS,,undefined,undefined,1920 x 1080,1920 x 911,z2phelj1y4o6d71,https://exponline.ugr.es/publix/939/1007/start?srid=18899,6658c4239af9537eefdfbcc9,26,32,United Kingdom,Female,Right-handed,,835.5,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/gargoyle_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,gargoyle,gargoyle_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,i,0,1,,,,
