index,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,view_history,rt,responses,question_order,value,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,scale_factor,win_width_deg,win_height_deg,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,unamb_image_duration,verbal_id,semantic_distance,verbal_acc_corrected
14,,,,,,html-keyboard-response,14,355651,0.0-11.0-5.0-1.0,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,zjvwqegaaqvapjk,https://exponline.ugr.es/publix/939/1007/start?srid=18886,664660472f2de15888f9427d,50,30,Nigeria,Male,Right-handed,,1048.2999999523163,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,1,0,dot,parking_meter,parking_meter_mooney_dot_on3,target,upside_down,pre,on,Exp,dot_recog,e,1,1,,,,
18,,,,,,html-keyboard-response,18,357901,0.0-11.0-5.1-1.1,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,zjvwqegaaqvapjk,https://exponline.ugr.es/publix/939/1007/start?srid=18886,664660472f2de15888f9427d,50,30,Nigeria,Male,Right-handed,,1239.1999999284744,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,missile,missile_mooney_dot_on3,target,horizontal_flip,pre,on,Exp,dot_recog,e,1,1,,,,
22,,,,,,html-keyboard-response,22,359830,0.0-11.0-5.2-1.2,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,zjvwqegaaqvapjk,https://exponline.ugr.es/publix/939/1007/start?srid=18886,664660472f2de15888f9427d,50,30,Nigeria,Male,Right-handed,,907.5,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,pomegranate,pomegranate_mooney_dot_off2,target,regular,pre,off,Exp,dot_recog,e,1,0,,,,
26,,,,,,html-keyboard-response,26,361768,0.0-11.0-5.3-1.3,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,zjvwqegaaqvapjk,https://exponline.ugr.es/publix/939/1007/start?srid=18886,664660472f2de15888f9427d,50,30,Nigeria,Male,Right-handed,,919.6999999284744,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,parking_meter,parking_meter_mooney_dot_off4,target,upside_down,pre,off,Exp,dot_recog,e,1,0,,,,
30,,,,,,html-keyboard-response,30,363570,0.0-11.0-5.4-1.4,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,zjvwqegaaqvapjk,https://exponline.ugr.es/publix/939/1007/start?srid=18886,664660472f2de15888f9427d,50,30,Nigeria,Male,Right-handed,,787.3999999761581,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,missile,missile_mooney_dot_on1,target,horizontal_flip,pre,on,Exp,dot_recog,e,1,1,,,,
34,,,,,,html-keyboard-response,34,365544,0.0-11.0-5.5-1.5,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,zjvwqegaaqvapjk,https://exponline.ugr.es/publix/939/1007/start?srid=18886,664660472f2de15888f9427d,50,30,Nigeria,Male,Right-handed,,958.5,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,6,0,dot,pomegranate,pomegranate_mooney_dot_on3,target,regular,pre,on,Exp,dot_recog,e,1,1,,,,
38,,,,,,html-keyboard-response,38,367466,0.0-11.0-5.6-1.6,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,zjvwqegaaqvapjk,https://exponline.ugr.es/publix/939/1007/start?srid=18886,664660472f2de15888f9427d,50,30,Nigeria,Male,Right-handed,,905.3000000715256,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/parking_meter_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",73,7,0,dot,parking_meter,parking_meter_mooney_dot_off2,target,upside_down,pre,off,Exp,dot_recog,i,0,1,,,,
42,,,,,,html-keyboard-response,42,369668,0.0-11.0-5.7-1.7,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,zjvwqegaaqvapjk,https://exponline.ugr.es/publix/939/1007/start?srid=18886,664660472f2de15888f9427d,50,30,Nigeria,Male,Right-handed,,1188.7999999523163,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,8,0,dot,missile,missile_mooney_dot_off2,target,horizontal_flip,pre,off,Exp,dot_recog,e,1,0,,,,
46,,,,,,html-keyboard-response,46,371432,0.0-11.0-5.8-1.8,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,zjvwqegaaqvapjk,https://exponline.ugr.es/publix/939/1007/start?srid=18886,664660472f2de15888f9427d,50,30,Nigeria,Male,Right-handed,,745.7000000476837,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/pomegranate_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,9,0,dot,pomegranate,pomegranate_mooney_dot_on1,target,regular,pre,on,Exp,dot_recog,e,1,1,,,,
50,,,,,,html-keyboard-response,50,373365,0.0-11.0-5.9-1.9,Chrome,136.0,Windows,10,undefined,undefined,1366 x 768,1366 x 641,zjvwqegaaqvapjk,https://exponline.ugr.es/publix/939/1007/start?srid=18886,664660472f2de15888f9427d,50,30,Nigeria,Male,Right-handed,,920.3999999761581,,,,,,,,,,,,,,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/missile_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,10,0,dot,missile,missile_mooney_dot_off4,target,horizontal_flip,pre,off,Exp,dot_recog,e,1,0,,,,
