trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject
1,0,dot,pajamas,pajamas_mooney_dot_off2,target,horizontal_flip,pre,off,1
2,0,dot,pomegranate,pomegranate_mooney_dot_on1,catch,regular,pre,on,1
3,0,dot,pajamas,pajamas_mooney_dot_on1,target,horizontal_flip,pre,on,1
4,0,dot,backpack,backpack_mooney_dot_on1,target,regular,pre,on,1
5,0,dot,pomegranate,pomegranate_mooney_dot_off2,catch,regular,pre,off,1
6,0,dot,aloe,aloe_mooney_dot_off2,target,upside_down,pre,off,1
7,0,dot,backpack,backpack_mooney_dot_off4,target,regular,pre,off,1
8,0,dot,pajamas,pajamas_mooney_dot_off4,target,horizontal_flip,pre,off,1
9,0,dot,aloe,aloe_mooney_dot_on3,target,upside_down,pre,on,1
10,0,dot,backpack,backpack_mooney_dot_on3,target,regular,pre,on,1
11,0,dot,pomegranate,pomegranate_mooney_dot_on3,catch,regular,pre,on,1
12,0,dot,aloe,aloe_mooney_dot_on1,target,upside_down,pre,on,1
13,0,dot,pomegranate,pomegranate_mooney_dot_off4,catch,regular,pre,off,1
14,0,dot,backpack,backpack_mooney_dot_off2,target,regular,pre,off,1
15,0,dot,aloe,aloe_mooney_dot_off4,target,upside_down,pre,off,1
16,0,dot,pajamas,pajamas_mooney_dot_on3,target,horizontal_flip,pre,on,1
17,0,recognition,backpack,backpack_mooney,target,regular,pre,,1
18,0,recognition,pajamas,pajamas_mooney,target,horizontal_flip,pre,,1
19,0,recognition,pomegranate,pomegranate_mooney,catch,regular,pre,,1
20,0,recognition,aloe,aloe_mooney,target,upside_down,pre,,1
21,0,recognition,pajamas,pajamas,target,horizontal_flip,color,,1
22,0,recognition,aloe,aloe,target,upside_down,color,,1
23,0,recognition,backpack,backpack,target,regular,color,,1
24,1,dot,platypus,platypus_mooney_dot_on1,target,regular,pre,on,1
25,1,dot,sidecar,sidecar_mooney_dot_off4,catch,upside_down,pre,off,1
26,1,dot,aloe,aloe_mooney_dot_on5,target,upside_down,post,on,1
27,1,dot,pomegranate,pomegranate_mooney_dot_on7,catch,regular,post,on,1
28,1,dot,backpack,backpack_mooney_dot_on5,target,regular,post,on,1
29,1,dot,pajamas,pajamas_mooney_dot_on5,target,horizontal_flip,post,on,1
30,1,dot,pomegranate,pomegranate_mooney_dot_off8,catch,regular,post,off,1
31,1,dot,buoy,buoy_mooney_dot_off4,target,upside_down,pre,off,1
32,1,dot,aloe,aloe_mooney_dot_off8,target,upside_down,post,off,1
33,1,dot,puddle,puddle_mooney_dot_off4,target,horizontal_flip,pre,off,1
34,1,dot,aloe,aloe_mooney_dot_on7,target,upside_down,post,on,1
35,1,dot,pajamas,pajamas_mooney_dot_off6,target,horizontal_flip,post,off,1
36,1,dot,backpack,backpack_mooney_dot_off6,target,regular,post,off,1
37,1,dot,sidecar,sidecar_mooney_dot_on1,catch,upside_down,pre,on,1
38,1,dot,buoy,buoy_mooney_dot_on1,target,upside_down,pre,on,1
39,1,dot,platypus,platypus_mooney_dot_on3,target,regular,pre,on,1
40,1,dot,sidecar,sidecar_mooney_dot_off2,catch,upside_down,pre,off,1
41,1,dot,platypus,platypus_mooney_dot_off2,target,regular,pre,off,1
42,1,dot,puddle,puddle_mooney_dot_off2,target,horizontal_flip,pre,off,1
43,1,dot,aloe,aloe_mooney_dot_off6,target,upside_down,post,off,1
44,1,dot,puddle,puddle_mooney_dot_on1,target,horizontal_flip,pre,on,1
45,1,dot,backpack,backpack_mooney_dot_on7,target,regular,post,on,1
46,1,dot,pajamas,pajamas_mooney_dot_off8,target,horizontal_flip,post,off,1
47,1,dot,sidecar,sidecar_mooney_dot_on3,catch,upside_down,pre,on,1
48,1,dot,backpack,backpack_mooney_dot_off8,target,regular,post,off,1
49,1,dot,pomegranate,pomegranate_mooney_dot_off6,catch,regular,post,off,1
50,1,dot,buoy,buoy_mooney_dot_off2,target,upside_down,pre,off,1
51,1,dot,pajamas,pajamas_mooney_dot_on7,target,horizontal_flip,post,on,1
52,1,dot,platypus,platypus_mooney_dot_off4,target,regular,pre,off,1
53,1,dot,pomegranate,pomegranate_mooney_dot_on5,catch,regular,post,on,1
54,1,dot,puddle,puddle_mooney_dot_on3,target,horizontal_flip,pre,on,1
55,1,dot,buoy,buoy_mooney_dot_on3,target,upside_down,pre,on,1
56,1,recognition,backpack,backpack_mooney,target,regular,post,,1
57,1,recognition,pomegranate,pomegranate_mooney,catch,regular,post,,1
58,1,recognition,pajamas,pajamas_mooney,target,horizontal_flip,post,,1
59,1,recognition,puddle,puddle_mooney,target,horizontal_flip,pre,,1
60,1,recognition,buoy,buoy_mooney,target,upside_down,pre,,1
61,1,recognition,sidecar,sidecar_mooney,catch,upside_down,pre,,1
62,1,recognition,platypus,platypus_mooney,target,regular,pre,,1
63,1,recognition,aloe,aloe_mooney,target,upside_down,post,,1
64,1,recognition,puddle,puddle,target,horizontal_flip,color,,1
65,1,recognition,buoy,buoy,target,upside_down,color,,1
66,1,recognition,platypus,platypus,target,regular,color,,1
67,2,dot,figurine,figurine_mooney_dot_on3,target,upside_down,pre,on,1
68,2,dot,puffin,puffin_mooney_dot_on3,catch,horizontal_flip,pre,on,1
69,2,dot,sidecar,sidecar_mooney_dot_on7,catch,upside_down,post,on,1
70,2,dot,buoy,buoy_mooney_dot_off8,target,upside_down,post,off,1
71,2,dot,puddle,puddle_mooney_dot_off8,target,horizontal_flip,post,off,1
72,2,dot,drill,drill_mooney_dot_on1,target,horizontal_flip,pre,on,1
73,2,dot,rattlesnake,rattlesnake_mooney_dot_off4,target,regular,pre,off,1
74,2,dot,puffin,puffin_mooney_dot_off2,catch,horizontal_flip,pre,off,1
75,2,dot,rattlesnake,rattlesnake_mooney_dot_on1,target,regular,pre,on,1
76,2,dot,puddle,puddle_mooney_dot_on7,target,horizontal_flip,post,on,1
77,2,dot,sidecar,sidecar_mooney_dot_off8,catch,upside_down,post,off,1
78,2,dot,puffin,puffin_mooney_dot_off4,catch,horizontal_flip,pre,off,1
79,2,dot,rattlesnake,rattlesnake_mooney_dot_on3,target,regular,pre,on,1
80,2,dot,platypus,platypus_mooney_dot_off8,target,regular,post,off,1
81,2,dot,drill,drill_mooney_dot_off2,target,horizontal_flip,pre,off,1
82,2,dot,buoy,buoy_mooney_dot_on7,target,upside_down,post,on,1
83,2,dot,figurine,figurine_mooney_dot_on1,target,upside_down,pre,on,1
84,2,dot,drill,drill_mooney_dot_off4,target,horizontal_flip,pre,off,1
85,2,dot,sidecar,sidecar_mooney_dot_off6,catch,upside_down,post,off,1
86,2,dot,puddle,puddle_mooney_dot_off6,target,horizontal_flip,post,off,1
87,2,dot,rattlesnake,rattlesnake_mooney_dot_off2,target,regular,pre,off,1
88,2,dot,platypus,platypus_mooney_dot_off6,target,regular,post,off,1
89,2,dot,drill,drill_mooney_dot_on3,target,horizontal_flip,pre,on,1
90,2,dot,sidecar,sidecar_mooney_dot_on5,catch,upside_down,post,on,1
91,2,dot,puffin,puffin_mooney_dot_on1,catch,horizontal_flip,pre,on,1
92,2,dot,buoy,buoy_mooney_dot_off6,target,upside_down,post,off,1
93,2,dot,platypus,platypus_mooney_dot_on5,target,regular,post,on,1
94,2,dot,figurine,figurine_mooney_dot_off4,target,upside_down,pre,off,1
95,2,dot,platypus,platypus_mooney_dot_on7,target,regular,post,on,1
96,2,dot,figurine,figurine_mooney_dot_off2,target,upside_down,pre,off,1
97,2,dot,buoy,buoy_mooney_dot_on5,target,upside_down,post,on,1
98,2,dot,puddle,puddle_mooney_dot_on5,target,horizontal_flip,post,on,1
99,2,recognition,buoy,buoy_mooney,target,upside_down,post,,1
100,2,recognition,platypus,platypus_mooney,target,regular,post,,1
101,2,recognition,sidecar,sidecar_mooney,catch,upside_down,post,,1
102,2,recognition,drill,drill_mooney,target,horizontal_flip,pre,,1
103,2,recognition,figurine,figurine_mooney,target,upside_down,pre,,1
104,2,recognition,puddle,puddle_mooney,target,horizontal_flip,post,,1
105,2,recognition,puffin,puffin_mooney,catch,horizontal_flip,pre,,1
106,2,recognition,rattlesnake,rattlesnake_mooney,target,regular,pre,,1
107,2,recognition,drill,drill,target,horizontal_flip,color,,1
108,2,recognition,rattlesnake,rattlesnake,target,regular,color,,1
109,2,recognition,figurine,figurine,target,upside_down,color,,1
110,3,dot,puffin,puffin_mooney_dot_on5,catch,horizontal_flip,post,on,1
111,3,dot,figurine,figurine_mooney_dot_off8,target,upside_down,post,off,1
112,3,dot,pedal,pedal_mooney_dot_off2,target,regular,pre,off,1
113,3,dot,lip_gloss,lip_gloss_mooney_dot_off4,target,horizontal_flip,pre,off,1
114,3,dot,rattlesnake,rattlesnake_mooney_dot_on7,target,regular,post,on,1
115,3,dot,lip_gloss,lip_gloss_mooney_dot_on3,target,horizontal_flip,pre,on,1
116,3,dot,figurine,figurine_mooney_dot_on7,target,upside_down,post,on,1
117,3,dot,pedal,pedal_mooney_dot_on3,target,regular,pre,on,1
118,3,dot,puffin,puffin_mooney_dot_off6,catch,horizontal_flip,post,off,1
119,3,dot,figurine,figurine_mooney_dot_on5,target,upside_down,post,on,1
120,3,dot,rattlesnake,rattlesnake_mooney_dot_off8,target,regular,post,off,1
121,3,dot,cork,cork_mooney_dot_off4,target,upside_down,pre,off,1
122,3,dot,pedal,pedal_mooney_dot_on1,target,regular,pre,on,1
123,3,dot,puffin,puffin_mooney_dot_on7,catch,horizontal_flip,post,on,1
124,3,dot,drill,drill_mooney_dot_on7,target,horizontal_flip,post,on,1
125,3,dot,rattlesnake,rattlesnake_mooney_dot_on5,target,regular,post,on,1
126,3,dot,puffin,puffin_mooney_dot_off8,catch,horizontal_flip,post,off,1
127,3,dot,lip_gloss,lip_gloss_mooney_dot_off2,target,horizontal_flip,pre,off,1
128,3,dot,rattlesnake,rattlesnake_mooney_dot_off6,target,regular,post,off,1
129,3,dot,figurine,figurine_mooney_dot_off6,target,upside_down,post,off,1
130,3,dot,pedal,pedal_mooney_dot_off4,target,regular,pre,off,1
131,3,dot,drill,drill_mooney_dot_on5,target,horizontal_flip,post,on,1
132,3,dot,cork,cork_mooney_dot_on3,target,upside_down,pre,on,1
133,3,dot,drill,drill_mooney_dot_off8,target,horizontal_flip,post,off,1
134,3,dot,cork,cork_mooney_dot_on1,target,upside_down,pre,on,1
135,3,dot,lip_gloss,lip_gloss_mooney_dot_on1,target,horizontal_flip,pre,on,1
136,3,dot,cork,cork_mooney_dot_off2,target,upside_down,pre,off,1
137,3,dot,drill,drill_mooney_dot_off6,target,horizontal_flip,post,off,1
138,3,recognition,figurine,figurine_mooney,target,upside_down,post,,1
139,3,recognition,pedal,pedal_mooney,target,regular,pre,,1
140,3,recognition,rattlesnake,rattlesnake_mooney,target,regular,post,,1
141,3,recognition,puffin,puffin_mooney,catch,horizontal_flip,post,,1
142,3,recognition,cork,cork_mooney,target,upside_down,pre,,1
143,3,recognition,drill,drill_mooney,target,horizontal_flip,post,,1
144,3,recognition,lip_gloss,lip_gloss_mooney,target,horizontal_flip,pre,,1
145,3,recognition,pedal,pedal,target,regular,color,,1
146,3,recognition,lip_gloss,lip_gloss,target,horizontal_flip,color,,1
147,3,recognition,cork,cork,target,upside_down,color,,1
148,4,dot,magnifier,magnifier_mooney_dot_off2,target,regular,pre,off,1
149,4,dot,shears,shears_mooney_dot_on1,target,upside_down,pre,on,1
150,4,dot,magnifier,magnifier_mooney_dot_on3,target,regular,pre,on,1
151,4,dot,pedal,pedal_mooney_dot_on5,target,regular,post,on,1
152,4,dot,lip_gloss,lip_gloss_mooney_dot_off6,target,horizontal_flip,post,off,1
153,4,dot,fishbowl,fishbowl_mooney_dot_on1,target,horizontal_flip,pre,on,1
154,4,dot,pedal,pedal_mooney_dot_on7,target,regular,post,on,1
155,4,dot,cork,cork_mooney_dot_on5,target,upside_down,post,on,1
156,4,dot,lip_gloss,lip_gloss_mooney_dot_on5,target,horizontal_flip,post,on,1
157,4,dot,pedal,pedal_mooney_dot_off8,target,regular,post,off,1
158,4,dot,fishbowl,fishbowl_mooney_dot_off4,target,horizontal_flip,pre,off,1
159,4,dot,cork,cork_mooney_dot_on7,target,upside_down,post,on,1
160,4,dot,lip_gloss,lip_gloss_mooney_dot_off8,target,horizontal_flip,post,off,1
161,4,dot,fishbowl,fishbowl_mooney_dot_off2,target,horizontal_flip,pre,off,1
162,4,dot,pedal,pedal_mooney_dot_off6,target,regular,post,off,1
163,4,dot,cork,cork_mooney_dot_off6,target,upside_down,post,off,1
164,4,dot,shears,shears_mooney_dot_on3,target,upside_down,pre,on,1
165,4,dot,magnifier,magnifier_mooney_dot_off4,target,regular,pre,off,1
166,4,dot,shears,shears_mooney_dot_off2,target,upside_down,pre,off,1
167,4,dot,lip_gloss,lip_gloss_mooney_dot_on7,target,horizontal_flip,post,on,1
168,4,dot,shears,shears_mooney_dot_off4,target,upside_down,pre,off,1
169,4,dot,fishbowl,fishbowl_mooney_dot_on3,target,horizontal_flip,pre,on,1
170,4,dot,cork,cork_mooney_dot_off8,target,upside_down,post,off,1
171,4,dot,magnifier,magnifier_mooney_dot_on1,target,regular,pre,on,1
172,4,recognition,lip_gloss,lip_gloss_mooney,target,horizontal_flip,post,,1
173,4,recognition,pedal,pedal_mooney,target,regular,post,,1
174,4,recognition,cork,cork_mooney,target,upside_down,post,,1
175,4,recognition,shears,shears_mooney,target,upside_down,pre,,1
176,4,recognition,magnifier,magnifier_mooney,target,regular,pre,,1
177,4,recognition,fishbowl,fishbowl_mooney,target,horizontal_flip,pre,,1
178,4,recognition,magnifier,magnifier,target,regular,color,,1
179,4,recognition,shears,shears,target,upside_down,color,,1
180,4,recognition,fishbowl,fishbowl,target,horizontal_flip,color,,1
181,5,dot,magnifier,magnifier_mooney_dot_off8,target,regular,post,off,1
182,5,dot,fishbowl,fishbowl_mooney_dot_on5,target,horizontal_flip,post,on,1
183,5,dot,magnifier,magnifier_mooney_dot_off6,target,regular,post,off,1
184,5,dot,shears,shears_mooney_dot_off8,target,upside_down,post,off,1
185,5,dot,fishbowl,fishbowl_mooney_dot_off6,target,horizontal_flip,post,off,1
186,5,dot,shears,shears_mooney_dot_on5,target,upside_down,post,on,1
187,5,dot,magnifier,magnifier_mooney_dot_on7,target,regular,post,on,1
188,5,dot,shears,shears_mooney_dot_off6,target,upside_down,post,off,1
189,5,dot,fishbowl,fishbowl_mooney_dot_off8,target,horizontal_flip,post,off,1
190,5,dot,magnifier,magnifier_mooney_dot_on5,target,regular,post,on,1
191,5,dot,shears,shears_mooney_dot_on7,target,upside_down,post,on,1
192,5,dot,fishbowl,fishbowl_mooney_dot_on7,target,horizontal_flip,post,on,1
193,5,recognition,shears,shears_mooney,target,upside_down,post,,1
194,5,recognition,magnifier,magnifier_mooney,target,regular,post,,1
195,5,recognition,fishbowl,fishbowl_mooney,target,horizontal_flip,post,,1
