trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position
1,0,dot,copier,copier_mooney_dot_off2,target,horizontal_flip,pre,off
2,0,dot,cheesecake,cheesecake_mooney_dot_off2,catch,regular,pre,off
3,0,dot,paddle,paddle_mooney_dot_on1,target,regular,pre,on
4,0,dot,copier,copier_mooney_dot_on1,target,horizontal_flip,pre,on
5,0,dot,cheesecake,cheesecake_mooney_dot_off2,catch,regular,pre,off
6,0,dot,paddle,paddle_mooney_dot_off2,target,regular,pre,off
7,0,dot,harp,harp_mooney_dot_off2,target,upside_down,pre,off
8,0,dot,copier,copier_mooney_dot_on1,target,horizontal_flip,pre,on
9,0,dot,harp,harp_mooney_dot_off2,target,upside_down,pre,off
10,0,dot,cheesecake,cheesecake_mooney_dot_on1,catch,regular,pre,on
11,0,dot,harp,harp_mooney_dot_on1,target,upside_down,pre,on
12,0,dot,copier,copier_mooney_dot_off2,target,horizontal_flip,pre,off
13,0,dot,paddle,paddle_mooney_dot_on1,target,regular,pre,on
14,0,dot,harp,harp_mooney_dot_on1,target,upside_down,pre,on
15,0,dot,paddle,paddle_mooney_dot_off2,target,regular,pre,off
16,0,dot,cheesecake,cheesecake_mooney_dot_on1,catch,regular,pre,on
17,0,recognition,cheesecake,cheesecake_mooney,catch,regular,pre,
18,0,recognition,paddle,paddle_mooney,target,regular,pre,
19,0,recognition,harp,harp_mooney,target,upside_down,pre,
20,0,recognition,copier,copier_mooney,target,horizontal_flip,pre,
21,0,recognition,harp,harp_gray,target,upside_down,gray,
22,0,recognition,copier,copier_gray,target,horizontal_flip,gray,
23,0,recognition,paddle,paddle_gray,target,regular,gray,
24,1,dot,cobra,cobra_mooney_dot_on1,catch,upside_down,pre,on
25,1,dot,stained_glass,stained_glass_mooney_dot_on1,target,horizontal_flip,pre,on
26,1,dot,copier,copier_mooney_dot_off2,target,horizontal_flip,post,off
27,1,dot,tile,tile_mooney_dot_off2,target,upside_down,pre,off
28,1,dot,cobra,cobra_mooney_dot_off2,catch,upside_down,pre,off
29,1,dot,paddle,paddle_mooney_dot_off2,target,regular,post,off
30,1,dot,whipped_cream,whipped_cream_mooney_dot_off2,target,regular,pre,off
31,1,dot,harp,harp_mooney_dot_on1,target,upside_down,post,on
32,1,dot,stained_glass,stained_glass_mooney_dot_on1,target,horizontal_flip,pre,on
33,1,dot,cheesecake,cheesecake_mooney_dot_off2,catch,regular,post,off
34,1,dot,tile,tile_mooney_dot_on1,target,upside_down,pre,on
35,1,dot,cheesecake,cheesecake_mooney_dot_on1,catch,regular,post,on
36,1,dot,harp,harp_mooney_dot_on1,target,upside_down,post,on
37,1,dot,cobra,cobra_mooney_dot_off2,catch,upside_down,pre,off
38,1,dot,whipped_cream,whipped_cream_mooney_dot_on1,target,regular,pre,on
39,1,dot,tile,tile_mooney_dot_on1,target,upside_down,pre,on
40,1,dot,paddle,paddle_mooney_dot_off2,target,regular,post,off
41,1,dot,whipped_cream,whipped_cream_mooney_dot_on1,target,regular,pre,on
42,1,dot,harp,harp_mooney_dot_off2,target,upside_down,post,off
43,1,dot,cheesecake,cheesecake_mooney_dot_on1,catch,regular,post,on
44,1,dot,stained_glass,stained_glass_mooney_dot_off2,target,horizontal_flip,pre,off
45,1,dot,cobra,cobra_mooney_dot_on1,catch,upside_down,pre,on
46,1,dot,paddle,paddle_mooney_dot_on1,target,regular,post,on
47,1,dot,harp,harp_mooney_dot_off2,target,upside_down,post,off
