trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject
1,0,dot,pedal,pedal_mooney_dot_on3,target,upside_down,pre,on,85
2,0,dot,gutter,gutter_mooney_dot_on3,target,regular,pre,on,85
3,0,dot,lip_gloss,lip_gloss_mooney_dot_on3,target,horizontal_flip,pre,on,85
4,0,dot,pedal,pedal_mooney_dot_off2,target,upside_down,pre,off,85
5,0,dot,gutter,gutter_mooney_dot_off4,target,regular,pre,off,85
6,0,dot,pedal,pedal_mooney_dot_on1,target,upside_down,pre,on,85
7,0,dot,lip_gloss,lip_gloss_mooney_dot_off4,target,horizontal_flip,pre,off,85
8,0,dot,gutter,gutter_mooney_dot_off2,target,regular,pre,off,85
9,0,dot,lip_gloss,lip_gloss_mooney_dot_off2,target,horizontal_flip,pre,off,85
10,0,dot,pedal,pedal_mooney_dot_off4,target,upside_down,pre,off,85
11,0,dot,gutter,gutter_mooney_dot_on1,target,regular,pre,on,85
12,0,dot,lip_gloss,lip_gloss_mooney_dot_on1,target,horizontal_flip,pre,on,85
13,0,recognition,pedal,pedal_mooney,target,upside_down,pre,,85
14,0,recognition,lip_gloss,lip_gloss_mooney,target,horizontal_flip,pre,,85
15,0,recognition,gutter,gutter_mooney,target,regular,pre,,85
16,0,recognition,pedal,pedal,target,upside_down,color,,85
17,0,recognition,gutter,gutter,target,regular,color,,85
18,0,recognition,lip_gloss,lip_gloss,target,horizontal_flip,color,,85
19,1,dot,scarf,scarf_mooney_dot_on3,target,regular,pre,on,85
20,1,dot,gutter,gutter_mooney_dot_on5,target,regular,post,on,85
21,1,dot,egg_roll,egg_roll_mooney_dot_off2,target,upside_down,pre,off,85
22,1,dot,pedal,pedal_mooney_dot_on5,target,upside_down,post,on,85
23,1,dot,gutter,gutter_mooney_dot_on7,target,regular,post,on,85
24,1,dot,pedal,pedal_mooney_dot_off8,target,upside_down,post,off,85
25,1,dot,lip_gloss,lip_gloss_mooney_dot_off6,target,horizontal_flip,post,off,85
26,1,dot,egg_roll,egg_roll_mooney_dot_on3,target,upside_down,pre,on,85
27,1,dot,gutter,gutter_mooney_dot_off8,target,regular,post,off,85
28,1,dot,lip_gloss,lip_gloss_mooney_dot_on5,target,horizontal_flip,post,on,85
29,1,dot,punching_bag,punching_bag_mooney_dot_on3,target,horizontal_flip,pre,on,85
30,1,dot,scarf,scarf_mooney_dot_on1,target,regular,pre,on,85
31,1,dot,lip_gloss,lip_gloss_mooney_dot_on7,target,horizontal_flip,post,on,85
32,1,dot,pedal,pedal_mooney_dot_off6,target,upside_down,post,off,85
33,1,dot,scarf,scarf_mooney_dot_off4,target,regular,pre,off,85
34,1,dot,pedal,pedal_mooney_dot_on7,target,upside_down,post,on,85
35,1,dot,punching_bag,punching_bag_mooney_dot_off2,target,horizontal_flip,pre,off,85
36,1,dot,gutter,gutter_mooney_dot_off6,target,regular,post,off,85
37,1,dot,scarf,scarf_mooney_dot_off2,target,regular,pre,off,85
38,1,dot,lip_gloss,lip_gloss_mooney_dot_off8,target,horizontal_flip,post,off,85
39,1,dot,punching_bag,punching_bag_mooney_dot_off4,target,horizontal_flip,pre,off,85
40,1,dot,egg_roll,egg_roll_mooney_dot_off4,target,upside_down,pre,off,85
41,1,dot,punching_bag,punching_bag_mooney_dot_on1,target,horizontal_flip,pre,on,85
42,1,dot,egg_roll,egg_roll_mooney_dot_on1,target,upside_down,pre,on,85
