trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position
1,0,dot,sidecar,sidecar_mooney_dot_off2,target,upside_down,pre,off
2,0,dot,hot-water_bottle,hot-water_bottle_mooney_dot_on1,target,regular,pre,on
3,0,dot,sidecar,sidecar_mooney_dot_on3,target,upside_down,pre,on
4,0,dot,surfboard,surfboard_mooney_dot_off2,target,horizontal_flip,pre,off
5,0,dot,sidecar,sidecar_mooney_dot_off4,target,upside_down,pre,off
6,0,dot,surfboard,surfboard_mooney_dot_off4,target,horizontal_flip,pre,off
7,0,dot,hot-water_bottle,hot-water_bottle_mooney_dot_off2,target,regular,pre,off
8,0,dot,surfboard,surfboard_mooney_dot_on1,target,horizontal_flip,pre,on
9,0,dot,hot-water_bottle,hot-water_bottle_mooney_dot_on3,target,regular,pre,on
10,0,dot,sidecar,sidecar_mooney_dot_on1,target,upside_down,pre,on
11,0,dot,hot-water_bottle,hot-water_bottle_mooney_dot_off4,target,regular,pre,off
12,0,dot,surfboard,surfboard_mooney_dot_on3,target,horizontal_flip,pre,on
13,0,recognition,surfboard,surfboard_mooney,target,horizontal_flip,pre,
14,0,recognition,hot-water_bottle,hot-water_bottle_mooney,target,regular,pre,
15,0,recognition,sidecar,sidecar_mooney,target,upside_down,pre,
16,0,recognition,hot-water_bottle,hot-water_bottle,target,regular,color,
17,0,recognition,surfboard,surfboard,target,horizontal_flip,color,
18,0,recognition,sidecar,sidecar,target,upside_down,color,
19,1,dot,surfboard,surfboard_mooney_dot_on7,target,horizontal_flip,post,on
20,1,dot,magnifier,magnifier_mooney_dot_on3,target,upside_down,pre,on
21,1,dot,mannequin,mannequin_mooney_dot_off2,target,regular,pre,off
22,1,dot,puddle,puddle_mooney_dot_off4,target,horizontal_flip,pre,off
23,1,dot,magnifier,magnifier_mooney_dot_off2,target,upside_down,pre,off
24,1,dot,hot-water_bottle,hot-water_bottle_mooney_dot_on5,target,regular,post,on
25,1,dot,magnifier,magnifier_mooney_dot_on1,target,upside_down,pre,on
26,1,dot,sidecar,sidecar_mooney_dot_off6,target,upside_down,post,off
27,1,dot,surfboard,surfboard_mooney_dot_off6,target,horizontal_flip,post,off
28,1,dot,puddle,puddle_mooney_dot_on3,target,horizontal_flip,pre,on
29,1,dot,magnifier,magnifier_mooney_dot_off4,target,upside_down,pre,off
30,1,dot,surfboard,surfboard_mooney_dot_on5,target,horizontal_flip,post,on
31,1,dot,puddle,puddle_mooney_dot_off2,target,horizontal_flip,pre,off
32,1,dot,hot-water_bottle,hot-water_bottle_mooney_dot_on7,target,regular,post,on
33,1,dot,sidecar,sidecar_mooney_dot_on5,target,upside_down,post,on
34,1,dot,mannequin,mannequin_mooney_dot_on3,target,regular,pre,on
35,1,dot,hot-water_bottle,hot-water_bottle_mooney_dot_off6,target,regular,post,off
36,1,dot,surfboard,surfboard_mooney_dot_off8,target,horizontal_flip,post,off
37,1,dot,mannequin,mannequin_mooney_dot_on1,target,regular,pre,on
38,1,dot,hot-water_bottle,hot-water_bottle_mooney_dot_off8,target,regular,post,off
39,1,dot,puddle,puddle_mooney_dot_on1,target,horizontal_flip,pre,on
40,1,dot,sidecar,sidecar_mooney_dot_off8,target,upside_down,post,off
41,1,dot,mannequin,mannequin_mooney_dot_off4,target,regular,pre,off
42,1,dot,sidecar,sidecar_mooney_dot_on7,target,upside_down,post,on
43,1,recognition,mannequin,mannequin_mooney,target,regular,pre,
44,1,recognition,hot-water_bottle,hot-water_bottle_mooney,target,regular,post,
45,1,recognition,puddle,puddle_mooney,target,horizontal_flip,pre,
46,1,recognition,magnifier,magnifier_mooney,target,upside_down,pre,
47,1,recognition,surfboard,surfboard_mooney,target,horizontal_flip,post,
48,1,recognition,sidecar,sidecar_mooney,target,upside_down,post,
49,1,recognition,mannequin,mannequin,target,regular,color,
50,1,recognition,puddle,puddle,target,horizontal_flip,color,
51,1,recognition,magnifier,magnifier,target,upside_down,color,
52,2,dot,magnifier,magnifier_mooney_dot_on5,target,upside_down,post,on
53,2,dot,peanut_butter,peanut_butter_mooney_dot_off2,target,regular,pre,off
54,2,dot,dumbbell,dumbbell_mooney_dot_off2,target,horizontal_flip,pre,off
55,2,dot,lip_gloss,lip_gloss_mooney_dot_on1,target,upside_down,pre,on
56,2,dot,peanut_butter,peanut_butter_mooney_dot_on1,target,regular,pre,on
57,2,dot,mannequin,mannequin_mooney_dot_off6,target,regular,post,off
58,2,dot,dumbbell,dumbbell_mooney_dot_on1,target,horizontal_flip,pre,on
59,2,dot,mannequin,mannequin_mooney_dot_on7,target,regular,post,on
60,2,dot,puddle,puddle_mooney_dot_on7,target,horizontal_flip,post,on
61,2,dot,lip_gloss,lip_gloss_mooney_dot_on3,target,upside_down,pre,on
62,2,dot,mannequin,mannequin_mooney_dot_off8,target,regular,post,off
63,2,dot,magnifier,magnifier_mooney_dot_off8,target,upside_down,post,off
64,2,dot,peanut_butter,peanut_butter_mooney_dot_on3,target,regular,pre,on
65,2,dot,magnifier,magnifier_mooney_dot_off6,target,upside_down,post,off
66,2,dot,mannequin,mannequin_mooney_dot_on5,target,regular,post,on
67,2,dot,dumbbell,dumbbell_mooney_dot_off4,target,horizontal_flip,pre,off
68,2,dot,magnifier,magnifier_mooney_dot_on7,target,upside_down,post,on
69,2,dot,lip_gloss,lip_gloss_mooney_dot_off4,target,upside_down,pre,off
70,2,dot,puddle,puddle_mooney_dot_on5,target,horizontal_flip,post,on
71,2,dot,peanut_butter,peanut_butter_mooney_dot_off4,target,regular,pre,off
72,2,dot,puddle,puddle_mooney_dot_off8,target,horizontal_flip,post,off
73,2,dot,lip_gloss,lip_gloss_mooney_dot_off2,target,upside_down,pre,off
74,2,dot,puddle,puddle_mooney_dot_off6,target,horizontal_flip,post,off
75,2,dot,dumbbell,dumbbell_mooney_dot_on3,target,horizontal_flip,pre,on
76,2,recognition,puddle,puddle_mooney,target,horizontal_flip,post,
77,2,recognition,lip_gloss,lip_gloss_mooney,target,upside_down,pre,
78,2,recognition,peanut_butter,peanut_butter_mooney,target,regular,pre,
79,2,recognition,magnifier,magnifier_mooney,target,upside_down,post,
80,2,recognition,mannequin,mannequin_mooney,target,regular,post,
81,2,recognition,dumbbell,dumbbell_mooney,target,horizontal_flip,pre,
82,2,recognition,lip_gloss,lip_gloss,target,upside_down,color,
83,2,recognition,dumbbell,dumbbell,target,horizontal_flip,color,
84,2,recognition,peanut_butter,peanut_butter,target,regular,color,
85,3,dot,buoy,buoy_mooney_dot_on3,target,upside_down,pre,on
86,3,dot,peanut_butter,peanut_butter_mooney_dot_off6,target,regular,post,off
87,3,dot,pomegranate,pomegranate_mooney_dot_on3,target,horizontal_flip,pre,on
88,3,dot,lip_gloss,lip_gloss_mooney_dot_on5,target,upside_down,post,on
89,3,dot,buoy,buoy_mooney_dot_off2,target,upside_down,pre,off
90,3,dot,dumbbell,dumbbell_mooney_dot_off6,target,horizontal_flip,post,off
91,3,dot,candelabra,candelabra_mooney_dot_off2,target,regular,pre,off
92,3,dot,buoy,buoy_mooney_dot_off4,target,upside_down,pre,off
93,3,dot,candelabra,candelabra_mooney_dot_off4,target,regular,pre,off
94,3,dot,pomegranate,pomegranate_mooney_dot_off2,target,horizontal_flip,pre,off
95,3,dot,lip_gloss,lip_gloss_mooney_dot_on7,target,upside_down,post,on
96,3,dot,peanut_butter,peanut_butter_mooney_dot_on5,target,regular,post,on
97,3,dot,dumbbell,dumbbell_mooney_dot_off8,target,horizontal_flip,post,off
98,3,dot,candelabra,candelabra_mooney_dot_on3,target,regular,pre,on
99,3,dot,pomegranate,pomegranate_mooney_dot_on1,target,horizontal_flip,pre,on
100,3,dot,dumbbell,dumbbell_mooney_dot_on7,target,horizontal_flip,post,on
101,3,dot,lip_gloss,lip_gloss_mooney_dot_off8,target,upside_down,post,off
102,3,dot,pomegranate,pomegranate_mooney_dot_off4,target,horizontal_flip,pre,off
103,3,dot,peanut_butter,peanut_butter_mooney_dot_off8,target,regular,post,off
104,3,dot,dumbbell,dumbbell_mooney_dot_on5,target,horizontal_flip,post,on
105,3,dot,buoy,buoy_mooney_dot_on1,target,upside_down,pre,on
106,3,dot,lip_gloss,lip_gloss_mooney_dot_off6,target,upside_down,post,off
107,3,dot,peanut_butter,peanut_butter_mooney_dot_on7,target,regular,post,on
108,3,dot,candelabra,candelabra_mooney_dot_on1,target,regular,pre,on
109,3,recognition,lip_gloss,lip_gloss_mooney,target,upside_down,post,
110,3,recognition,dumbbell,dumbbell_mooney,target,horizontal_flip,post,
111,3,recognition,buoy,buoy_mooney,target,upside_down,pre,
112,3,recognition,peanut_butter,peanut_butter_mooney,target,regular,post,
113,3,recognition,pomegranate,pomegranate_mooney,target,horizontal_flip,pre,
114,3,recognition,candelabra,candelabra_mooney,target,regular,pre,
115,3,recognition,pomegranate,pomegranate,target,horizontal_flip,color,
116,3,recognition,candelabra,candelabra,target,regular,color,
117,3,recognition,buoy,buoy,target,upside_down,color,
118,4,dot,figurine,figurine_mooney_dot_off2,target,horizontal_flip,pre,off
119,4,dot,pomegranate,pomegranate_mooney_dot_on5,target,horizontal_flip,post,on
120,4,dot,missile,missile_mooney_dot_off2,target,upside_down,pre,off
121,4,dot,pomegranate,pomegranate_mooney_dot_off8,target,horizontal_flip,post,off
122,4,dot,carriage,carriage_mooney_dot_on1,target,regular,pre,on
123,4,dot,figurine,figurine_mooney_dot_off4,target,horizontal_flip,pre,off
124,4,dot,buoy,buoy_mooney_dot_on7,target,upside_down,post,on
125,4,dot,carriage,carriage_mooney_dot_on3,target,regular,pre,on
126,4,dot,figurine,figurine_mooney_dot_on3,target,horizontal_flip,pre,on
127,4,dot,buoy,buoy_mooney_dot_on5,target,upside_down,post,on
128,4,dot,missile,missile_mooney_dot_on1,target,upside_down,pre,on
129,4,dot,pomegranate,pomegranate_mooney_dot_on7,target,horizontal_flip,post,on
130,4,dot,candelabra,candelabra_mooney_dot_off6,target,regular,post,off
131,4,dot,buoy,buoy_mooney_dot_off8,target,upside_down,post,off
132,4,dot,candelabra,candelabra_mooney_dot_on5,target,regular,post,on
133,4,dot,figurine,figurine_mooney_dot_on1,target,horizontal_flip,pre,on
134,4,dot,missile,missile_mooney_dot_off4,target,upside_down,pre,off
135,4,dot,candelabra,candelabra_mooney_dot_off8,target,regular,post,off
136,4,dot,missile,missile_mooney_dot_on3,target,upside_down,pre,on
137,4,dot,carriage,carriage_mooney_dot_off4,target,regular,pre,off
138,4,dot,buoy,buoy_mooney_dot_off6,target,upside_down,post,off
139,4,dot,carriage,carriage_mooney_dot_off2,target,regular,pre,off
