trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject
1,0,dot,hot-water_bottle,hot-water_bottle_mooney_dot_on3,target,upside_down,pre,on,20
2,0,dot,figurine,figurine_mooney_dot_off4,target,horizontal_flip,pre,off,20
3,0,dot,backpack,backpack_mooney_dot_off2,target,regular,pre,off,20
4,0,dot,hot-water_bottle,hot-water_bottle_mooney_dot_on1,target,upside_down,pre,on,20
5,0,dot,punching_bag,punching_bag_mooney_dot_on1,catch,regular,pre,on,20
6,0,dot,figurine,figurine_mooney_dot_on3,target,horizontal_flip,pre,on,20
7,0,dot,punching_bag,punching_bag_mooney_dot_on3,catch,regular,pre,on,20
8,0,dot,backpack,backpack_mooney_dot_on3,target,regular,pre,on,20
9,0,dot,hot-water_bottle,hot-water_bottle_mooney_dot_off2,target,upside_down,pre,off,20
10,0,dot,backpack,backpack_mooney_dot_off4,target,regular,pre,off,20
11,0,dot,punching_bag,punching_bag_mooney_dot_off4,catch,regular,pre,off,20
12,0,dot,figurine,figurine_mooney_dot_on1,target,horizontal_flip,pre,on,20
13,0,dot,backpack,backpack_mooney_dot_on1,target,regular,pre,on,20
14,0,dot,figurine,figurine_mooney_dot_off2,target,horizontal_flip,pre,off,20
15,0,dot,hot-water_bottle,hot-water_bottle_mooney_dot_off4,target,upside_down,pre,off,20
16,0,dot,punching_bag,punching_bag_mooney_dot_off2,catch,regular,pre,off,20
17,0,recognition,hot-water_bottle,hot-water_bottle_mooney,target,upside_down,pre,,20
18,0,recognition,backpack,backpack_mooney,target,regular,pre,,20
19,0,recognition,punching_bag,punching_bag_mooney,catch,regular,pre,,20
20,0,recognition,figurine,figurine_mooney,target,horizontal_flip,pre,,20
21,0,recognition,hot-water_bottle,hot-water_bottle,target,upside_down,color,,20
22,0,recognition,figurine,figurine,target,horizontal_flip,color,,20
23,0,recognition,backpack,backpack,target,regular,color,,20
24,1,dot,egg_roll,egg_roll_mooney_dot_on1,target,upside_down,pre,on,20
25,1,dot,punching_bag,punching_bag_mooney_dot_on7,catch,regular,post,on,20
26,1,dot,candelabra,candelabra_mooney_dot_off4,catch,upside_down,pre,off,20
27,1,dot,figurine,figurine_mooney_dot_on7,target,horizontal_flip,post,on,20
28,1,dot,rattlesnake,rattlesnake_mooney_dot_on3,target,regular,pre,on,20
29,1,dot,peanut_butter,peanut_butter_mooney_dot_on1,target,horizontal_flip,pre,on,20
